bic_8,bic,bank
AARPAEAA,AARPAEAAXXX,MAREX CAPITAL (AD) LIMITED
ABDIAEAD,ABDIAEADDOC,ABU DHABI ISLAMIC BANK
ABDIAEAD,ABDIAEADTMK,ABU DHABI ISLAMIC BANK
ABDIAEAD,ABDIAEADXXX,ABU DHABI ISLAMIC BANK
ABINAEAA,ABINAEAAAIN,ARAB BANK FOR INVESTMENT AND FOREIGN TRADE (ALMASRAF)
ABINAEAA,ABINAEAADXB,ARAB BANK FOR INVESTMENT AND FOREIGN TRADE (ALMASRAF)
ABINAEAA,ABINAEAASUK,ARAB BANK FOR INVESTMENT AND FOREIGN TRADE (ALMASRAF)
ABINAEAA,ABINAEAATFS,ARAB BANK FOR INVESTMENT AND FOREIGN TRADE (ALMASRAF)
ABINAEAA,ABINAEAAXXX,ARAB BANK FOR INVESTMENT AND FOREIGN TRADE (ALMASRAF)
ABKKAEA2,ABKKAEA2XXX,AL AHLI BANK OF KUWAIT K.S.CP (DIFC BRANCH)
ABKKAEAA,ABKKAEAAXXX,AL AHLI BANK OF KUWAIT K.S.C.P ABUDHABI BRANCH
ABKKAEAD,ABKKAEADXXX,AL AHLI BANK OF KUWAIT K.S.C.P DUBAI BRANCH
ABOCAEAA,ABOCAEAAXXX,AGRICULTURAL BANK OF CHINA(DUBAI BRANCH)
ABOCAEAD,ABOCAEADXXX,AGRICULTURAL BANK OF CHINA (DIFC BRANCH)
ABPPAEA1,ABPPAEA1XXX,ABRAAJ CAPITAL LIMITED
ADCBAEAA,ADCBAEAA060,ABU DHABI COMMERCIAL BANK
ADCBAEAA,ADCBAEAACMD,ABU DHABI COMMERCIAL BANK
ADCBAEAA,ADCBAEAAFIN,ABU DHABI COMMERCIAL BANK
ADCBAEAA,ADCBAEAAREM,ABU DHABI COMMERCIAL BANK
ADCBAEAA,ADCBAEAATRY,ABU DHABI COMMERCIAL BANK
ADCBAEAA,ADCBAEAAWMO,ABU DHABI COMMERCIAL BANK
ADCBAEAA,ADCBAEAAXXX,ABU DHABI COMMERCIAL BANK
ADCNAEAA,ADCNAEAAXXX,ABU DHABI INVESTMENT COUNCIL COMPANY PJSC
ADCNAEAD,ADCNAEADXXX,ABU DHABI INVESTMENT COUNCIL COMPANY PJSC
ADFDAEAA,ADFDAEAAXXX,ABU DHABI FUND FOR DEVELOPMENT
ADICAEAA,ADICAEAAXXX,ABU DHABI INVESTMENT COMPANY
ADINAEAA,ADINAEAAXXX,ABU DHABI INVESTMENT AUTHORITY
ADSEAEA1,ADSEAEA1XXX,ABU DHABI SECURITIES EXCHANGE
AEINAEAD,AEINAEADXXX,EMIRATES INVESTMENT BANK P.J.S.C
AGEIAEA1,AGEIAEA1XXX,SHUAA CAPITAL (P.S.C)
AGLIAEAA,AGLIAEAAXXX,AD GLOBAL INVESTORS LIMITED
AIFPAEAD,AIFPAEADXXX,AAFAQ ISLAMIC FINANCE P.S.C.
AJMNAEAJ,AJMNAEAJXXX,AJMAN BANK
ALANAEAA,ALANAEAAXXX,AL ANSARI EXCHANGE LLC
ALFEAEA1,ALFEAEA1XXX,AL FARDAN EXCHANGE AND FINANCE CO.
ALFHAEAD,ALFHAEADXXX,BANK ALFALAH LIMITED (DUBAI BRANCH)
ALFXAEAD,ALFXAEADXXX,ALFUAD EXCHANGE
ALRSAEA1,ALRSAEA1XXX,AL RAMZ CAPITAL L.L.C
AMMCAEAD,AMMCAEADXXX,ACM LIMITED
AMSUAEA1,AMSUAEA1XXX,AL MAL SECURITIES EMIRATES LLC
ANGTAEAD,ANGTAEADXXX,VISION BANK LIMITED
APFSAEA1,APFSAEA1XXX,APEX FUND SERVICES (DUBAI) LTD
ARABAEAD,ARABAEADABC,ARAB BANK PLC
ARABAEAD,ARABAEADABD,ARAB BANK PLC
ARABAEAD,ARABAEADAIN,ARAB BANK PLC
ARABAEAD,ARABAEADAJM,ARAB BANK PLC
ARABAEAD,ARABAEADCTU,ARAB BANK PLC
ARABAEAD,ARABAEADDER,ARAB BANK PLC
ARABAEAD,ARABAEADFTC,ARAB BANK PLC
ARABAEAD,ARABAEADFUJ,ARAB BANK PLC
ARABAEAD,ARABAEADINV,ARAB BANK PLC
ARABAEAD,ARABAEADMAK,ARAB BANK PLC
ARABAEAD,ARABAEADRAK,ARAB BANK PLC
ARABAEAD,ARABAEADSHJ,ARAB BANK PLC
ARABAEAD,ARABAEADXXX,ARAB BANK PLC
ARAIAEAD,ARAIAEADAUH,ARAB AFRICAN INTERNATIONAL BANK
