bic_8,bic,bank
AFABAFK1,AFABAFK1XXX,ARIAN BANK
AFGBAFKA,AFGBAFKAXXX,DA AFGHANISTAN BANK
AFGUAFKA,AFGUAFKAXXX,AFGHAN UNITED BANK
AFIBAFKA,AFIBAFKAXXX,AFGHANISTAN INTERNATIONAL BANK
ALFHAFKA,ALFHAFKA803,BANK ALFALAH LIMITED
ALFHAFKA,ALFHAFKAXXX,BANK ALFALAH LIMITED
AZBAAFKA,AZBAAFKAXXX,AZIZI BANK
BMAFAFKA,BMAFAFKAXXX,BANKE MILLIE AFGHAN BMA
FMFBAFKA,FMFBAFKAXXX,THE FIRST MICROFINANCE BANK
GHBKAFKA,GHBKAFKAISW,GHAZANFAR BANK
GHBKAFKA,GHBKAFKAXXX,GHAZANFAR BANK
IBAFAFKA,IBAFAFKAXXX,ISLAMIC BANK OF AFGHANISTAN
KABUAFKA,KABUAFKAXXX,NEW KABUL BANK
MWBKAFKA,MWBKAFKAXXX,MAIWAND BANK
NBPAAFKA,NBPAAFKAXXX,NATIONAL BANK OF PAKISTAN KABUL BRANCH-PAKISTAN
PIBAAFKA,PIBAAFKAXXX,PASHTANY BANK
