bic_8,bic,bank
ANCBAGAG,ANCBAGAGXXX,ANTIGUA COMMERCIAL BANK
AOBAAGA1,AOBAAGA1XXX,ANTIGUA COMMERCIAL BANK LTD
BOIBAGAG,BOIBAGAGXXX,BOI BANK CORPORATION
BRSFAGAG,BRSFAGAGXXX,BRS BANQUE S.A.
CUNBAGAG,CUNBAGAGXXX,CARIBBEAN UNION BANK LTD
DANLAGAG,DANLAGAGXXX,D BANK LTD.
ECABAGAG,ECABAGAGXXX,EASTERN CARIBBEAN AMALGAMATED BANK LTD. (ECAB)
FCIBAGAG,FCIBAGAGXXX,CIBC CARIBBEAN BANK (BARBADOS) LIMITED
GBCLAGAG,GBCLAGAGXXX,"GLOBAL BANK OF COMMERCE, LTD."
NEXOAGA2,NEXOAGA2XXX,NEXO BANK INC.
NOITAGAG,NOITAGAGXXX,NIBANK LTD
TBTLAGA1,TBTLAGA1XXX,TRIUM BANK AND TRUST LTD.
TOLMAGAG,TOLMAGAGXXX,TOLOMEO BANK LIMITED
VTIBAGA1,VTIBAGA1XXX,V.T.I. BANK LTD
