bic_8,bic,bank
AAISALTR,AAISALTRXXX,UNITED BANK OF ALBANIA SH.A
BATSALT1,BATSALT1XXX,BRITISH AMERICAN TOBACCO - ALBANIA SH.P.K.
BKPSALT2,BKPSALT2XXX,BKT PAY SHA
CDISALTR,CDISALTRXXX,CREDINS BANK S.A.
EASPALT2,EASPALT2XXX,EASYPAY SHPK
EMPOALTR,EMPOALTRXXX,AMERICAN BANK OF INVESTMENTS S.A.
FEFAALTR,FEFAALTRXXX,PROCREDIT BANK SH. A. ALBANIA
FINVALTR,FINVALTRXXX,FIRST INVESTMENT BANK-ALBANIA SH.A
IUTEALT2,IUTEALT2XXX,IUTEPAY SHPK
JETLALTR,JETLALTRXXX,JET ALBANIA SH.A
MIFBALTR,MIFBALTRXXX,MINISTRY OF FINANCE OF ALBANIA
NCBAALTX,NCBAALTXXXX,BANKA KOMBETARE TREGTARE SH.A.
PUPPALTR,PUPPALTRXXX,BANKA OTP ALBANIA SH.A.
PYALALT2,PYALALT2XXX,PAYSERA ALBANIA
RPAYALT2,RPAYALT2XXX,RPAY SH.P.K
RSTAALTT,RSTAALTTXXX,ALBANIAN SECURITIES REGISTER ALREG
RUBIALT2,RUBIALT2XXX,RUBICON SH.A
SGSBALTX,SGSBALTXXXX,RAIFFEISEN BANK SH.A.
SHQHALT1,SHQHALT1XXX,POSTA SHQIPTARE SH.A.
SHQHALTA,SHQHALTAXXX,POSTA SHQIPTARE SH.A.
STANALT1,STANALT1ELX,BANK OF ALBANIA
STANALT1,STANALT1GJX,BANK OF ALBANIA
STANALT1,STANALT1KOX,BANK OF ALBANIA
STANALT1,STANALT1LUX,BANK OF ALBANIA
STANALT1,STANALT1SHX,BANK OF ALBANIA
STANALT1,STANALT1SPX,BANK OF ALBANIA
STANALTA,STANALTAXXX,BANK OF ALBANIA
STANALTR,STANALTRXXX,BANK OF ALBANIA
STANALTS,STANALTSXXX,BANK OF ALBANIA
TIRBALTR,TIRBALTRXXX,TIRANA BANK
UFITALT2,UFITALT2XXX,UNION FINANCIAR TIRANE
UNALALTR,UNALALTRXXX,UNION BANK SH.A.
USALALTR,USALALTRXXX,INTESA SANPAOLO BANK ALBANIA SH.A.
