bic_8,bic,bank
AGCAAM22,AGCAAM22XXX,ACBA BANK OJSC
ANIKAM22,ANIKAM22XXX,ID BANK CJSC
ARECAM22,ARECAM22XXX,ARMECONOMBANK OJSC
ARMCAM22,ARMCAM22XXX,ARARATBANK OJSC
ARMIAM22,ARMIAM22XXX,AMERIABANK CJSC (FORMERLY ARMIMPEXBANK)
ARMJAM22,ARMJAM22XXX,VTB BANK (ARMENIA) CJSC
ARMNAM22,ARMNAM22XXX,AMIO BANK CJSC
AROJAM22,AROJAM22XXX,'ARMBROK' OJSC
ARSJAM22,ARSJAM22XXX,ARMSWISSBANK CJSC
ARTSAM22,ARTSAM22XXX,CLOSED JOINT-STOCK COMPANY ARTSAKHBANK
ASHBAM22,ASHBAM22XXX,ARDSHINBANK OJSC
BKMTAM21,BKMTAM21XXX,MELLAT BANK CJSC
BYBAAM22,BYBAAM22XXX,BYBLOS BANK ARMENIA CJSC
CBRAAM22,CBRAAM22XXX,CENTRAL BANK OF ARMENIA
CDAMAM22,CDAMAM22XXX,CENTRAL DEPOSITORY OF ARMENIA' OJSC
COVBAM22,COVBAM22XXX,CONVERSE BANK CJSC
FCAOAM22,FCAOAM22XXX,'FAST BANK' CJSC
HACJAM21,HACJAM21XXX,HAYPOST CJSC
INJSAM22,INJSAM22XXX,INECOBANK CJSC
LAALAM22,LAALAM22XXX,LANDMARK CAPITAL
PRMLAM22,PRMLAM22XXX,EVOCABANK OJSC
UNIJAM22,UNIJAM22XXX,UNIBANK O.J.S.C
