bic_8,bic,bank
AFOAAOLU,AFOAAOLUXXX,"AFRICAN BANK OF OMAN, S.A."
ANCEAOLU,ANCEAOLUXXX,BANCO ANGOLANO NEGOCIOS E COMERCIO
BAIPAOLU,BAIPAOLUXXX,"BANCO ANGOLANO DE INVESTIMENTOS, SA"
BATSAO41,BATSAO41XXX,SOCIEDADE INDUSTRIAL DOS TABACOS DE ANGOLA
BATSAOL1,BATSAOL1XXX,"BRITISH AMERICAN TOBACCO ANGOLA, LDA"
BCCBAOLU,BCCBAOLUXXX,"BANCO BIC, S.A."
BCGAAOLU,BCGAAOLUXXX,BANCO CAIXA GERAL DE ANGOLA S.A.
BCHUAOLU,BCHUAOLUXXX,"BANCO COMERCIAL DO HUAMBO, S.A."
BCIDAOLU,BCIDAOLUXXX,BANCO DE COMERCIO E INDUSTRIA S.A.
BDAAAOLU,BDAAAOLUXXX,BANCO DE DESENVOLVIMENTO DE ANGOLA
BDVAAOLU,BDVAAOLUXXX,"BOLSA DE DIVIDA E VALORES DE ANGOLA BODIVA SOCIEDADE GESTORA DE MERCADOS REGULAMENTADOS, S.A."
BESCAOLU,BESCAOLUXXX,"BANCO ECONOMICO, S.A."
BFMXAOLU,BFMXAOLUXXX,"BANCO DE FOMENTO ANGOLA, S.A."
BIRVAOLU,BIRVAOLUXXX,"BANCO DE INVESTIMENTO RURAL, S.A."
BKCHAOLU,BKCHAOLUXXX,BANK OF CHINA LIMITED LUANDA BRANCH
BNANAOLD,BNANAOLDXXX,BANCO NACIONAL DE ANGOLA
BNANAOLU,BNANAOLU975,BANCO NACIONAL DE ANGOLA
BNANAOLU,BNANAOLUXXX,BANCO NACIONAL DE ANGOLA
BNICAOLU,BNICAOLU052,BANCO DE NEGOCIOS INTERNACIONAL S.A.
BNICAOLU,BNICAOLUXXX,BANCO DE NEGOCIOS INTERNACIONAL S.A.
BPCLAOLU,BPCLAOLUXXX,"BANCO DE POUPANCA E CREDITO, S.A."
BRDKAOLU,BRDKAOLUXXX,"BANCO KEVE, SA"
BVBXAOLU,BVBXAOLUXXX,"BANCO VALOR, SA."
CDTSAOLU,CDTSAOLUXXX,"BCS - BANCO DE CREDITO DO SUL, S.A."
CGDIAOL1,CGDIAOL1XXX,BANCO COMERCIAL ANGOLA
COMLAOLU,COMLAOLUXXX,"BANCO COMERCIAL ANGOLANO, S.A."
FBCOAOLU,FBCOAOLUXXX,ACCESS BANK ANGOLA S.A.
POTAAOLU,POTAAOLUXXX,"BANCO POSTAL, S.A."
PRTLAOLU,PRTLAOLUXXX,"BANCO MILLENNIUM ATLANTICO, S.A."
PRTSAOLU,PRTSAOLUXXX,"BANCO PRESTIGIO, SA."
PUADAOLU,PUADAOLUXXX,"BANCO MAIS, S.A."
SBICAOLU,SBICAOLUXXX,STANDARD BANK DE ANGOLA S.A. INARA BUSINESS PARK AND GARDENS MUNICIPIO DE TALATONA
SOLOAOLU,SOLOAOLUXXX,"BANCO SOL, S.A."
YETUAOLU,YETUAOLUXXX,"BANCO YETU, S.A."
