bic_8,bic,bank
AALAARB2,AALAARB2XXX,ALLARIA S.A.
AEIBARB1,AEIBARB1XXX,AMERICAN EXPRESS BANK LTD.
ARGNARB1,ARGNARB1XXX,VOLKSWAGEN ARGENTINA S.A.
BACHARBA,BACHARBAXXX,NUEVO BANCO DEL CHACO S.A.
BACIARBA,BACIARBAXXX,BANCO DE LA CIUDAD DE BUENOS AIRES
BAPIARBA,BAPIARBAXXX,BANCO PIANO S.A.
BAVAARBA,BAVAARBAXXX,BANCO DE VALORES S.A.
BCIUARBA,BCIUARBAXXX,BACS BANCO DE CREDITO Y SECURITIZACION S.A.
BCOOARBA,BCOOARBAXXX,BANCO CREDICOOP COOPERATIVO LTD
BCORARBC,BCORARBCXXX,BANCO DE CORRIENTES S.A.
BCRAARBA,BCRAARBAXXX,BCO CTRL DE LA REPUBLICA ARGENTINA
BERAARBA,BERAARBAXXX,NUEVO BANCO DE ENTRE RIOS S.A.
BFRPARB1,BFRPARB10B6,BANCO BBVA ARGENTINA S.A
BFRPARB1,BFRPARB10B7,BANCO BBVA ARGENTINA S.A
BFRPARB1,BFRPARB10BC,BANCO BBVA ARGENTINA S.A
BFRPARB1,BFRPARB10BR,BANCO BBVA ARGENTINA S.A
BFRPARBA,BFRPARBAXXX,BANCO BBVA ARGENTINA S.A
BFSAARBF,BFSAARBFXXX,BANCO DE FORMOSA S.A.
BFSUARB1,BFSUARB1XXX,BANCO FINANSUR S.A.
BHIPARBA,BHIPARBAXXX,BANCO HIPOTECARIO S.A.
BICAARBS,BICAARBSXXX,BANCO BICA S.A.
BICXARBA,BICXARBAXXX,BANCO DE INVERSION Y COMERCIO EXTERIOR S.A.
BIINARBA,BIINARBAXXX,BIBANK S.A.
BJULARBC,BJULARBCXXX,BANCO JULIO SOCIEDAD ANONIMA
BKCHARBA,BKCHARBAXXX,BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES
BKTRARB1,BKTRARB1XXX,B.T. RIO DE LA PLATA SACF
BMRDARBA,BMRDARBAXXX,BANCO MERIDIAN S.A.
BNPAARBA,BNPAARBAXXX,BNP PARIBAS SUCURSAL BUENOS AIRES SA
BOSUARBA,BOSUARBAXXX,BANCO MACRO S.A.
BPCHARBA,BPCHARBAXXX,BANCO DEL CHUBUT S.A.
BPNEARBA,BPNEARBAXXX,BANCO DE LA PROVINCIA DEL NEUQUEN S.A.
BPSCARBA,BPSCARBAXXX,BANCO DE SANTA CRUZ SA
BPSFARBA,BPSFARBA000,NUEVO BANCO DE SANTA FE S.A.
BPSFARBA,BPSFARBA500,NUEVO BANCO DE SANTA FE S.A.
BPSFARBA,BPSFARBAA45,NUEVO BANCO DE SANTA FE S.A.
BPSFARBA,BPSFARBAA86,NUEVO BANCO DE SANTA FE S.A.
BPSFARBA,BPSFARBAXXX,NUEVO BANCO DE SANTA FE S.A.
BROUARBA,BROUARBAXXX,BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY
BSAEARBA,BSAEARBAXXX,BANCO SAENZ S.A.
BSCHARBA,BSCHARBASSS,BANCO SANTANDER ARGENTINA S.A.
BSCHARBA,BSCHARBAXXX,BANCO SANTANDER ARGENTINA S.A.
BSJUARBJ,BSJUARBJXXX,BANCO DE SAN JUAN SA
BSTIARBA,BSTIARBAXXX,BANCO DE SERVICIOS Y TRANSACCIONES SA
BSUDARBA,BSUDARBAXXX,BANCO PATAGONIA S.A.
BSUPARBA,BSUPARBADOC,BANCO SUPERVIELLE S.A
BSUPARBA,BSUPARBAEXT,BANCO SUPERVIELLE S.A
BSUPARBA,BSUPARBAFIN,BANCO SUPERVIELLE S.A
BSUPARBA,BSUPARBATIT,BANCO SUPERVIELLE S.A
BSUPARBA,BSUPARBAXXX,BANCO SUPERVIELLE S.A
BTABARB1,BTABARB1XXX,"BANKERS TRUST ARGENTINA S.A., SOCIEDAD DE BOLSA"
CAKRARB1,CAKRARB1XXX,CAPITAL MARKETS
CALPARB1,CALPARB1XXX,CAMBIO ALPE S.A.
CAVLARBA,CAVLARBAXXX,CAJA DE VALORES S.A.
CHASARBA,CHASARBAXXX,"JPMORGAN CHASE BANK, N.A. - BUENOS AIRES BRANCH"
CITIARBA,CITIARBAXXX,CITIBANK N.A.
CLLUARB1,CLLUARB1XXX,BANCO COLUMBIA S.A.
CLLUARBA,CLLUARBAXXX,BANCO COLUMBIA S.A.
CMFBARBA,CMFBARBAXXX,BANCO CMF S.A.
CNIAARBR,CNIAARBRXXX,BANCO COINAG S.A.
CORDARBA,CORDARBACOR,BANCO DE LA PROVINCIA DE CORDOBA S.A.
CORDARBA,CORDARBAXXX,BANCO DE LA PROVINCIA DE CORDOBA S.A.
GABAARBA,GABAARBAXXX,BANCO DE GALICIA Y BUENOS AIRES
