bic_8,bic,bank
AAIAATW1,AAIAATW1XXX,VALARTIS ASSET MANAGEMENT (AUSTRIA) KAPITALANLAGEGESELLSCHAFT M.B.H
AATAATW1,AATAATW1XXX,AIRPLUS AIR TRAVEL CARD VERTRIEBSGESELLSCHAFT M.B.H.
ABVRATW1,ABVRATW1XXX,START:BAUSPARKASSE AG
AETEATW1,AETEATW1XXX,THE AUSTRIAN EMISSIONS TRADING REGISTRY ENV. AND WATER. DEPV4
AFFAATWW,AFFAATWWABB,REPUBLIC OF AUSTRIA - FEDERAL MINISTRY OF FINANCE
AFFAATWW,AFFAATWWIMM,REPUBLIC OF AUSTRIA - FEDERAL MINISTRY OF FINANCE
AFFAATWW,AFFAATWWXXX,REPUBLIC OF AUSTRIA - FEDERAL MINISTRY OF FINANCE
AITFATW1,AITFATW1XXX,UNIVERSALE INTERNATIONAL REALITATEN GMBH
ALGAAT21,ALGAAT21XXX,ALPENLANDISCHE GARANTIE- GESELLSCHAFT M.B.H.
ALIKATW2,ALIKATW2XXX,ALLIANZ INVEST KAPITALANLAGEGESELLSCHAFT MBH
ALPEAT22,ALPEAT22XXX,ALPEN PRIVATBANK AG
ASPKAT2L,ASPKAT2LENN,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LFRE,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LGMU,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LGRI,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LGRU,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LMTH,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LOBE,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LPER,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LRAA,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LSRD,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LSTE,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LSTF,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LSWA,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LVOE,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LWEL,SPARKASSE OBEROSTERREICH BANK AG
ASPKAT2L,ASPKAT2LXXX,SPARKASSE OBEROSTERREICH BANK AG
AUTUATW1,AUTUATW1XXX,BANK AUSTRIA REAL INVEST IMMOBILIEN-MANAGEMENT GMBH
BAOSATWW,BAOSATWWXXX,BAUSPARKASSE DER OESTERREICHISCHEN SPARKASSEN AG
