bic_8,bic,bank
AAMNAU21,AAMNAU21XXX,ADVANCE ASSET MANAGEMENT LIMITED
ABAOAU41,ABAOAU41BNE,MORGANS FINANCIAL LIMITED
ABAOAU41,ABAOAU41XXX,MORGANS FINANCIAL LIMITED
ABEMAU21,ABEMAU21XXX,ABERDEEN STANDARD INVESTMENTS AUSTRALIA LIMITED
ABOCAU2S,ABOCAU2SXXX,AGRICULTURAL BANK OF CHINA LIMITED
ACBRAU31,ACBRAU31XXX,OPES PRIME STOCKBROKING LTD
ACCAAU31,ACCAAU31XXX,ACORN CAPITAL
ACLOAU22,ACLOAU22XXX,ASX CLEARING CORPORATION LIMITED
ACLOAUS2,ACLOAUS2XXX,ASX CLEARING CORPORATION LIMITED
ACLRAU2S,ACLRAU2S201,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S202,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S203,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S204,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S205,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S206,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S207,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S208,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S209,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S210,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S211,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S212,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S213,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S214,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S215,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S216,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S217,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S218,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S219,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S220,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S221,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S222,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S223,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S224,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S225,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S226,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S227,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S228,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S229,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S230,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S231,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S232,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S233,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S234,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S235,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S236,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S237,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S238,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S239,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S240,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S241,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S242,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S243,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S244,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S245,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S246,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2S247,AUSTRACLEAR LIMITED
ACLRAU2S,ACLRAU2SXXX,AUSTRACLEAR LIMITED
ACLRAUSS,ACLRAUSSXXX,AUSTRACLEAR LIMITED
ACTYAU31,ACTYAU31XXX,ACV2 PTY LTD
ACVTAU31,ACVTAU31XXX,AUSTREO COMMERCIAL VENTURES PTY LTD
AEIAAU21,AEIAAU21XXX,AMERICAN EXPRESS INTERNATIONAL INC (AUSTRALIA BRANCH)
AETLAUS1,AETLAUS1XXX,AUSTRALIAN EXECUTOR TRUSTEES LIMITE
AFFPAU22,AFFPAU22XXX,AUSSIE FOREX AND FINANCE PTY LTD
AFMTAUS1,AFMTAUS1XXX,AIRLIE FUNDS MANAGEMENT PTY LTD
AFMYAU32,AFMYAU32XXX,ALEXANDER FUNDS MANAGEMENT PTY LTD
AFPYAU22,AFPYAU22XXX,AFT AU PTY LTD
AGAMAU31,AGAMAU31XXX,AGORA ASSET MANAGEMENT
AIMGAU21,AIMGAU21XXX,ARNHEM INVESTMENT MANAGEMENT
AIMPAU31,AIMPAU31XXX,ALPHA INVESTMENT MANAGEMENT PTY LTD
AIMTAU21,AIMTAU21XXX,ALLERON INVESTMENT MANAGEMENT LTD
ALXPAU42,ALXPAU42XXX,ALEX BANK PTY LTD
AMCIAU21,AMCIAU21BSW,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU21,AMCIAU21COL,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU21,AMCIAU21UDP,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU21,AMCIAU21UNC,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU21,AMCIAU21UST,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU2X,AMCIAU2XDAA,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU2X,AMCIAU2XDNC,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU2X,AMCIAU2XDNM,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU2X,AMCIAU2XDTM,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU2X,AMCIAU2XDTP,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU2X,AMCIAU2XFXX,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU2X,AMCIAU2XINS,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU2X,AMCIAU2XPSW,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU2X,AMCIAU2XRBT,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU2X,AMCIAU2XSTD,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU2X,AMCIAU2XSTM,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMCIAU2X,AMCIAU2XXXX,NATIONAL MUTUAL FUNDS MANAGEMENT LTD
AMLIAU21,AMLIAU21CMT,AMP LIFE LIMITED
AMLIAU21,AMLIAU21XXX,AMP LIFE LIMITED
AMPBAU2S,AMPBAU2SRET,AMP BANK LIMITED
AMPBAU2S,AMPBAU2STRY,AMP BANK LIMITED
AMPBAU2S,AMPBAU2SXXX,AMP BANK LIMITED
AMXAAU22,AMXAAU22XXX,AMERICAN EXPRESS AUSTRALIA LIMITED
ANNCAU22,ANNCAU22XXX,HAY LIMITED
ANNCAU23,ANNCAU23XXX,HAY LIMITED
ANPTAU32,ANPTAU32XXX,FLINDERS INVESTMENT PARTNERS PTY LTD
ANRMAU21,ANRMAU21XXX,THE AUSTRALIAN NATIONAL REGISTRY OF EMISSIONS UNITS
ANWEAU21,ANWEAU21XXX,ANDREW WEST AND CO LIMITED
ANZBAU3L,ANZBAU3LXXX,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3M516,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3M535,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3M645,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3MAFM,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3MCFX,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3MCLS,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3MGTO,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3MNOM,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3MTRA,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3MTRB,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3MTRP,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3MTRS,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3M,ANZBAU3MXXX,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU3R,ANZBAU3RXXX,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU41,ANZBAU41530,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
ANZBAU41,ANZBAU41704,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
