bic_8,bic,bank
ACABAZ22,ACABAZ22XXX,ACCESSBANK CJSC
ACJTAZ22,ACJTAZ22XXX,AGRARKREDIT JOINT-STOCK NON-BANKING CREDIT ORGANIZATION
AIIBAZ2X,AIIBAZ2XXXX,KAPITAL BANK OPEN JOINT STOCK COMPANY
ANDCAZ22,ANDCAZ22XXX,NATIONAL DEPOSITORY CENTER OF THE REPUBLIC OF AZERBAIJAN
AVRAAZ22,AVRAAZ22XXX,EURASIA BANK
AZALAZ22,AZALAZ22XXX,PREMIUM BANK OJSC
AZENAZ22,AZENAZ22XXX,EXPRESSBANK OPEN JOINT STOCK COMPANY
AZFIAZ22,AZFIAZ22XXX,AFB BANK OJSC
AZPOAZ22,AZPOAZ22XXX,AZERPOST LIMITED LIABILITY COMPANY
AZRTAZ22,AZRTAZ22XXX,AZER-TURK BANK OJSC
BBTBAZ22,BBTBAZ22XXX,BANK BTB OJSC
BRESAZ22,BRESAZ22XXX,'BANK RESPUBLIKA' OPEN JOINT STOCK COMPANY
CAPKAZ21,CAPKAZ21XXX,CAPITALBANK
CAPNAZ22,CAPNAZ22XXX,AZERBAIJAN INDUSTRY BANK OJSC
CTREAZ22,CTREAZ22XXX,STATE TREASURY AGENCY
GOOJAZ22,GOOJAZ22XXX,GOLDENPAY OJSC
HAJCAZ22,HAJCAZ22XXX,XALQ BANK OPEN JOINT-STOCK COMPANY
IBAZAZ2X,IBAZAZ2XXXX,THE INTERNATIONAL BANK OF AZERBAIJAN OPEN JOINT-STOCK COMPANY
JBBKAZ22,JBBKAZ22XXX,BANK OF BAKU OPEN JOINT STOCK COMPANY
KABAAZ22,KABAAZ22XXX,YAPIKREDI AZERBAIJAN CLOSED JSC
MELIAZ21,MELIAZ21XXX,"BANK MELLI IRAN, BAKU BRANCH"
MLCYAZ22,MLCYAZ22XXX,MODENIS LIMITED LIABILITY COMPANY
MPCJAZ22,MPCJAZ22XXX,MPAY CJSC
NABZAZ2C,NABZAZ2CRTS,CENTRAL BANK OF THE REPUBLIC OF AZERBAIJAN
NABZAZ2C,NABZAZ2CXXX,CENTRAL BANK OF THE REPUBLIC OF AZERBAIJAN
NABZAZ2X,NABZAZ2XXXX,CENTRAL BANK OF THE REPUBLIC OF AZERBAIJAN
NICBAZ22,NICBAZ22XXX,'YELO BANK' OJSC
PAAAAZ21,PAAAAZ21XXX,PARA NON-BANK CREDIT ORGANIZATION OPEN JOINT STOCK COMPANY
PAHAAZ22,PAHAAZ22XXX,PASHA BANK OJSC
PSMMAZ22,PSMMAZ22XXX,PASHAPAY MMC
PUPLAZ22,PUPLAZ22XXX,PULPAL LLC
RBTAAZ21,RBTAAZ2102G,RABITABANK OPEN JOINT STOCK COMPANY
RBTAAZ22,RBTAAZ22XXX,RABITABANK OPEN JOINT STOCK COMPANY
ROBKAZ21,ROBKAZ21XXX,ROYALBANK OJSC
SOILAZ22,SOILAZ22XXX,STATE OIL FUND OF THE REPUBLIC OF AZERBAIJAN
TCZBAZ22,TCZBAZ22XXX,ZIRAAT BANK AZERBAIJAN OJSC
TURAAZ22,TURAAZ22XXX,TURANBANK OJSC
UBAZAZ22,UBAZAZ22XXX,UNIBANK CB OJSC
VTBAAZ22,VTBAAZ22XXX,OJSC VTB BANK (AZERBAIJAN)
