bic_8,bic,bank
ABSBBA22,ABSBBA22XXX,SPARKASSE BANK DD BIH
BBIBBA22,BBIBBA22XXX,BOSNA BANK INTERNATIONAL DD
BLBABA22,BLBABA22XXX,UNICREDIT BANK A.D. BANJA LUKA
CBBSBA22,CBBSBA22BDT,CENTRAL BANK OF BOSNIA AND HERZEGOVINA
CBBSBA22,CBBSBA22PDS,CENTRAL BANK OF BOSNIA AND HERZEGOVINA
CBBSBA22,CBBSBA22XXX,CENTRAL BANK OF BOSNIA AND HERZEGOVINA
CBBSBA2A,CBBSBA2AXXX,CENTRAL BANK OF BOSNIA AND HERZEGOVINA
CBBSBA2B,CBBSBA2BXXX,CENTRAL BANK OF BOSNIA AND HERZEGOVINA
DMTRBA22,DMTRBA22XXX,DIGITAL MONEY TRANSFER D.O.O.
EUAUBA22,EUAUBA22XXX,EUROBROKER A.D. BANJA LUKA
EUCMBA21,EUCMBA21XXX,EURO CAPITAL BANK UNIS POSLOVNI CENTAR B
HAABBA22,HAABBA22XXX,ADDIKO BANK DD
HAABBA2B,HAABBA2BXXX,ADDIKO BANK AD BANJA LUKA
IBBHBA22,IBBHBA22XXX,DEVELOPMENT BANK OF THE FEDERATION OF BOSNIA AND HERZEGOVINA
IKBZBA2X,IKBZBA2XXXX,ASA BANKA D.D. SARAJEVO
KINBBA22,KINBBA22XXX,KOMERCIJALNO-INVESTICIONA BANKA DD VELIKA KLADUSA
KOBBBA22,KOBBBA22XXX,"BANKA POSTANSKA STEDIONICA, AKCIONARSKO DRUSTVO BANJA LUKA"
MEBBBA22,MEBBBA22XXX,PROCREDIT BANK D.D.SARAJEVO
MFBLBA22,MFBLBA22XXX,MF BANKA A.D. BANJA LUKA
NOBIBA22,NOBIBA22XXX,NOVA BANKA AD BANJALUKA
PAVLBA22,PAVLBA22XXX,NASA BANKA A.D. BANJA LUKA
PBSCBA22,PBSCBA22XXX,PRIVREDNA BANKA SARAJEVO DD
RAZBBA22,RAZBBA22XXX,NLB BANKA A.D. BANJA LUKA
RZBABA2S,RZBABA2SXXX,RAIFFEISEN BANK D.D. BOSNA I HERCEGOVINA
SABRBA2B,SABRBA2BXXX,ATOS BANK A.D. BANJA LUKA
TBTUBA22,TBTUBA22XXX,"NLB BANKA D.D., SARAJEVO"
TZBBBA22,TZBBBA22XXX,ZIRAATBANK BH D.D.
UBKSBA22,UBKSBA22XXX,UNION BANKA D.D. SARAJEVO
UNCRBA22,UNCRBA22XXX,UNICREDIT BANK
UPBKBA22,UPBKBA22XXX,INTESA SANPAOLO BANKA D.D. BOSNA I HERCEGOVINA
VOADBA21,VOADBA21XXX,VOLKSWAGEN SARAJEVO D.O.O.
