bic_8,bic,bank
AFPUBBB2,AFPUBBB2XXX,AFFINITYPLUS CREDIT UNION LIMITED
AMIBBBBB,AMIBBBBBXXX,AMICORP BANK AND TRUST LTD
BCSDBBB1,BCSDBBB1XXX,BARBADOS CENTRAL SECURITIES DEPOSITORY INC.
BNBABBBB,BNBABBBBXXX,REPUBLIC BANK (BARBADOS) LIMITED
BPWCBBB2,BPWCBBB2XXX,BARBADOS PUBLIC WORKERS COOPERATIVE CREDIT UNION LIMITED
CBABBBB1,CBABBBB1ACC,CENTRAL BANK OF BARBADOS
CBABBBB1,CBABBBB1BSE,CENTRAL BANK OF BARBADOS
CBABBBBB,CBABBBBBXXX,CENTRAL BANK OF BARBADOS
CBABBBBG,CBABBBBGXXX,CENTRAL BANK OF BARBADOS
CBCCBBBB,CBCCBBBBXXX,CITY OF BRIDGETOWN CO-OPERATIVE CREDIT UNION LIMITED
CDEVBBBB,CDEVBBBBXXX,CARIBBEAN DEVELOPMENT BANK
CNDCBBBB,CNDCBBBBXXX,CONCORDE BANK LIMITED
CNFIBBB1,CNFIBBB1XXX,CONSOLIDATED FINANCE CO LIMITED
CPFEBBB2,CPFEBBB2XXX,CAPITA FINANCIAL SERVICES INC
CTBLBBBB,CTBLBBBBXXX,CIDEL BANK AND TRUST INC.
CTMBBBB1,CTMBBBB1XXX,CIBC TRUST AND MERCHANT BANK (BARBA DOS) LIMITED
FCIBBBB2,FCIBBBB2XXX,CIBC CARIBBEAN WEALTH MANAGEMENT BANK (BARBADOS) LIMITED
FCIBBBBB,FCIBBBBBXXX,CIBC CARIBBEAN BANK (BARBADOS) LIMITED
FCTTBBBB,FCTTBBBBXXX,FIRST CITIZENS BANK (BARBADOS) LTD.
GLEBBBB1,GLEBBBB1XXX,GLENHURON BANK
MERMBBB1,MERMBBB1XXX,MERCOM BANK LIMITED
MFCTBBBB,MFCTBBBBXXX,MANUFACTURERS LIFE REINSURANCE LIMITED
NOSCBBBB,NOSCBBBBBOB,SCOTIABANK (BARBADOS) LIMITED
NOSCBBBB,NOSCBBBBXXX,SCOTIABANK (BARBADOS) LIMITED
OCCIBBBB,OCCIBBBBXXX,OCCIDENTAL BANK BARBADOS (LTD)
RBTOBBBB,RBTOBBBBXXX,RBC BARBADOS TRADING BANK CORPORATION
ROYCBBBB,ROYCBBBBXXX,RBC ROYAL BANK (BARBADOS ) LIMITED
SBBLBBBB,SBBLBBBBXXX,SAGICOR BANK (BARBADOS) LIMITED
