bic_8,bic,bank
ABBLBDDH,ABBLBDDH002,AB BANK PLC.
ABBLBDDH,ABBLBDDH003,AB BANK PLC.
ABBLBDDH,ABBLBDDH004,AB BANK PLC.
ABBLBDDH,ABBLBDDH005,AB BANK PLC.
ABBLBDDH,ABBLBDDH006,AB BANK PLC.
ABBLBDDH,ABBLBDDH008,AB BANK PLC.
ABBLBDDH,ABBLBDDH009,AB BANK PLC.
ABBLBDDH,ABBLBDDH010,AB BANK PLC.
ABBLBDDH,ABBLBDDH011,AB BANK PLC.
ABBLBDDH,ABBLBDDH013,AB BANK PLC.
ABBLBDDH,ABBLBDDH019,AB BANK PLC.
ABBLBDDH,ABBLBDDH020,AB BANK PLC.
ABBLBDDH,ABBLBDDH027,AB BANK PLC.
ABBLBDDH,ABBLBDDH101,AB BANK PLC.
ABBLBDDH,ABBLBDDH102,AB BANK PLC.
ABBLBDDH,ABBLBDDH103,AB BANK PLC.
ABBLBDDH,ABBLBDDH105,AB BANK PLC.
ABBLBDDH,ABBLBDDH110,AB BANK PLC.
ABBLBDDH,ABBLBDDH111,AB BANK PLC.
ABBLBDDH,ABBLBDDH112,AB BANK PLC.
ABBLBDDH,ABBLBDDH126,AB BANK PLC.
ABBLBDDH,ABBLBDDH201,AB BANK PLC.
ABBLBDDH,ABBLBDDH214,AB BANK PLC.
ABBLBDDH,ABBLBDDH301,AB BANK PLC.
ABBLBDDH,ABBLBDDHOBU,AB BANK PLC.
ABBLBDDH,ABBLBDDHXXX,AB BANK PLC.
AGBKBDDH,AGBKBDDH000,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH001,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH002,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH003,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH004,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH005,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH006,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH007,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH008,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH009,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH010,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH011,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH012,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH013,AGRANI BANK PLC
AGBKBDDH,AGBKBDDH014,AGRANI BANK PLC
