bic_8,bic,bank
AARBBEB1,AARBBEB1XXX,"AAREAL BANK AG, BRUESSEL BRANCH"
ABERBE22,ABERBE22XXX,BANK J. VAN BREDA AND CO NV
ABNABE2A,ABNABE2AIDJ,ABN AMRO BANK N.V. (BELGIAN BRANCH)
ABNABE2A,ABNABE2AIPC,ABN AMRO BANK N.V. (BELGIAN BRANCH)
ABNABE2A,ABNABE2AXXX,ABN AMRO BANK N.V. (BELGIAN BRANCH)
ALENBEB1,ALENBEB1XXX,ALENA S.A.
ARSPBE22,ARSPBE22XXX,ARGENTA
ASUUBEB1,ASUUBEB1XXX,P AND V ASSURANCES
ATMNBE32,ATMNBE32XXX,ATLANTIC MONEY NV
ATWSBEBB,ATWSBEBBXXX,WORLDLINE SA
AUETBE21,AUETBE21XXX,AUDI NV
AUNPBEB2,AUNPBEB2XXX,S.W.I.F.T. SCRL AU-NPP
AUNPBEB3,AUNPBEB3XXX,S.W.I.F.T. SCRL AU-NPP
AUNPBEBB,AUNPBEBBXXX,S.W.I.F.T. SCRL AU-NPP
AUXIBEB1,AUXIBEB1XXX,FINCREASE
AVEVBE21,AVEVBE21XXX,AVEVE SA
AXABBE22,AXABBE22XXX,CRELAN SA/NV
AXBIBEBB,AXBIBEBBXXX,AXA BELGIUM
BARBBEBB,BARBBEBBTGT,BANK OF BARODA (BRUSSELS BRANCH)
BARBBEBB,BARBBEBBXXX,BANK OF BARODA (BRUSSELS BRANCH)
BARCBEBB,BARCBEBBTG2,"BARCLAYS BANK IRELAND PLC, BELGIUM BRANCH"
BARCBEBB,BARCBEBBXXX,"BARCLAYS BANK IRELAND PLC, BELGIUM BRANCH"
BASCBEB1,BASCBEB1XXX,"BACOB SECURITIES, S.A."
BAUVBEB1,BAUVBEB1XXX,BAUDOUX VERTONGEN ET CIE S.A.
BAUWBE21,BAUWBE21XXX,VAN BAUWEL AND CO
BBRUBEBB,BBRUBEBB010,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBB100,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBB200,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBB300,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBB350,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBB400,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBB600,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBB700,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBB800,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBB850,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBB900,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBB930,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBBCLS,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBBVYS,ING BELGIUM NV/SA
BBRUBEBB,BBRUBEBBXXX,ING BELGIUM NV/SA
BBRUBEBC,BBRUBEBCXXX,ING BELGIUM NV/SA
BBVABEBB,BBVABEBBTG2,BANCO BILBAO VIZCAYA ARGENTARIA SA
BBVABEBB,BBVABEBBXXX,BANCO BILBAO VIZCAYA ARGENTARIA SA
BCDMBEBB,BCDMBEBBTGT,BANQUE CHAABI DU MAROC
BCDMBEBB,BCDMBEBBXXX,BANQUE CHAABI DU MAROC
BCMCBEBB,BCMCBEBBXXX,BANCONTACT PAYCONIQ COMPANY NV/SA
BCPOBEB1,BCPOBEB1XXX,BANQUE CENTRALE POPULAIRE
BDREBE41,BDREBE41XXX,BANQUE DREZE
BELHBEB1,BELHBEB1XXX,BELHYPERION
