bic_8,bic,bank
AFRIBFBF,AFRIBFBFXXX,BANK OF AFRICA - BURKINA FASO
ATBFBFBF,ATBFBFBFXXX,BANQUE ATLANTIQUE BURKINA FASO
BAGFBFBF,BAGFBFBFXXX,BANQUE AGRICOLE DU FASO
BCAOBFBF,BCAOBFBFBOB,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAOBFBF,BCAOBFBFXXX,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BDUGBFBF,BDUGBFBFXXX,BANQUE DE L'UNION BURKINA FASO
BFCBBFB1,BFCBBFB1XXX,SOCIETE GENERALE BURKINA FASO
BIBUBFBF,BIBUBFBFXXX,UNITED BANK FOR AFRICA BURKINA (UBA BURKINA)
BICIBFBX,BICIBFBXXXX,VISTA BANK BURKINA SA
BNCFBFBF,BNCFBFBFXXX,BANQUE COMMERCIALE DU BURKINA
BPBFBFBF,BPBFBFBFXXX,BANQUE POSTALE DU BURKINA FASO (BPBF)
BSAHBFBF,BSAHBFBFXXX,BANQUE SAHELO-SAHARIENNE POUR L' INVESTISSEMENT ET LE COMMERCE BF
CBAOBFBG,CBAOBFBGXXX,CBAO GROUPE ATTIJARIWAFA BANK BURKINA FASO
CCECBFB1,CCECBFB1XXX,CAISSE CENTRALE DE COOPERATION ECON OMIQUE
CORIBFBF,CORIBFBFXXX,CORIS BANK INTERNATIONAL
DCRCBFB1,DCRCBFB1XXX,DEPOSITAIRE CENTRAL-BANQUE DE REGLE MENT (DCBR BURKINA FASO)
ECOCBFBF,ECOCBFBFXXX,ECOBANK - BURKINA
IBBABFBF,IBBABFBFXXX,INTERNATIONAL BUSINESS BANK (IB BANK)
NDEVBFB1,NDEVBFB1XXX,BANQUE NATIONALE DE DEVELOPPEMENT DU BURKINA FASO
ORBKBFBF,ORBKBFBFXXX,ORABANK COTE D'IVOIRE SUCCURSALE DU BURKINA
VSTBBFBF,VSTBBFBFXXX,SOCIETE GENERALE BURKINA FASO
WBIFBFBF,WBIFBFBFXXX,WENDKUNI BANK INTERNATIONAL
