bic_8,bic,bank
AAAJBG21,AAAJBG21XXX,ARCUS ASSET MANAGEMENT JSC
AAAPBGS1,AAAPBGS1XXX,ALARIC CAPITAL
AAESBGS1,AAESBGS1XXX,ASTRA ASSET MANAGEMENT JSC
AAMJBGS1,AAMJBGS1XXX,ACTIVA ASSET MANAGEMENT JSC
ABIEBGS1,ABIEBGS1XXX,ABV INVESTMENTS LTD
ABIGBGS1,ABIGBGS1XXX,AUSTRIAN BULGARIAN INVESTMENT GROUP AD
ADCRBGS1,ADCRBGS1XXX,ADAMANT CAPITAL PARTNERS AD
ALUDBGS2,ALUDBGS2XXX,ALARIC SECURITIES OOD
AMNMBGS1,AMNMBGS1XXX,EF ASSET MANAGEMENT
AVCABGS1,AVCABGS1XXX,TRADING 212
AVFIBGS1,AVFIBGS1XXX,AVC FINANCE PLC
AVJCBGS1,AVJCBGS1XXX,AVAL IN JSC
BAPDBGS1,BAPDBGS1XXX,BALKAN ADVISORY COMPANY-IP EAD
BCRCBGS1,BCRCBGS1XXX,BCRA - CREDIT RATING AGENCY
BEFNBGS1,BEFNBGS1XXX,BENCHMARK FINANCE
BGUSBGSF,BGUSBGSFXXX,BULGARIAN-AMERICAN CREDIT BANK AD
BICYBGS1,BICYBGS1XXX,LENNO GLOBAL ADVISORY JSC
BIGKBGSF,BIGKBGSFXXX,BIGBANK AS - BRANCH BULGARIA
BLITBGS2,BLITBGS2XXX,BLUESMART INVESTMENTS AD
BNBGBGSA,BNBGBGSAXXX,BULGARIAN NATIONAL BANK
BNBGBGSB,BNBGBGSBXXX,BULGARIAN NATIONAL BANK
BNBGBGSD,BNBGBGSDXXX,BULGARIAN NATIONAL BANK
BNBGBGSE,BNBGBGSEXXX,BULGARIAN NATIONAL BANK
BNBGBGSF,BNBGBGSFBNB,BULGARIAN NATIONAL BANK
BNBGBGSF,BNBGBGSFFRM,BULGARIAN NATIONAL BANK
BNBGBGSF,BNBGBGSFXXX,BULGARIAN NATIONAL BANK
BNPABGSX,BNPABGSXXXX,BNP PARIBAS S.A. - SOFIA BRANCH
BPBIBGSF,BPBIBGSFISD,EUROBANK BULGARIA AD
BPBIBGSF,BPBIBGSFSEC,EUROBANK BULGARIA AD
BPBIBGSF,BPBIBGSFXXX,EUROBANK BULGARIA AD
BSBGBGS2,BSBGBGS2XXX,BORICA AD
BSBGBGSF,BSBGBGSFBOR,BORICA AD
BSBGBGSF,BSBGBGSFGUA,BORICA AD
BSBGBGSF,BSBGBGSFIOP,BORICA AD
BSBGBGSF,BSBGBGSFRTG,BORICA AD
BSBGBGSF,BSBGBGSFST2,BORICA AD
BSBGBGSF,BSBGBGSFTPS,BORICA AD
BSBGBGSF,BSBGBGSFXXX,BORICA AD
BUAABGS1,BUAABGS1XXX,BULBROKERS EAD
BUINBGSF,BUINBGSFXXX,ALLIANZ BANK BULGARIA AD
BUIVBG21,BUIVBG21XXX,BULEX INVEST PLC
BUTKBGS1,BUTKBGS1XXX,UP TREND
CAIJBGS1,CAIJBGS1XXX,CAPITAL INVEST JSC
CAMJBGS1,CAMJBGS1XXX,CAPITAL MARKETS JSC
CECBBGSF,CECBBGSFXXX,CENTRAL COOPERATIVE BANK PLC
CEDPBGSF,CEDPBGSFCLX,CENTRAL DEPOSITORY PLC
CEDPBGSF,CEDPBGSFXXX,CENTRAL DEPOSITORY PLC
CITIBGSF,CITIBGSFTRD,"CITIBANK EUROPE PLC., BULGARIA BRANCH"
CITIBGSF,CITIBGSFXXX,"CITIBANK EUROPE PLC., BULGARIA BRANCH"
CNAEBGS1,CNAEBGS1XXX,CONCORD ASSET MANAGEMENT
COIJBGS1,COIJBGS1XXX,COMPASS INVEST JSC
CPNMBGS1,CPNMBGS1XXX,CAPMAN INC.
CPSMBGS1,CPSMBGS1XXX,CAPMAN ASSET MANAGEMENT JSC
CREXBGSF,CREXBGSFXXX,TOKUDA BANK AD
CSMEBGS1,CSMEBGS1XXX,CCB ASSETS MANAGEMENT EAD
DEEABGS1,DEEABGS1XXX,SMART FUND ASSET MANAGEMENT
DEMIBGSF,DEMIBGSFXXX,D COMMERCE BANK AD
DETTBGS1,DETTBGS1XXX,DELTASTOCK AD
DIFKBGS1,DIFKBGS1XXX,DILINGOVA FINANSOVA KOMPANIA AD
DISJBGS1,DISJBGS1XXX,MK BROKERS AD
DPCDBGS2,DPCDBGS2XXX,DATECS PAYMENT TECHNOLOGY EAD
EAMGBGS1,EAMGBGS1XXX,EXPAT ASSET MANAGEMENT EAD
EAPSBGS2,EAPSBGS2XXX,EASY PAYMENT SERVICES LTD
EBPBBGS2,EBPBBGS2XXX,EBURY PARTNERS BELGIUM NV/SA - BRANCH BULGARIA
ECFEBG22,ECFEBG22XXX,ECONT FINANCIAL SERVICES LTD
EEERBGS1,EEERBGS1XXX,FH EVER INC.
ELFGBGS1,ELFGBGS1XXX,ELANA FUND MANAGEMENT
ELTABGS1,ELTABGS1XXX,ELANA TRADING INC.
ESPYBGS1,ESPYBGS1XXX,EASYPAY AD
EUFCBGS1,EUFCBGS1XXX,EURO-FINANCE LTD
FALSBGS1,FALSBGS1XXX,IP FAVORIT CLS
FAOTBGS2,FAOTBGS2XXX,FACTORI AD
FFAMBGS1,FFAMBGS1XXX,FFBH ASSET MANAGEMENT
FFBHBGS1,FFBHBGS1XXX,FIRST FINANCIAL BROKERAGE HOUSE LTD.
FINVBGSF,FINVBGSFXXX,FIRST INVESTMENT BANK AD
FIRYBGS1,FIRYBGS1XXX,FH FINA-S AD
FNEXBGS1,FNEXBGS1XXX,GRAND CAPITAL LTD
FPIJBGS1,FPIJBGS1XXX,FOCAL POINT INVESTMENTS JSC
GCHOBGS2,GCHOBGS2XXX,GLOBAL CLEARING HOUSE OOD
GLMKBGS1,GLMKBGS1XXX,GLOBAL MARKETS
IABGBGSF,IABGBGSFXXX,INTERNATIONAL ASSET BANK
INCJBGS1,INCJBGS1XXX,INVEST CAPITAL JSC
INGBBGSF,INGBBGSFXXX,ING BANK N.V. SOFIA BRANCH
INMKBGS1,INMKBGS1XXX,IP INTERCAPITAL MARKETS AD
INMKBGSS,INMKBGSSXXX,IP INTERCAPITAL MARKETS AD
INTFBGSF,INTFBGSFXXX,ICARD AD
IORTBGSF,IORTBGSFXXX,INVESTBANK JSC
IUTEBGSF,IUTEBGSFXXX,IUTEPAY BULGARIA EOOD
IVFMBGS1,IVFMBGS1XXX,INVEST FUND MANAGEMENT
KACABGS1,KACABGS1XXX,KAROLL CAPITAL MANAGEMENT
KAOLBGS1,KAOLBGS1XXX,KAROLL
LUMIBGS1,LUMIBGS1XXX,BANK LEUMI ROMANIA-SOFIA BRANCH
MAJSBG21,MAJSBG21XXX,UG MARKET JSC
MCDABGS1,MCDABGS1XXX,MANAGEMENT COMPANY 'DSK ASSET MANAGEMENT' AD
MUAABGS1,MUAABGS1XXX,MUNICIPAL BANK ASSET MANAGEMENT
MYFNBGSF,MYFNBGSFXXX,MYFIN EAD
NASBBGSF,NASBBGSFXXX,BULGARIAN DEVELOPMENT BANK EAD
NODABGS1,NODABGS1XXX,DE NOVO EAD
PATCBGSF,PATCBGSFXXX,PAYNETICS AD
PRCBBGSF,PRCBBGSFXXX,PROCREDIT BANK (BULGARIA) EAD
PYMNBGS2,PYMNBGS2XXX,PAYMAN GROUP OOD
RAMUBGS1,RAMUBGS1XXX,RAIFFEISEN ASSET MANAGEMENT (BULGARIA) EAD
REIABG21,REIABG21XXX,REAL FINANCE JSC
RFAABG21,RFAABG21XXX,REAL FINANCE ASSET MANAGEMENT
SATGBGS1,SATGBGS1XXX,STRATEGY ASSET MANAGEMENT JSC
SATTBGS1,SATTBGS1XXX,SELECT ASSET MANAGMENT
SKSMBGS1,SKSMBGS1XXX,SKY ASSET MANAGEMENT
SOFKBG21,SOFKBG21XXX,SOMONI FINANCIAL BROKERAGE LTD.
SOIUBGS1,SOIUBGS1XXX,SOFIA INTERNATIONAL SECURITIES AD
SOMBBGSF,SOMBBGSFXXX,MUNICIPAL BANK AD
STSABGSF,STSABGSFXXX,DSK BANK AD
STSFBGS1,STSFBGS1XXX,BULBROKERS
STVVBGS1,STVVBGS1XXX,STANDARD INVESTMENT
TASGBGS1,TASGBGS1XXX,TBI ASSET MANAGEMENT EAD
TBIBBGSF,TBIBBGSFXXX,TBI BANK EAD
TBIEBGS1,TBIEBGS1XXX,TBI INVEST EAD
TCZBBGSF,TCZBBGSFXXX,T.C. ZIRAAT BANKASI - SOFIA BRANCH
TEPJBGSF,TEPJBGSFXXX,TENEN PAYMENTS JSC
TESMBGS1,TESMBGS1XXX,TEXIM ASSET MANAGEMENT
TESTBGS1,TESTBGS1XXX,TREND ASSET MANAGEMENT
TEXIBGSF,TEXIBGSFXXX,TEXIM BANK AD
THRIBGS2,THRIBGS2XXX,THRACIAN INVEST INC.
TRIVBGS1,TRIVBGS1XXX,TRANSCARD FINANCIAL SERVICES
TRUDBG21,TRUDBG21XXX,PAYNOVUS AD
UBATBGS1,UBATBGS1XXX,"KBC ASSET MANAGEMENT - KLON, BULGARIA"
UBBSBGSF,UBBSBGSFXXX,UNITED BULGARIAN BANK AD
UGMJBG21,UGMJBG21XXX,UG MARKET FUND MANAGEMENT JSC
UNCRBGSF,UNCRBGSF031,UNICREDIT BULBANK AD
UNCRBGSF,UNCRBGSF081,UNICREDIT BULBANK AD
UNCRBGSF,UNCRBGSF426,UNICREDIT BULBANK AD
UNCRBGSF,UNCRBGSF720,UNICREDIT BULBANK AD
UNCRBGSF,UNCRBGSF733,UNICREDIT BULBANK AD
UNCRBGSF,UNCRBGSFXXX,UNICREDIT BULBANK AD
VAFEBG21,VAFEBG21XXX,VARCHEV FINANCE EOOD
VGAGBGSF,VGAGBGSFXXX,"VARENGOLD BANK AG, SOFIA BRANCH"
VMCEBG21,VMCEBG21XXX,VARCHEV MANAGING COMPANY EAD
VPAYBGS2,VPAYBGS2XXX,VIVA PAYMENT SERVICES S.A. BULGARIA BRANCH
XBULBGS1,XBULBGS1XXX,BULGARIAN STOCK EXCHANGE
XPATBGSF,XPATBGSFXXX,EXPAT ASSET MANAGEMENT EAD
ZAFIBG21,ZAFIBG21XXX,ZAGORA FINACORP AD
ZLLCBGS1,ZLLCBGS1XXX,GOLDEN LION CAPITAL
