bic_8,bic,bank
ABBGBHBM,ABBGBHBMXXX,AL BARAKA GROUP B.S.C (CLOSED)
ABCIBHBM,ABCIBHBMXXX,ABC ISLAMIC BANK (E.C)
ABCOBHBM,ABCOBHBMXXX,ARAB BANKING CORPORATION BSC
ABIBBHBM,ABIBBHBMPMT,AL BARAKA ISLAMIC BANK B.S.C - CLOSED
ABIBBHBM,ABIBBHBMTBO,AL BARAKA ISLAMIC BANK B.S.C - CLOSED
ABIBBHBM,ABIBBHBMTRF,AL BARAKA ISLAMIC BANK B.S.C - CLOSED
ABIBBHBM,ABIBBHBMXXX,AL BARAKA ISLAMIC BANK B.S.C - CLOSED
ABLWBHBM,ABLWBHBMXXX,"ALLIED BANK LIMITED, WHOLESALE BANKING BRANCH"
AFSCBHB1,AFSCBHB1XXX,ARAB FINANCIAL SERVICES CO. B.S.C CLOSED
ALFHBHBM,ALFHBHBMXXX,BANK ALFALAH BAHRAIN
ALSABHBM,ALSABHBMXXX,AL SALAM BANK B.S.C
ALUBBHBM,ALUBBHBMXXX,ALUBAF ARAB INTERNATIONAL BANK B.S.C. (C)
APICBHBM,APICBHBMBH2,ARAB PETROLEUM INVESTMENTS CORPORATION
APICBHBM,APICBHBMXXX,ARAB PETROLEUM INVESTMENTS CORPORATION
ARABBHBM,ARABBHBMCTU,ARAB BANK PLC
ARABBHBM,ARABBHBMINV,ARAB BANK PLC
ARABBHBM,ARABBHBMMAN,ARAB BANK PLC
ARABBHBM,ARABBHBMTRO,ARAB BANK PLC
ARABBHBM,ARABBHBMTSU,ARAB BANK PLC
ARABBHBM,ARABBHBMXXX,ARAB BANK PLC
ASCMBHBM,ASCMBHBMXXX,"ASKARI BANK LIMITED, BAHRAIN BRANCH"
AUBBBHBM,AUBBBHBMISB,KUWAIT FINANCE HOUSE B.S.C CLOSED
AUBBBHBM,AUBBBHBMXXX,KUWAIT FINANCE HOUSE B.S.C CLOSED
BAHFBHB1,BAHFBHB1XXX,BAHRAIN FINANCING CO.
BAHLBHBM,BAHLBHBMXXX,BANK AL HABIB LIMITED
BATSBHB1,BATSBHB1XXX,BRITISH AMERICAN TOBACCO MIDDLE EAST S.P.C.
BBKUBHBM,BBKUBHBMADL,BBK
BBKUBHBM,BBKUBHBMBUD,BBK
BBKUBHBM,BBKUBHBMCLG,BBK
BBKUBHBM,BBKUBHBMCMK,BBK
BBKUBHBM,BBKUBHBMCSU,BBK
BBKUBHBM,BBKUBHBMDIP,BBK
BBKUBHBM,BBKUBHBMERF,BBK
BBKUBHBM,BBKUBHBMEXH,BBK
BBKUBHBM,BBKUBHBMHTN,BBK
BBKUBHBM,BBKUBHBMITN,BBK
BBKUBHBM,BBKUBHBMLOP,BBK
BBKUBHBM,BBKUBHBMMAX,BBK
BBKUBHBM,BBKUBHBMMBR,BBK
BBKUBHBM,BBKUBHBMMHF,BBK
BBKUBHBM,BBKUBHBMMNM,BBK
BBKUBHBM,BBKUBHBMMSF,BBK
BBKUBHBM,BBKUBHBMREC,BBK
BBKUBHBM,BBKUBHBMREF,BBK
BBKUBHBM,BBKUBHBMREM,BBK
BBKUBHBM,BBKUBHBMSAL,BBK
BBKUBHBM,BBKUBHBMSUW,BBK
BBKUBHBM,BBKUBHBMTSU,BBK
BBKUBHBM,BBKUBHBMWRF,BBK
BBKUBHBM,BBKUBHBMXXX,BBK
BBMEBHBX,BBMEBHBXXXX,HSBC BANK MIDDLE EAST LIMITED
BDBBBHBM,BDBBBHBMXXX,BAHRAIN DEVELOPMENT BANK BSC
BFCCBHBM,BFCCBHBMXXX,BAHRAIN FINANCING COMPANY
BHBNBHBM,BHBNBHBMXXX,BAHRAIN BOURSE
BIBBBHBM,BIBBBHBMINV,BAHRAIN ISLAMIC BANK B.S.C.
BIBBBHBM,BIBBBHBMTFD,BAHRAIN ISLAMIC BANK B.S.C.
BIBBBHBM,BIBBBHBMXXX,BAHRAIN ISLAMIC BANK B.S.C.
BIEEBHB1,BIEEBHB1XXX,BAHRAIN INDIA INTERNATIONAL EXCHANGE CO.
BJORBHBM,BJORBHBMXXX,BANK OF JORDAN COMPANY - PUBLIC SHAREHOLDING COMPANY- FOREIGN BRANCH COMPANY
BMAGBHBA,BMAGBHBAXXX,CENTRAL BANK OF BAHRAIN
BMAGBHBM,BMAGBHBMXXX,CENTRAL BANK OF BAHRAIN
BMEABHBM,BMEABHBMXXX,BAHRAIN MIDDLE EAST BANK B.S.C.
BNPABHBC,BNPABHBCXXX,BNP PARIBAS MANAMA
BNPABHBM,BNPABHBMWMI,BNP PARIBAS BAHRAIN
BNPABHBM,BNPABHBMXXX,BNP PARIBAS BAHRAIN
BNPABHC1,BNPABHC1OBU,BNP PARIBAS MANAMA
BNPABHC1,BNPABHC1XXX,BNP PARIBAS MANAMA
BOKNBHBM,BOKNBHBMXXX,BOK INTERNATIONAL
BOMLBHBM,BOMLBHBMOBU,MASHREQBANK PSC
BOMLBHBM,BOMLBHBMWBH,MASHREQBANK PSC
BOMLBHBM,BOMLBHBMXXX,MASHREQBANK PSC
