bic_8,bic,bank
BCBUBIBI,BCBUBIBIXXX,BANQUE COMMERCIALE DU BURUNDI
BCRBBIBI,BCRBBIBIXXX,BANQUE DE CREDIT DE BUJUMBURA
BHBIBIBI,BHBIBIBIXXX,BANQUE DE L'HABITAT DU BURUNDI
BIJEBIBU,BIJEBIBUXXX,BANQUE D'INVESTISSEMENT POUR LES JEUNES
BKGFBIBI,BKGFBIBIXXX,BANQUE DE GESTION ET DE FINANCEMENT S.A.
BRBUBIB2,BRBUBIB2XXX,BANQUE DE LA REPUBLIQUE DU BURUNDI
BRBUBIBI,BRBUBIBIXXX,BANQUE DE LA REPUBLIQUE DU BURUNDI
BUCIBIBI,BUCIBIBIXXX,BANQUE BURUNDAISE POUR LE COMMERCE ET L'INVESTISSEMENT
CBBBBIB1,CBBBBIB1XXX,BANK OF THE REPUBLIC OF BURUNDI
CMEBBIBI,CMEBBIBIXXX,"BANQUE COMMUNAUTAIRE ET AGRICOLE DU BURUNDI, SA"
CORUBIBU,CORUBIBUXXX,CRDB BANK BURUNDI S.A
DTKEBIBI,DTKEBIBIXXX,DIAMOND TRUST BANK BURUNDI S.A
ECOCBIBI,ECOCBIBIXXX,ECOBANK BURUNDI
FIKNBIBI,FIKNBIBIXXX,FINBANK
IBBUBIBI,IBBUBIBIADI,INTERBANK BURUNDI SA
IBBUBIBI,IBBUBIBIXXX,INTERBANK BURUNDI SA
KCBLBIBI,KCBLBIBIXXX,KCB BANK BURUNDI LIMITED
