bic_8,bic,bank
AFICBJBJ,AFICBJBJXXX,BANQUE INTERNATIONALE POUR L'INDUSTRIE ET LE COMMERCE BENIN
AFRIBJB1,AFRIBJB1BWB,BANK OF AFRICA - BENIN
AFRIBJBJ,AFRIBJBJXXX,BANK OF AFRICA - BENIN
ATBJBJBJ,ATBJBJBJXXX,BANQUE ATLANTIQUE DU BENIN
BCAOBJBJ,BCAOBJBJPAR,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAOBJBJ,BCAOBJBJXXX,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BGFIBJBJ,BGFIBJBJXXX,BGFIBANK BENIN
BIICBJBJ,BIICBJBJXXX,BANQUE INTERNATIONALE POUR L'INDUSTRIE ET LE COMMERCE BENIN
BSAHBJBJ,BSAHBJBJXXX,BANQUE SAHELO-SAHARIENNE POUR L' INVESTISSEMENT ET LE COMMERCE BENIN
CBAOBJBJ,CBAOBJBJXXX,CBAO GROUP ATTIJARIWAFABANK
CCEIBJB2,CCEIBJB2XXX,BANGE BANK BENIN
CCEIBJBJ,CCEIBJBJXXX,BANGE BANK BENIN
COBBBJBJ,COBBBJBJXXX,UNITED BANK FOR AFRICA BENIN
CORIBJBJ,CORIBJBJXXX,CORIS BANK INTERNATIONAL BENIN
DBLNBJBJ,DBLNBJBJSEN,NSIA BANQUE BENIN SA
DBLNBJBJ,DBLNBJBJTGO,NSIA BANQUE BENIN SA
DBLNBJBJ,DBLNBJBJXXX,NSIA BANQUE BENIN SA
DCRDBJB1,DCRDBJB1XXX,DEPOSITAIRE CENTRAL-BANQUE DE REGLE MENT (DCBR BENIN)
ECOCBJBJ,ECOCBJBJXXX,ECOBANK BENIN
ORBKBJBJ,ORBKBJBJXXX,ORABANK BENIN
SOCNBJBJ,SOCNBJBJXXX,"SOCIETE NIGERIENNE DE BANK (SONIBANK), SUCCURSALE DU BENIN"
SOGEBJBJ,SOGEBJBJXXX,SOCIETE GENERALE BENIN
