bic_8,bic,bank
BAIDBNBB,BAIDBNBBXXX,BAIDURI BANK SENDIRIAN BERHAD
BDCBBNBB,BDCBBNBBXXX,BRUNEI DARUSSALAM CENTRAL BANK
BIAGBNB1,BIAGBNB1XXX,BRUNEI INVESTMENT AGENCY
BIAGBNBS,BIAGBNBSXXX,BRUNEI INVESTMENT AGENCY
BIBDBNB2,BIBDBNB2XXX,BANK ISLAM BRUNEI DARUSSALAM BERHAD
BIBDBNBB,BIBDBNBBXXX,BANK ISLAM BRUNEI DARUSSALAM BERHAD
BKCHBNBB,BKCHBNBBXXX,BANK OF CHINA (HONG KONG) LIMITED BRUNEI BRANCH
MBBEBNBB,MBBEBNBBXXX,MALAYAN BANKING BERHAD
PTAIBNBB,PTAIBNBBXXX,PERBADANAN TABUNG AMANAH ISLAM BRUNEI
RHBBBNBB,RHBBBNBBXXX,"RHB BANK BERHAD, BRUNEI"
SCBLBNBB,SCBLBNBBXXX,STANDARD CHARTERED BANK
UOVBBNBB,UOVBBNBBCMS,UNITED OVERSEAS BANK LTD
UOVBBNBB,UOVBBNBBXXX,UNITED OVERSEAS BANK LTD
