bic_8,bic,bank
BAMIBOL1,BAMIBOL1XXX,BANCO MINERO DE BOLIVIA
BANIBOLX,BANIBOLXCBB,BANCO BISA S.A.
BANIBOLX,BANIBOLXSCZ,BANCO BISA S.A.
BANIBOLX,BANIBOLXXXX,BANCO BISA S.A.
BAUNBO22,BAUNBO22CBB,BANCO UNION S.A.
BAUNBO22,BAUNBO22LPZ,BANCO UNION S.A.
BAUNBO22,BAUNBO22SCZ,BANCO UNION S.A.
BAUNBO22,BAUNBO22XXX,BANCO UNION S.A.
BCEBBOLP,BCEBBOLPXXX,BANCO CENTRAL DE BOLIVIA
BCPLBOLX,BCPLBOLXCBB,BANCO DE CREDITO DE BOLIVIA SA
BCPLBOLX,BCPLBOLXSCZ,BANCO DE CREDITO DE BOLIVIA SA
BCPLBOLX,BCPLBOLXXXX,BANCO DE CREDITO DE BOLIVIA SA
BCROBO21,BCROBO21XXX,BANCO DE CREDITO ORURO
BFIFBOLP,BFIFBOLPXXX,BANCO FIE S.A.
BFORBOLP,BFORBOLPXXX,BANCO FORTALEZA SA
BIBOBOL1,BIBOBOL1XXX,BANCO DE INVERSION BOLIVIANO S.A.
BNBOBOLX,BNBOBOLXCBB,BANCO NACIONAL DE BOLIVIA S.A
BNBOBOLX,BNBOBOLXLPZ,BANCO NACIONAL DE BOLIVIA S.A
BNBOBOLX,BNBOBOLXORU,BANCO NACIONAL DE BOLIVIA S.A
BNBOBOLX,BNBOBOLXPOI,BANCO NACIONAL DE BOLIVIA S.A
BNBOBOLX,BNBOBOLXSCZ,BANCO NACIONAL DE BOLIVIA S.A
BNBOBOLX,BNBOBOLXSRE,BANCO NACIONAL DE BOLIVIA S.A
BNBOBOLX,BNBOBOLXTES,BANCO NACIONAL DE BOLIVIA S.A
BNBOBOLX,BNBOBOLXTJA,BANCO NACIONAL DE BOLIVIA S.A
BNBOBOLX,BNBOBOLXXXX,BANCO NACIONAL DE BOLIVIA S.A
BOEOBO22,BOEOBO22BEC,BANCO ECONOMICO S.A.
BOEOBO22,BOEOBO22CBB,BANCO ECONOMICO S.A.
BOEOBO22,BOEOBO22LPZ,BANCO ECONOMICO S.A.
BOEOBO22,BOEOBO22SCZ,BANCO ECONOMICO S.A.
BOEOBO22,BOEOBO22XXX,BANCO ECONOMICO S.A.
BPAZBOL1,BPAZBOL1022,BANCO DE LA PAZ ZA
BPAZBOL1,BPAZBOL1023,BANCO DE LA PAZ ZA
BPAZBOL1,BPAZBOL1XXX,BANCO DE LA PAZ ZA
BSCHBO21,BSCHBO21024,BANCO MERCANTIL SANTA CRUZ S.A.
BSCHBO21,BSCHBO21025,BANCO MERCANTIL SANTA CRUZ S.A.
BSCHBO21,BSCHBO21CBB,BANCO MERCANTIL SANTA CRUZ S.A.
BSCHBO21,BSCHBO21LPZ,BANCO MERCANTIL SANTA CRUZ S.A.
BSCHBO21,BSCHBO21XXX,BANCO MERCANTIL SANTA CRUZ S.A.
BSOLBOLP,BSOLBOLPXXX,BANCO SOLIDARIO S.A.
GNDRBO22,GNDRBO22CMI,BANCO GANADERO S.A.
GNDRBO22,GNDRBO22FIT,BANCO GANADERO S.A.
GNDRBO22,GNDRBO22GEB,BANCO GANADERO S.A.
GNDRBO22,GNDRBO22XXX,BANCO GANADERO S.A.
MERBBOLX,MERBBOLXCBB,BANCO MERCANTIL SANTA CRUZ S.A.
MERBBOLX,MERBBOLXSCZ,BANCO MERCANTIL SANTA CRUZ S.A.
MERBBOLX,MERBBOLXXXX,BANCO MERCANTIL SANTA CRUZ S.A.
NACNBOLP,NACNBOLPXXX,BANCO DE LA NACION ARGENTINA
PYCOBO23,PYCOBO23XXX,BANCO PYME DE LA COMUNIDAD S.A.
PYEOBOLP,PYEOBOLPXXX,BANCO PYME ECOFUTURO S.A.
XBOLBOL1,XBOLBOL1XXX,BOLSA BOLIVIANA DE VALORES S.A.
