bic_8,bic,bank
AAGEBRSB,AAGEBRSBXXX,ASA ASSET 2 GESTAO DE RECURSOS LTDA ('ASA')
ABCBBRSP,ABCBBRSPXXX,BANCO ABC BRASIL S.A.
ABNABRSP,ABNABRSPXXX,BANCO ABN AMRO CLEARING S.A.
ACCVBRS1,ACCVBRS1XXX,"ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A."
ACTCBRR1,ACTCBRR1XXX,ATIVA INVESTIMENTOS S/A CTCV
ACUVBRS2,ACUVBRS2XXX,AGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS SA
ADDRBRS2,ADDRBRS2XXX,ADVANCED CORRETORA DE CAMBIO LTDA
AEIBBRS1,AEIBBRS1XXX,"AMERICAN EXPRESS BANK, BRASIL"
AGKCBRS1,AGKCBRS1XXX,AGK CORRETORA DE CAMBIO S.A.
ALCCBRS1,ALCCBRS1XXX,ALFA CCVM S/A
ALPVBRS1,ALPVBRS1XXX,"ALPES CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS LTDA"
AMABBRAB,AMABBRABXXX,BANCO DA AMAZONIA S.A.
ANBRBRS2,ANBRBRS2XXX,BANCO ANDBANK (BRASIL) S.A.
ARBBBRRJ,ARBBBRRJXXX,BANCO ARBI S.A.
ARBBBRS1,ARBBBRS10RJ,BANCO ARBI S.A.
ARBBBRS1,ARBBBRS10RS,BANCO ARBI S.A.
ARBBBRS1,ARBBBRS1XXX,BANCO ARBI S.A.
ASEFBRSP,ASEFBRSPXXX,ASA SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO S.A.
ASNRBRS1,ASNRBRS1XXX,GS ASSET MANAGEMENT BRASIL LTD
ATCTBRR1,ATCTBRR1XXX,ATIVA INVESTIMENTOS S.A. CORRETORA DE TITULOS CAMBIO E VALORES
ATVABRRJ,ATVABRRJXXX,"ATIVA INVESTIMENTOS S/A CORRETORA DE TITULOS, CAMBIO E VALORES"
AVSDBRS2,AVSDBRS2XXX,AVENUE SECURITIES DTVM LTDA
BAGBBRSP,BAGBBRSPXXX,BANCO CREDIT AGRICOLE BRASIL S.A.
BAVOBRSP,BAVOBRSPCST,BANCO VOTORANTIM S.A.
BAVOBRSP,BAVOBRSPXXX,BANCO VOTORANTIM S.A.
BBDCBRS1,BBDCBRS1XXX,BRADESCO S.A. CTVM
BBDEBRSP,BBDEBRSPBEX,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPBGS,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPBHE,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPBLM,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPBNU,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPBSA,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPCAS,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPCON,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPCSH,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPCTA,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPDAC,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPENQ,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPFAC,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPFLA,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPJVE,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPMNS,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPMTZ,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPNHO,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPOCO,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPPAE,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPPCY,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPRCE,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPRJO,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPSDR,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPSPO,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPSTS,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPTES,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPVTA,BANCO BRADESCO SA
BBDEBRSP,BBDEBRSPXXX,BANCO BRADESCO SA
BBDMBRSB,BBDMBRSBXXX,BANCO BRADESCO SA
BBGABRRB,BBGABRRBXXX,BB GESTAO DE RECURSOS-DISTR. DE TITULOS E VALORES MOB. S.A
BBINBRR1,BBINBRR10SP,BANCO BOCOM BBM S.A
BBINBRRJ,BBINBRRJXXX,BANCO BOCOM BBM S.A
BBMFBRSP,BBMFBRSPDBL,BANCO B3 S.A.
BBMFBRSP,BBMFBRSPXXX,BANCO B3 S.A.
BBONBRS2,BBONBRS2XXX,BANCO BS2 S.A.
BBONBRSP,BBONBRSPXXX,BANCO BS2 S.A.
BBRCBRS1,BBRCBRS1XXX,BROKER BRASIL CORRETORA DE CAMBIO LTDA
BBVABRSP,BBVABRSPXXX,BBVA BRASIL BANCO DE INVESTIMENTO S.A.
BCBBBRPR,BCBBBRPRBHE,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRBLM,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRBNU,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRCAS,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRCGB,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRCOR,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRCTA,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRFDS,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRFLA,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRJVE,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRMNS,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRNET,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPROFS,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRPAE,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRPNG,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRRCE,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRRJO,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRSDR,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRSPO,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRSTS,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRTSY,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRVTA,BANCO BRADESCO SA
BCBBBRPR,BCBBBRPRXXX,BANCO BRADESCO SA
BCBRBRDF,BCBRBRDFINT,BANCO CENTRAL DO BRASIL
BCBRBRDF,BCBRBRDFORG,BANCO CENTRAL DO BRASIL
BCBRBRDF,BCBRBRDFXXX,BANCO CENTRAL DO BRASIL
BCDTBRS1,BCDTBRS1XXX,BRASCAN S/A CORRETORA DE TITULOS E
BCIIBRSP,BCIIBRSPXXX,STATE STREET BRASIL S.A. - BANCO COMERCIAL
BCITBRSP,BCITBRSPXXX,INTESA SANPAOLO BRASIL S.A. BANCO MULTIPLO
BCRSBRS1,BCRSBRS1XXX,BANCO ZOGBI SA
BCSIBRRS,BCSIBRRSXXX,BANCO COOPERATIVO SICREDI SA
BCSLBRS1,BCSLBRS1XXX,BANCO CRUZEIRO DO SUL S.A.
BCUEBRS1,BCUEBRS1XXX,BANCO CACIQUE S.A.
BCXPBRSP,BCXPBRSPXXX,BANCO XP S.A.
