bic_8,bic,bank
ADAIBSF1,ADAIBSF1XXX,ADANAC INVESTMENT CO LTD.
ALBTBSN1,ALBTBSN1XXX,ALLIED BANK AND TRUST COMPANY (BAHA MAS) LIMITED
AMRRBSNS,AMRRBSNSXXX,BRITANNIA BANK AND TRUST LTD.
ARNEBSN1,ARNEBSN1XXX,ARNER BANK AND TRUST (BAHAMAS) LTD.
ARUEBSN1,ARUEBSN1XXX,BRITANNIA SECURITIES LIMITED
ARUEBSNS,ARUEBSNSXXX,BRITANNIA SECURITIES LIMITED
BAHDBSN1,BAHDBSN1XXX,BAHAMAS DEVELOPMENT BANK
BASEBSNS,BASEBSNSXXX,BANCA DEL SEMPIONE (OVERSEAS) LTD
BAVOBSNS,BAVOBSNSXXX,"BANCO VOTORANTIM S/A, NASSAU BRANCH"
BBHMBSNS,BBHMBSNSXXX,BAC BAHAMAS BANK LTD.
BBINBSNS,BBINBSNSXXX,BANCO BOCOM BBM S.A.
BBINBSNX,BBINBSNXXXX,BBM BANK LIMITED
BBVIBSN1,BBVIBSN1XXX,"BANCO BILBAO VIZCAYA, NEW YORK BR."
BIGABSNS,BIGABSNSABT,CREDIT SUISSE BRAZIL (BAHAMAS) LIMITED
BIGABSNS,BIGABSNSXXX,CREDIT SUISSE BRAZIL (BAHAMAS) LIMITED
BLICBSN1,BLICBSN1XXX,HSBC PRIVATE BANK (SUISSE) SA
BOFABSN1,BOFABSN1XXX,BANKAMERICA TRUST BANKING CORP (BAHAMAS) LTD
BOTBBSNS,BOTBBSNS0FR,BANK OF THE BAHAMAS LIMITED
BOTBBSNS,BOTBBSNS0N2,BANK OF THE BAHAMAS LIMITED
BOTBBSNS,BOTBBSNS0N3,BANK OF THE BAHAMAS LIMITED
BOTBBSNS,BOTBBSNSXXX,BANK OF THE BAHAMAS LIMITED
BPGEBSN1,BPGEBSN1XXX,PASCHE BANK AND TRUST LIMITED
BPOIBSN1,BPOIBSN1XXX,BANCO POPULAR INTERNATIONAL LTD.
BSAFBSNS,BSAFBSNSXXX,BANK J. SAFRA SARASIN (BAHAMAS) LTD.
BSCHBSN1,BSCHBSN1XXX,BANCO SANTANDER BAHAMAS INTL LTD
BSSABSNS,BSSABSNSXXX,CBH (BAHAMAS) LTD.
BTAMBSNS,BTAMBSNSXXX,FIDELITY BANK (BAHAMAS) LIMITED
CBBABSNS,CBBABSNSBNF,ITAU UNIBANCO S.A. - NASSAU BRANCH
CBBABSNS,CBBABSNSGCH,ITAU UNIBANCO S.A. - NASSAU BRANCH
CBBABSNS,CBBABSNSINM,ITAU UNIBANCO S.A. - NASSAU BRANCH
CBBABSNS,CBBABSNSXXX,ITAU UNIBANCO S.A. - NASSAU BRANCH
CBBHBSNR,CBBHBSNRXXX,"CENTRAL BANK OF THE BAHAMAS,THE"
CBBHBSNS,CBBHBSNSXXX,"CENTRAL BANK OF THE BAHAMAS,THE"
CBLUBSN2,CBLUBSN2XXX,CORNER BANK (OVERSEAS) LIMITED
CHASBSN1,CHASBSN1XXX,CHASE MANHATTAN TRUST CORPORATION LIMITED
CIBABSN1,CIBABSN1XXX,CITITRUST (BAHAMAS) LTD.
CIBCBSNB,CIBCBSNBXXX,CIBC CARIBBEAN TRUST COMPANY (BAHAMAS) LIMITED
CITIBSN1,CITIBSN1XXX,CITICORP BANKING CORPORATION
CITIBSNA,CITIBSNATPS,CITIBANK N.A.
CITIBSNA,CITIBSNAXXX,CITIBANK N.A.
CITIBSNS,CITIBSNSXXX,CITICORP BANKING CORPORATION
COMWBSNS,COMWBSNSXXX,COMMONWEALTH BANK LIMITED
CRESBSNS,CRESBSNSNAS,"UBS AG, NASSAU BRANCH"
CRESBSNS,CRESBSNSXXX,"UBS AG, NASSAU BRANCH"
CRESBSNX,CRESBSNXXXX,"UBS AG, NASSAU BRANCH"
