bic_8,bic,bank
BARBBWGX,BARBBWGXXXX,BANK OF BARODA (BOTSWANA) LIMITED
BARCBWGX,BARCBWGXCBS,ABSA BANK BOTSWANA LIMITED
BARCBWGX,BARCBWGXCUS,ABSA BANK BOTSWANA LIMITED
BARCBWGX,BARCBWGXXXX,ABSA BANK BOTSWANA LIMITED
BATSBW21,BATSBW21XXX,BRITISH AMERICAN TOBACCO BOTSWANA (PTY) LIMITED
BBKNBWGX,BBKNBWGXXXX,BBS BANK LIMITED
BBOTBWGA,BBOTBWGAXXX,BANK OF BOTSWANA
BBOTBWGX,BBOTBWGXXXX,BANK OF BOTSWANA
BGLIBWGX,BGLIBWGXXXX,BANK GABORONE LIMITED
BIFMBWGA,BIFMBWGAXXX,BOTSWANA INSURANCE FUND MANAGEMENT LIMITED
CSERBWG1,CSERBWG1XXX,IMARA CAPITAL SECURITIES (PTY) LTD
FIRNBWGX,FIRNBWGXCUS,FIRST NATIONAL BANK OF BOTSWANA LIMITED
FIRNBWGX,FIRNBWGXXXX,FIRST NATIONAL BANK OF BOTSWANA LIMITED
FMBZBWGA,FMBZBWGACUS,ACCESS BANK BOTSWANA LIMITED
FMBZBWGA,FMBZBWGAXXX,ACCESS BANK BOTSWANA LIMITED
FRCGBWGA,FRCGBWGAXXX,FIRST CAPITAL BANK LIMITED
ISBTBWG1,ISBTBWG1XXX,MOTSWEDI SECURITIES (PROPRIETARY) LIMITED
MOSYBWG1,MOSYBWG1XXX,MOTSWEDI SECURITIES (PTY) LTD.
PCPYBWG1,PCPYBWG1XXX,PAA CAPITAL PTY LTD
SBICBWGX,SBICBWGXXXX,STANBIC BANK BOTSWANA LIMITED
SCHBBWGX,SCHBBWGX008,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX009,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX013,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX015,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX016,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX017,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX018,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX019,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX021,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX022,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX023,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX024,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX026,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX027,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGX036,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGXSSU,STANDARD CHARTERED BANK BOTSWANA LTD
SCHBBWGX,SCHBBWGXXXX,STANDARD CHARTERED BANK BOTSWANA LTD
STOOBWG1,STOOBWG1XXX,STOCKBROKERS BOTSWANA LTD.
XBOTBWG1,XBOTBWG1XXX,BOTSWANA STOCK EXCHANGE LIMITED
XBOTBWGX,XBOTBWGXXXX,BOTSWANA STOCK EXCHANGE LIMITED
