bic_8,bic,bank
AEBKBY2X,AEBKBY2XXXX,NEO BANK ASIA CLOSED JOINT-STOCK COMPANY
AKBBBY2X,AKBBBY2XXXX,BELARUSBANK JOINT-STOCK COMPANY SAVINGS BANK
ALFABY2X,ALFABY2XXXX,ALFA-BANK CLOSED JOINT-STOCK COMPANY
BAPBBY2X,BAPBBY2XXXX,'BELAGROPROMBANK' JSC
BBSBBY21,BBSBBY21XXX,BELARUSIAN BANK FOR SMALL BUSINESS
BBTKBY21,BBTKBY21XXX,CJSC TRADE CAPITAL BANK
BCSXBY22,BCSXBY22XXX,BELARUSIAN CURRENCY AND STOCK EXCHANGE
BELBBY2X,BELBBY2X201,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X202,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X203,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X204,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X205,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X206,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X207,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X208,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X209,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X210,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X211,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X212,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X213,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X214,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X215,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X216,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X217,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X219,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X220,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X221,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X251,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X728,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X794,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2X848,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BELBBY2X,BELBBY2XXXX,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY (BANK BELVEB OJSC)
BLBBBY2X,BLBBBY2X739,BELINVESTBANK JOINT-STOCK COMPANY
BLBBBY2X,BLBBBY2XBRD,BELINVESTBANK JOINT-STOCK COMPANY
BLBBBY2X,BLBBBY2XCBD,BELINVESTBANK JOINT-STOCK COMPANY
BLBBBY2X,BLBBBY2XGOM,BELINVESTBANK JOINT-STOCK COMPANY
BLBBBY2X,BLBBBY2XGRD,BELINVESTBANK JOINT-STOCK COMPANY
BLBBBY2X,BLBBBY2XMOG,BELINVESTBANK JOINT-STOCK COMPANY
BLBBBY2X,BLBBBY2XMRD,BELINVESTBANK JOINT-STOCK COMPANY
BLBBBY2X,BLBBBY2XVRD,BELINVESTBANK JOINT-STOCK COMPANY
BLBBBY2X,BLBBBY2XXXX,BELINVESTBANK JOINT-STOCK COMPANY
BLNBBY2X,BLNBBY2XXXX,BELARUSKI NARODNY BANK
BPSBBY2X,BPSBBY2XXXX,SBER BANK
BRRBBY2X,BRRBBY2XXXX,JOINT-STOCK COMPANY 'DEVELOPMENT BANK OF THE REPUBLIC OF BELARUS'
IRJSBY22,IRJSBY22XXX,JOINT STOCK COMPANY 'STATUSBANK'
MMBNBY22,MMBNBY22271,'BANK DABRABYT' JSC
MMBNBY22,MMBNBY22275,'BANK DABRABYT' JSC
MMBNBY22,MMBNBY22277,'BANK DABRABYT' JSC
MMBNBY22,MMBNBY22279,'BANK DABRABYT' JSC
MMBNBY22,MMBNBY22282,'BANK DABRABYT' JSC
MMBNBY22,MMBNBY22XXX,'BANK DABRABYT' JSC
MTBKBY22,MTBKBY22XXX,JOINT-STOCK COMPANY 'MTBANK'
NBRBBY2X,NBRBBY2XXXX,NATIONAL BANK OF REPUBLIC BELARUS
OLMPBY2X,OLMPBY2X107,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK
OLMPBY2X,OLMPBY2X130,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK
OLMPBY2X,OLMPBY2X171,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK
OLMPBY2X,OLMPBY2X180,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK
OLMPBY2X,OLMPBY2X194,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK
OLMPBY2X,OLMPBY2X232,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK
OLMPBY2X,OLMPBY2X238,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK
OLMPBY2X,OLMPBY2X758,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK
OLMPBY2X,OLMPBY2XXXX,BELORUSSIAN-RUSSIAN BELGAZPROMBANK JOINT STOCK
PJCBBY2X,PJCBBY2XBRS,PRIORBANK JOINT-STOCK COMPANY
PJCBBY2X,PJCBBY2XGML,PRIORBANK JOINT-STOCK COMPANY
PJCBBY2X,PJCBBY2XGRD,PRIORBANK JOINT-STOCK COMPANY
PJCBBY2X,PJCBBY2XMGL,PRIORBANK JOINT-STOCK COMPANY
PJCBBY2X,PJCBBY2XMNK,PRIORBANK JOINT-STOCK COMPANY
PJCBBY2X,PJCBBY2XVTB,PRIORBANK JOINT-STOCK COMPANY
PJCBBY2X,PJCBBY2XXXX,PRIORBANK JOINT-STOCK COMPANY
POISBY2X,POISBY2XXXX,PARITETBANK OPEN JOIN STOCK COMPANY
RCSDBY22,RCSDBY22XXX,REPUBLICAN UNITARY ENTERPRISE 'REPUBLICAN CENTRAL SECURITIES DEPOSITORY'
REDJBY22,REDJBY22XXX,JOINT STOCK BANK OF GROWTH AND BUSINESS DEVELOPMENT
RSHNBY2X,RSHNBY2XXXX,RESHENIE BANK JOINT STOCK COMPANY
RUERBY21,RUERBY21XXX,REPUBLICAN UNITARY ENTERPRISE 'REPUBLICAN CENTRAL SECURITIES DEPOSITORY'
SLANBY22,SLANBY22XXX,VTB BANK (BELARUS) CLOSED JOINT-STOCK COMPANY
TECNBY22,TECNBY22XXX,JOINT STOCK COMPANY TECHNOBANK
UNBSBY2X,UNBSBY2XXXX,JSC BSB BANK
ZEPTBY2X,ZEPTBY2XXXX,ZEPTER BANK JOINT-STOCK COMPANY
