bic_8,bic,bank
BBLZBZBZ,BBLZBZBZXXX,BELIZE BANK LIMITED
BCBTBZBZ,BCBTBZBZXXX,BELIZE BANK INTERNATIONAL LIMITED
CAYEBZBZ,CAYEBZBZXXX,CAYE INTERNATIONAL BANK LTD.
CEBBBZBZ,CEBBBZBZXXX,CENTRAL BANK OF BELIZE
CFADBZB1,CFADBZB1XXX,"COMPANIA FINANCIERA DE APOYO AL DESARROLLO DEL COMERCIO Y LA INDUSTRIA, S.A."
CHOIBZB1,CHOIBZB1XXX,CHOICE BANK LTD
FELABZB1,FELABZB1XXX,XFERION LATIN AMERICA S.A.
FFBRBZB1,FFBRBZB1XXX,FFIN BROKERAGE SERVICES INC
HATTBZB1,HATTBZB1XXX,HANDELS BANK AND TRUST CO. LTD.
ITREBZB1,ITREBZB1XXX,FX PULSE LTD
LIBABZBZ,LIBABZBZ0BS,ATLANTIC BANK LIMITED
LIBABZBZ,LIBABZBZXXX,ATLANTIC BANK LIMITED
NBELBZBB,NBELBZBBXXX,NATIONAL BANK OF BELIZE LIMITED
PRVTBZBD,PRVTBZBDXXX,HERITAGE BANK LIMITED
PRVTBZBS,PRVTBZBSXXX,HERITAGE INTERNATIONAL BANK AND TRUST LIMITED
