bic_8,bic,bank
AAOOCA82,AAOOCA82XXX,CASSIOPAY LIMITED
ABFOCA82,ABFOCA82XXX,ABFPAY.COM LTD
ACCTCA61,ACCTCA61XXX,ACUMEN CAPITAL FINANCE PARTNERS LIMITED
ACKFCAT1,ACKFCAT1XXX,ACKER FINLEY INC.
ACMCCAT1,ACMCCAT1XXX,A.C. MACPHERSON AND CO. INC.
ACMTCAMM,ACMTCAMMXXX,AIR CANADA PENSION MASTER TRUST FUND
AFMICATT,AFMICATTXXX,INVESCO CANADA LTD
AFTECA62,AFTECA62XXX,AFRICHANGE TECHNOLOGIES LIMITED
AIMCCA61,AIMCCA61XXX,ALBERTA INVESTMENT MANAGEMENT CORPORATION
AIMCCA66,AIMCCA66XXX,ALBERTA INVESTMENT MANAGEMENT CORPORATION
AIMCCA6K,AIMCCA6KXXX,ALBERTA INVESTMENT MANAGEMENT CORPORATION
AIMCCA6L,AIMCCA6LXXX,ALBERTA INVESTMENT MANAGEMENT CORPORATION
AIVVCATT,AIVVCATTXXX,AGF INVESTMENTS INC.
ALPICAM1,ALPICAM1XXX,ALPHAFIXE CAPITAL
ALTTCA61,ALTTCA61XXX,ATB CAPITAL MARKETS
APCTCA62,APCTCA62XXX,APA CANADA TECH LIMITED
APTECA22,APTECA22XXX,APUS TECHNOLOGY INC.
ARDUCA82,ARDUCA82XXX,ARDUA SOLUTIONS CORP
ARYYCA82,ARYYCA82XXX,LANSDOWNE PAYMENTS LTD.
ASGGCAT1,ASGGCAT1XXX,TD ASSET MANAGEMENT INC.
ASILCAT1,ASILCAT1XXX,ASCENDANTFX CAPITAL INC
ASILCATT,ASILCATTXXX,ASCENDANTFX CAPITAL INC
ATBRCA6E,ATBRCA6EXXX,ATB FINANCIAL
ATLFCA82,ATLFCA82XXX,ATLASPAY FINANCE LTD
ATRFCA61,ATRFCA61XXX,ALBERTA TEACHERS RETIREMENT FUND BOARD
BAFDCAM1,BAFDCAM1XXX,BANQUE DE DEVELOPPEMENT DU CANADA
BAGNCAT1,BAGNCAT1XXX,BLACKROCK ASSET MANAGEMENT CANADA LIMITED
BAMSCAT1,BAMSCAT1XXX,BANK OF MONTREAL SHORCAN
BAYYCA82,BAYYCA82XXX,BANCORAGE PAY CORP.
BCANCAW2,BCANCAW2XXX,BANK OF CANADA
BCNGCAT1,BCNGCAT1XXX,BLACK CREEK INVESTMENT MANAGEMENT INC.
BCOMCAT1,BCOMCAT1XXX,BCPBANK
BCVMCA81,BCVMCA81XXX,BRITISH COLUMBIA INVESTMENT MANAGEMENT CORPORATION
BCVMCA8G,BCVMCA8GXXX,BRITISH COLUMBIA INVESTMENT MANAGEMENT CORPORATION
BCVMCA8V,BCVMCA8VXXX,BRITISH COLUMBIA INVESTMENT MANAGEMENT CORPORATION
BCVPCA82,BCVPCA82XXX,BCV PAY LIMITED
BEAOCA91,BEAOCA91XXX,BEACON SECURITIES LTD.
BFRLCAT1,BFRLCAT1XXX,BURNS FRY LIMITED
BFXCCAT2,BFXCCAT2XXX,BENDIX FOREIGN EXCHANGE CORPORATION
BGCOCATT,BGCOCATTXXX,"BEUTEL, GOODMAN AND COMPANY LTD."
BHIMCAT1,BHIMCAT1XXX,BMO PRIVATE INVESTMENT COUNSEL INC
BHLLCA81,BHLLCA81XXX,CANACCORD GENUITY CORP
BKCHCA21,BKCHCA21XXX,BANK OF CHINA TORONTO BRANCH
BKCHCAT2,BKCHCAT2XXX,BANK OF CHINA TORONTO BRANCH
BKCHCATT,BKCHCATTVAN,BANK OF CHINA (CANADA)
BKCHCATT,BKCHCATTXXX,BANK OF CHINA (CANADA)
BLCMCAMM,BLCMCAMMXXX,LAURENTIAN BANK OF CANADA
BLCSCAM1,BLCSCAM1XXX,LAURENTIAN BANK SECURITIES INC.
