bic_8,bic,bank
ABNGCDKI,ABNGCDKIXXX,ACCESS BANK CONGO DR
AFCDCDKI,AFCDCDKIXXX,AFRILAND FIRST BANK CONGO DEMOCRATIQUE
AFRICDKS,AFRICDKSXXX,BANK OF AFRICA-RDC
BCCGCDK2,BCCGCDK2XXX,BANQUE CENTRALE DU CONGO
BCCGCDKS,BCCGCDKSXXX,BANQUE CENTRALE DU CONGO
BCDCCDKI,BCDCCDKI03L,EQUITY BANQUE COMMERCIALE DU CONGO
BCDCCDKI,BCDCCDKIXXX,EQUITY BANQUE COMMERCIALE DU CONGO
BGFICDKI,BGFICDKIXXX,BGFIBANK RDC
BICDCDKI,BICDCDKIWAL,FIRSTBANK DRC SA
BICDCDKI,BICDCDKIXXX,FIRSTBANK DRC SA
CITICDKX,CITICDKXXXX,CITIGROUP CONGO SA
CORUCD3L,CORUCD3LXXX,CRDB BANK DR CONGO
ECOCCDKI,ECOCCDKIXXX,ECOBANK REPUBLIQUE DEMOCRATIQUE DU CONGO SA
RAWBCDKI,RAWBCDKIXXX,RAWBANK SA
SBICCDKX,SBICCDKXXXX,STANDARD BANK RDC SA
SFBXCDKI,SFBXCDKIXXX,SOFIBANQUE SA
SLIBCDKI,SLIBCDKIXXX,SOLIDAIRE BANQUE SA
TRMSCD3K,TRMSCD3KXXX,TRUST MERCHANT BANK SA
TRMSCD3L,TRMSCD3LXXX,TRUST MERCHANT BANK SA
UNAFCDKS,UNAFCDKSXXX,UNITED BANK FOR AFRICA RD CONGO S.A.
UZBACDK1,UZBACDK1XXX,UNION ZAIROISE DE BANQUES S A R L
