bic_8,bic,bank
BCBPCGCG,BCBPCGCG001,BANQUE COMMERCIALE INTERNATIONALE (EX. COFIPA INVESTMENT BANK CONGO)
BCBPCGCG,BCBPCGCGXXX,BANQUE COMMERCIALE INTERNATIONALE (EX. COFIPA INVESTMENT BANK CONGO)
BCHCCGCG,BCHCCGCGXXX,BANQUE CONGOLAISE DE L'HABITAT
BCMACGCG,BCMACGCGXXX,CREDIT DU CONGO
BDEACGCG,BDEACGCGXXX,BANQUE DE DEVELOPPEMENT DES ETATS DE L'AFRIQUE CENTRALE
BEACCGCG,BEACCGCG410,BANQUE DES ETATS D'AFRIQUE CENTRALE
BEACCGCG,BEACCGCGALL,BANQUE DES ETATS D'AFRIQUE CENTRALE
BEACCGCG,BEACCGCGXXX,BANQUE DES ETATS D'AFRIQUE CENTRALE
BESCCGCG,BESCCGCGXXX,BANQUE ESPIRITO SANTO CONGO
BGFICGCG,BGFICGCGXXX,BGFIBANK CONGO
BRAZCGCG,BRAZCGCGXXX,ADIC S.A
CNNGCGCG,CNNGCGCGXXX,BANQUE POSTALE DU CONGO
CRAGCGCG,CRAGCGCGXXX,LCB BANK S.A.
ECOCCGCG,ECOCCGCGXXX,ECOBANK CONGO
SCAQCGCG,SCAQCGCGXXX,BANQUE SINO-CONGOLAISE POUR L'AFRIQUE
UNAFCGCG,UNAFCGCGXXX,"UNITED BANK FOR AFRICA, CONGO BRAZZ"
