bic_8,bic,bank
AAGOCHZ1,AAGOCHZ1XXX,BANK FINALBA A.G.
ABPGCH21,ABPGCH21XXX,ABSOLUTE CAPITAL GROUP AG
ABSGCHGG,ABSGCHGGXXX,S.P. HINDUJA BANQUE PRIVEE SA
ABSOCH22,ABSOCH22XXX,ALTERNATIVE BANK SCHWEIZ AG
ACRGCH22,ACRGCH22XXX,ACREVIS BANK AG
ADDACHG1,ADDACHG1XXX,ADDAX ENERGY SA
ADDACHGG,ADDACHGGXXX,ADDAX ENERGY SA
AEKTCH22,AEKTCH22XXX,AEK BANK 1826 GENOSSENSCHAFT
AEXTCHZZ,AEXTCHZZXXX,BANQUE ALGERIENNE DU COMMERCE EXTERIEUR S.A.
AFCLCHZZ,AFCLCHZZXXX,ATLANTIC FORFAITIERUNGS AG
AGRICHGG,AGRICHGGXXX,CA INDOSUEZ (SWITZERLAND) SA
AGRICHGX,AGRICHGXXXX,CREDIT AGRICOLE NEXT BANK (SUISSE) SA
AIKACH22,AIKACH22XXX,APPENZELLER KANTONALBANK
ALCECHG1,ALCECHG1XXX,ALCIFINANCE SA
ALCSCH21,ALCSCH21XXX,ALCOM SECURITIES AG
ALEOCHG1,ALEOCHG1XXX,ALTERNATIVE GESTION SA
ANMICH21,ANMICH21XXX,ANLAGESTIFTUNG DER MIGROS-PENSIONSKASSE
ANPRCH22,ANPRCH22XXX,BANQUE RICHELIEU (SWITZERLAND) LTD
APNACHGG,APNACHGGXXX,ALPIAN SA
AQULCHZZ,AQULCHZZXXX,AQUILA AG
ARBHCH22,ARBHCH22XXX,ALPHA RHEINTAL BANK
ARBSCHZZ,ARBSCHZZXXX,ARAB BANK (SWITZERLAND) LTD
ARFECHG1,ARFECHG1XXX,ARCUS FINANCE
AUCPCHG1,AUCPCHG1XXX,AUTHENTIC CAPITAL SA
AUDSCHGG,AUDSCHGGXXX,BANQUE AUDI (SUISSE) SA
AXIPCHZZ,AXIPCHZZA1E,AXA VERSICHERUNGEN AG
AXIPCHZZ,AXIPCHZZARS,AXA VERSICHERUNGEN AG
AXIPCHZZ,AXIPCHZZARX,AXA VERSICHERUNGEN AG
AXIPCHZZ,AXIPCHZZBVS,AXA VERSICHERUNGEN AG
AXIPCHZZ,AXIPCHZZE20,AXA VERSICHERUNGEN AG
AXIPCHZZ,AXIPCHZZE35,AXA VERSICHERUNGEN AG
AXIPCHZZ,AXIPCHZZE50,AXA VERSICHERUNGEN AG
AXIPCHZZ,AXIPCHZZE75,AXA VERSICHERUNGEN AG
