bic_8,bic,bank
AFDBCIAB,AFDBCIABADF,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABAGT,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABAIF,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABALS,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABAMI,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABARE,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABATF,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABAWF,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABCBF,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABDRC,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABFAP,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABFSF,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABGAF,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABITF,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABLTW,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABMCB,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABMDT,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABMFW,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABMIC,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABNPD,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABNTF,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABPID,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABPRS,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABRWS,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABSEF,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABSRF,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABSRP,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABTRY,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABWAT,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABXXX,AFRICAN DEVELOPMENT BANK
AFDBCIAB,AFDBCIABZMD,AFRICAN DEVELOPMENT BANK
AFGICIAB,AFGICIABXXX,AFG BANK COTE D'IVOIRE
AFRICIAB,AFRICIABXXX,BANK OF AFRICA COTE D'IVOIRE
ATCICIAB,ATCICIABSAN,BANQUE ATLANTIQUE COTE D'IVOIRE
ATCICIAB,ATCICIABXXX,BANQUE ATLANTIQUE COTE D'IVOIRE
BCAOCIAB,BCAOCIABABE,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAOCIAB,BCAOCIABBOU,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAOCIAB,BCAOCIABDAL,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAOCIAB,BCAOCIABKOR,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAOCIAB,BCAOCIABMAN,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAOCIAB,BCAOCIABSAN,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAOCIAB,BCAOCIABXXX,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BDAJCIAB,BDAJCIABXXX,"BANQUE D'ABIDJAN, SA."
BDUTCIAB,BDUTCIABXXX,BANQUE DE L'UNION - COTE D'IVOIRE
BGCDCIAB,BGCDCIABXXX,BRIDGE BANK GROUP COTE D'IVOIRE
BGFICIAB,BGFICIABXXX,BGFIBANK COTE D'IVOIRE
BHCICIAB,BHCICIABXXX,BANQUE DE L'HABITAT DE COTE D'IVOIRE
BIAOCIAB,BIAOCIAB032,NSIA BANQUE COTE D'IVOIRE
BIAOCIAB,BIAOCIAB033,NSIA BANQUE COTE D'IVOIRE
BIAOCIAB,BIAOCIAB034,NSIA BANQUE COTE D'IVOIRE
BIAOCIAB,BIAOCIABDMB,NSIA BANQUE COTE D'IVOIRE
BIAOCIAB,BIAOCIABGIN,NSIA BANQUE COTE D'IVOIRE
BIAOCIAB,BIAOCIABXXX,NSIA BANQUE COTE D'IVOIRE
BICICIAB,BICICIABBKE,BANQUE INTERNAT. POUR LE COMMERCE ET L'INDUSTRIE DE LA COTE D'IVOIRE
BICICIAB,BICICIABBSE,BANQUE INTERNAT. POUR LE COMMERCE ET L'INDUSTRIE DE LA COTE D'IVOIRE
BICICIAB,BICICIABPLT,BANQUE INTERNAT. POUR LE COMMERCE ET L'INDUSTRIE DE LA COTE D'IVOIRE
BICICIAB,BICICIABSUD,BANQUE INTERNAT. POUR LE COMMERCE ET L'INDUSTRIE DE LA COTE D'IVOIRE
BICICIAB,BICICIABXXX,BANQUE INTERNAT. POUR LE COMMERCE ET L'INDUSTRIE DE LA COTE D'IVOIRE
BQTRCIAD,BQTRCIADXXX,BANQUE DES DEPOTS DU TRESOR PUBLIC
BRCICIA1,BRCICIA1XXX,BIAO INVESTISSEMENT
BRMXCIAB,BRMXCIABXXX,BANQUE REGIONALE DE MARCHES
BRVICIA1,BRVICIA1XXX,BOURSE REGIONALE DES VALEURS MOBILIERES
BSAHCIAB,BSAHCIABXXX,BSIC COTE D'IVOIRE
BSOICIAB,BSOICIABXXX,BANQUE MALIENNE DE SOLIDARITE COTE D'IVOIRE
CITICIAX,CITICIAXTRD,CITIBANK COTE D'IVOIRE SA
CITICIAX,CITICIAXXXX,CITIBANK COTE D'IVOIRE SA
CORICIAB,CORICIABXXX,CORIS BANK INTERNATIONAL
CSSSCIAB,CSSSCIABXXX,BANQUE NATIONALE D'INVESTISSEMENT
ECOCCIAB,ECOCCIABXXX,ECOBANK - COTE D'IVOIRE S.A
GTBICIAB,GTBICIABXXX,GUARANTY TRUST BANK COTE D'IVOIRE
IBCICIAB,IBCICIABXXX,COFIPA INVESTMENT BANK COTE D'IVOIRE
MNSACIAB,MNSACIABXXX,MANSA BANK
OMFNCIAB,OMFNCIABXXX,AFRILAND FIRST BANK CI
ORACCIAB,ORACCIABXXX,ORANGE BANK AFRICA
ORBKCIAB,ORBKCIABBF1,ORABANK COTE D'IVOIRE
ORBKCIAB,ORBKCIABML1,ORABANK COTE D'IVOIRE
ORBKCIAB,ORBKCIABNE1,ORABANK COTE D'IVOIRE
ORBKCIAB,ORBKCIABSN2,ORABANK COTE D'IVOIRE
