bic_8,bic,bank
AAVLCLR9,AAVLCLR9XXX,AFEX AGENTES DE VALORES LIMITADA
AFNTCLRS,AFNTCLRSXXX,ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.
AFPCCLRS,AFPCCLRSXXX,ADMINISTRADORA DE FONDOS DE PENSIONES CUPRUM S.A.
AFPPCLR2,AFPPCLR2XXX,ADMINISTRADORA DE FONDOS DE PENSIONES PROVIDA S.A.
AGDSCLRS,AGDSCLRSXXX,ADMINISTRADORA GENERAL DE FONDOS SURA S.A.
BCBDCLR1,BCBDCLR1XXX,BBVA CORREDORES DE BOLSA LIMITADA
BCCSCLR1,BCCSCLR1XXX,BCI CORREDOR DE BOLSA S.A.
BCECCLA1,BCECCLA1XXX,BANCO CENTRAL DE CHILE
BCECCLB1,BCECCLB1XXX,BANCO CENTRAL DE CHILE
BCECCLC1,BCECCLC1XXX,BANCO CENTRAL DE CHILE
BCECCLR2,BCECCLR2XXX,BANCO CENTRAL DE CHILE
BCECCLRD,BCECCLRDXXX,BANCO CENTRAL DE CHILE
BCECCLRF,BCECCLRFXXX,BANCO CENTRAL DE CHILE
BCECCLRM,BCECCLRMCSH,BANCO CENTRAL DE CHILE
BCECCLRM,BCECCLRMFCE,BANCO CENTRAL DE CHILE
BCECCLRM,BCECCLRMFES,BANCO CENTRAL DE CHILE
BCECCLRM,BCECCLRMFRP,BANCO CENTRAL DE CHILE
BCECCLRM,BCECCLRMXXX,BANCO CENTRAL DE CHILE
BCECCLRR,BCECCLRRXXX,BANCO CENTRAL DE CHILE
BCHICLR1,BCHICLR10R2,BANCO DE CHILE
BCHICLR1,BCHICLR10R3,BANCO DE CHILE
BCHICLR1,BCHICLR10R4,BANCO DE CHILE
BCHICLR1,BCHICLR10R5,BANCO DE CHILE
BCHICLR1,BCHICLR10R6,BANCO DE CHILE
BCHICLR1,BCHICLR10R7,BANCO DE CHILE
BCHICLR1,BCHICLR10R8,BANCO DE CHILE
BCHICLR1,BCHICLR10RA,BANCO DE CHILE
BCHICLR1,BCHICLR10RC,BANCO DE CHILE
BCHICLR1,BCHICLR10RV,BANCO DE CHILE
BCHICLR1,BCHICLR10RY,BANCO DE CHILE
BCHICLRM,BCHICLRMCUS,BANCO DE CHILE
BCHICLRM,BCHICLRMEXP,BANCO DE CHILE
BCHICLRM,BCHICLRMIMP,BANCO DE CHILE
BCHICLRM,BCHICLRMIOB,BANCO DE CHILE
BCHICLRM,BCHICLRMXXX,BANCO DE CHILE
BCKUCLRR,BCKUCLRRXXX,BANCO CENTRAL DE CHILE
BCOSCLR1,BCOSCLR1XXX,BANCHILE CORREDORES DE BOLSA S.A.
BECHCLRM,BECHCLRMXXX,BANCO DEL ESTADO DE CHILE
BICECLRM,BICECLRMXXX,BANCO BICE
BICHCLRM,BICHCLRMXXX,BANCO INTERNACIONAL
BKCHCLRM,BKCHCLRMXXX,"BANK OF CHINA, AGENCIA EN CHILE"
BKSACLRM,BKSACLRM055,SCOTIABANK CHILE
BKSACLRM,BKSACLRM061,SCOTIABANK CHILE
BKSACLRM,BKSACLRM064,SCOTIABANK CHILE
BKSACLRM,BKSACLRM068,SCOTIABANK CHILE
BKSACLRM,BKSACLRMXXX,SCOTIABANK CHILE
BLICCLRM,BLICCLRMXXX,HSBC BANK (CHILE)
BOFACLR1,BOFACLR1XXX,"BANK OF AMERICA, S.A. SANTIAGO"
BPABCLRM,BPABCLRMXXX,BANCO BTG PACTUAL CHILE
BSCHCLR1,BSCHCLR10R2,BANCO SANTANDER CHILE
BSCHCLR1,BSCHCLR10R3,BANCO SANTANDER CHILE
BSCHCLR1,BSCHCLR10R4,BANCO SANTANDER CHILE
BSCHCLR1,BSCHCLR10R5,BANCO SANTANDER CHILE
