bic_8,bic,bank
ABNGCMCX,ABNGCMCXXXX,ACCESS BANK CAMEROON PLC
AGBDCMCX,AGBDCMCXXXX,AFRICA GOLDEN BANK S.A
ATCRCMCM,ATCRCMCMXXX,BANQUE ATLANTIQUE CAMEROUN
BCMACMCX,BCMACMCXXXX,SCB CAMEROUN
BEACCMCP,BEACCMCPXXX,BANQUE DES ETATS D'AFRIQUE CENTRALE
BEACCMCX,BEACCMCX090,BANQUE DES ETATS D'AFRIQUE CENTRALE
BEACCMCX,BEACCMCX091,BANQUE DES ETATS D'AFRIQUE CENTRALE
BEACCMCX,BEACCMCX100,BANQUE DES ETATS D'AFRIQUE CENTRALE
BEACCMCX,BEACCMCX110,BANQUE DES ETATS D'AFRIQUE CENTRALE
BEACCMCX,BEACCMCX120,BANQUE DES ETATS D'AFRIQUE CENTRALE
BEACCMCX,BEACCMCX130,BANQUE DES ETATS D'AFRIQUE CENTRALE
BEACCMCX,BEACCMCX140,BANQUE DES ETATS D'AFRIQUE CENTRALE
BEACCMCX,BEACCMCX150,BANQUE DES ETATS D'AFRIQUE CENTRALE
BEACCMCX,BEACCMCXXXX,BANQUE DES ETATS D'AFRIQUE CENTRALE
BGFICMCX,BGFICMCXXXX,BGFIBANK CAMEROUN SA
BPMECMCX,BPMECMCXXXX,BC PME SA
CBCDCMCX,CBCDCMCXAKW,COMMERCIAL BANK - CAMEROUN
CBCDCMCX,CBCDCMCXBFS,COMMERCIAL BANK - CAMEROUN
CBCDCMCX,CBCDCMCXBON,COMMERCIAL BANK - CAMEROUN
CBCDCMCX,CBCDCMCXGRA,COMMERCIAL BANK - CAMEROUN
CBCDCMCX,CBCDCMCXMOK,COMMERCIAL BANK - CAMEROUN
CBCDCMCX,CBCDCMCXMRA,COMMERCIAL BANK - CAMEROUN
CBCDCMCX,CBCDCMCXXXX,COMMERCIAL BANK - CAMEROUN
CBCDCMCX,CBCDCMCXYDE,COMMERCIAL BANK - CAMEROUN
CCAMCMCY,CCAMCMCYXXX,CREDIT COMMUNAUTAIRE D'AFRIQUE S.A.
CCEICMCX,CCEICMCXBAF,AFRILAND FIRST BANK
CCEICMCX,CCEICMCXBDA,AFRILAND FIRST BANK
CCEICMCX,CCEICMCXDLA,AFRILAND FIRST BANK
CCEICMCX,CCEICMCXGRA,AFRILAND FIRST BANK
CCEICMCX,CCEICMCXXXX,AFRILAND FIRST BANK
CITICMCX,CITICMCXTRD,CITIBANK N.A.
CITICMCX,CITICMCXXXX,CITIBANK N.A.
ECOCCMCX,ECOCCMCXXXX,ECOBANK CAMEROUN S.A.
ECSCCMCX,ECSCCMCXXXX,ELITE CAPITAL SECURITIES CENTRAL AFRICA S.A.
ICLRCMCX,ICLRCMCXXXX,BANQUE INTERNATIONALE DU CAMEROUN POUR L'EPARGNE ET LE CREDIT
LREGCMCX,LREGCMCXXXX,LA REGIONALE BANK S.A.
NAFCCMCY,NAFCCMCYXXX,NATIONAL FINANCIAL CREDIT BANK
NAGCCMCM,NAGCCMCMXXX,BANGE BANK CAMEROUN (BANGE CMR S.A)
SGCMCMC1,SGCMCMC10CY,SOCIETE GENERALE CAMEROUN
SGCMCMCX,SGCMCMCXEXT,SOCIETE GENERALE CAMEROUN
SGCMCMCX,SGCMCMCXXXX,SOCIETE GENERALE CAMEROUN
UCMACMCX,UCMACMCXXXX,UNION BANK OF CAMEROON PLC
UNAFCMCX,UNAFCMCXXXX,UNITED BANK FOR AFRICA CAMEROUN SA
