bic_8,bic,bank
ACDPCOB1,ACDPCOB1XXX,ADMINISTRADORA COLOMBIANA DE PENSIONES
ACVRCOB1,ACVRCOB1XXX,ACCIONES Y VALORES S.A.
AFESCOBM,AFESCOBMXXX,ADMINISTRADORA DE FONDOS DE PENSIONES Y CESANTIA PROTECCION S.A.
AFIUCOBB,AFIUCOBBXXX,ALIANZA FIDUCIARIA S.A.
AVCBCOB1,AVCBCOB1XXX,ALIANZA VALORES COMISIONISTA DE BOLSA S.A
BATSCOB1,BATSCOB1XXX,BRITISH AMERICAN TOBACCO COLOMBIA S.A.S.
BAVICOBB,BAVICOBBXXX,BANCO COMERCIAL AV VILLAS S.A.
BBOGCOBB,BBOGCOBBADZ,BANCO DE BOGOTA
BBOGCOBB,BBOGCOBBBAQ,BANCO DE BOGOTA
BBOGCOBB,BBOGCOBBBGA,BANCO DE BOGOTA
BBOGCOBB,BBOGCOBBBO1,BANCO DE BOGOTA
BBOGCOBB,BBOGCOBBCL1,BANCO DE BOGOTA
BBOGCOBB,BBOGCOBBCTG,BANCO DE BOGOTA
BBOGCOBB,BBOGCOBBCUC,BANCO DE BOGOTA
BBOGCOBB,BBOGCOBBMD1,BANCO DE BOGOTA
BBOGCOBB,BBOGCOBBMZ1,BANCO DE BOGOTA
BBOGCOBB,BBOGCOBBPEI,BANCO DE BOGOTA
BBOGCOBB,BBOGCOBBXXX,BANCO DE BOGOTA
BCEXCOBB,BCEXCOBBXXX,BANCO DE COMERCIO EXTERIOR DE COLOMBIA S.A.
BCTOCOBB,BCTOCOBBBAQ,ITAU COLOMBIA S.A.
BCTOCOBB,BCTOCOBBCL1,ITAU COLOMBIA S.A.
BCTOCOBB,BCTOCOBBMD1,ITAU COLOMBIA S.A.
BCTOCOBB,BCTOCOBBXXX,ITAU COLOMBIA S.A.
BNPACOBB,BNPACOBBB2S,BNP PARIBAS COLOMBIA CORPORACION FINANCIERA S.A.
BNPACOBB,BNPACOBBCHL,BNP PARIBAS COLOMBIA CORPORACION FINANCIERA S.A.
BNPACOBB,BNPACOBBCLP,BNP PARIBAS COLOMBIA CORPORACION FINANCIERA S.A.
BNPACOBB,BNPACOBBMXN,BNP PARIBAS COLOMBIA CORPORACION FINANCIERA S.A.
BNPACOBB,BNPACOBBPEN,BNP PARIBAS COLOMBIA CORPORACION FINANCIERA S.A.
BNPACOBB,BNPACOBBXXX,BNP PARIBAS COLOMBIA CORPORACION FINANCIERA S.A.
BPABCOBB,BPABCOBBXXX,BANCO BTG PACTUAL COLOMBIA S.A.
BPOPCOBB,BPOPCOBBADZ,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBAXM,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBBAQ,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBBGA,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBBO1,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBBO2,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBBO3,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBCL1,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBCTG,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBIBE,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBMD1,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBMZ1,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBPEI,BANCO POPULAR SA - COLOMBIA
BPOPCOBB,BPOPCOBBXXX,BANCO POPULAR SA - COLOMBIA
BREPCOBB,BREPCOBBXXX,BANCO DE LA REPUBLICA
BRMBCOB1,BRMBCOB1XXX,BTG PACTUAL S.A. COMISIONISTA DE BOLSA
BSSCCOBB,BSSCCOBBXXX,S3 CACEIS COLOMBIA S.A. SOCIEDAD FIDUCIARIA
BSUDCOBB,BSUDCOBBBAQ,BANCO GNB SUDAMERIS S.A.
BSUDCOBB,BSUDCOBBBGA,BANCO GNB SUDAMERIS S.A.
BSUDCOBB,BSUDCOBBCL1,BANCO GNB SUDAMERIS S.A.
BSUDCOBB,BSUDCOBBCTG,BANCO GNB SUDAMERIS S.A.
BSUDCOBB,BSUDCOBBMD1,BANCO GNB SUDAMERIS S.A.
BSUDCOBB,BSUDCOBBMZ1,BANCO GNB SUDAMERIS S.A.
BSUDCOBB,BSUDCOBBXXX,BANCO GNB SUDAMERIS S.A.
CAFECOBB,CAFECOBBBAQ,BANCO DAVIVIENDA S.A.
CAFECOBB,CAFECOBBCL1,BANCO DAVIVIENDA S.A.
CAFECOBB,CAFECOBBMD1,BANCO DAVIVIENDA S.A.
CAFECOBB,CAFECOBBXXX,BANCO DAVIVIENDA S.A.
CAHVCOB1,CAHVCOB1XXX,BANCO COMERCIAL AV VILLAS S.A.
CASOCOBB,CASOCOBBXXX,BANCO CAJA SOCIAL S.A.
