bic_8,bic,bank
BAGECRSJ,BAGECRSJXXX,"BANCO GENERAL (COSTA RICA), S.A."
BALYCRS1,BALYCRS1XXX,BANCO DEL ISTMO (COSTA RICA) S A
BATSCR21,BATSCR21XXX,BASS AMERICAS S.A.
BATSCR41,BATSCR41XXX,"BATCCA PARK INVERSIONES INMOBILIARIAS, S.A."
BATSCR51,BATSCR51XXX,"BRITISH AMERICAN TOBACCO CENTRAL AMERICA S.A., SUCURSAL COSTA RICA HEREDIA, LLORENTE DE FLORES,"
BATSCRS1,BATSCRS1XXX,BATCCA SERVICIOS S.A.
BCACCRJ1,BCACCRJ1XXX,BANCO CREDITO AGRICOLA DE CARTAGO
BCACCRS1,BCACCRS1XXX,BANCO CREDITO AGRICOLA DE CARTAGO
BCCECRSJ,BCCECRSJXXX,BANCO LAFISE S.A.
BCCRCRSJ,BCCRCRSJXXX,BANCO CENTRAL DE COSTA RICA
BCRICRSJ,BCRICRSJXXX,BANCO DE COSTA RICA
BIMPCRSJ,BIMPCRSJXXX,"BANCO IMPROSA, S.A."
BNCRCRSJ,BNCRCRSJGCI,BANCO NACIONAL DE COSTA RICA
BNCRCRSJ,BNCRCRSJXXX,BANCO NACIONAL DE COSTA RICA
BPDCCRSJ,BPDCCRSJXXX,BANCO POPULAR Y DE DESARROLLO COMUNAL
BSNJCRSJ,BSNJCRSJDPR,BANCO BAC SAN JOSE
BSNJCRSJ,BSNJCRSJXXX,BANCO BAC SAN JOSE
BVPBCRS1,BVPBCRS1XXX,BCT VALORES PUESTO DE BOLSA SA
BXBACRSJ,BXBACRSJDP1,"BANCO DAVIVIENDA (COSTA RICA), S.A."
BXBACRSJ,BXBACRSJDPR,"BANCO DAVIVIENDA (COSTA RICA), S.A."
BXBACRSJ,BXBACRSJXXX,"BANCO DAVIVIENDA (COSTA RICA), S.A."
CAOVCRS1,CAOVCRS1XXX,COOPERATIVA DE AHORRO Y CREDITO DE LOS SERVIDORES PUBLICOS
CCIOCRSJ,CCIOCRSJBBI,BANCO BCT S.A.
CCIOCRSJ,CCIOCRSJXXX,BANCO BCT S.A.
CEVCCRS1,CEVCCRS1XXX,"CENTRAL DE VALORES, S.A. (CEVAL)"
CPOPCRS1,CPOPCRS1XXX,COOPENAE
FCCRCRS1,FCCRCRS1XXX,FINANCIERA G AND T CONTINENTAL COSTA RICA S.A.
FILOCRS1,FILOCRS1XXX,BANCO BCT SOCIEDAD ANONIMA .
FRIPCRS1,FRIPCRS1XXX,FITCH COSTA RICA CALIFICADORA DE RIESGO S.A.
GMAVCRS1,GMAVCRS1XXX,GRUPO MUTUAL ALAJUELA-LA VIVIENDA DE AHORRO Y PRESTAMO
ICVSCRSJ,ICVSCRSJXXX,"INTERCLEAR CENTRAL DE VALORES, S.A."
ISNSCRS1,ISNSCRS1XXX,INSTITUTO NACIONAL DE SEGUROS
KTAYCRSJ,KTAYCRSJXXX,"BANCO CATHAY DE COSTA RICA, S.A."
NOSCCRSJ,NOSCCRSJXXX,DAVIBANK (COSTA RICA) S.A.
PRMKCRSJ,PRMKCRSJXXX,"BANCO PROMERICA DE COSTA RICA, S.A."
TELDCRSJ,TELDCRSJXXX,TELEDOLAR S.A.
