bic_8,bic,bank
ACDRCUHH,ACDRCUHHXXX,"ALTO CEDRO, BANCO CORPORATIVO, S.A."
BCCUCUHH,BCCUCUHHSLB,BANCO CENTRAL DE CUBA
BCCUCUHH,BCCUCUHHSUC,BANCO CENTRAL DE CUBA
BCCUCUHH,BCCUCUHHXXX,BANCO CENTRAL DE CUBA
BDCRCUHH,BDCRCUHHXXX,BANCO DE CREDITO Y COMERCIO
BECUCUHH,BECUCUHHXXX,BANCO EXTERIOR DE CUBA
BFICCUHH,BFICCUHHXXX,BANCO FINANCIERO INTERNACIONAL S.A.
BICUCUHH,BICUCUHHXXX,BANCO DE INVERSIONES S.A.
BIDCCUHH,BIDCCUHHXXX,BANCO INTERNACIONAL DE COMERCIO S.A
BMNBCUHH,BMNBCUHHXXX,BANCO METROPOLITANO S.A.
BNACCUHH,BNACCUHH011,BANCO NACIONAL DE CUBA
BNACCUHH,BNACCUHH613,BANCO NACIONAL DE CUBA
BNACCUHH,BNACCUHHXXX,BANCO NACIONAL DE CUBA
BPAHCUHH,BPAHCUHHXXX,BANCO POPULAR DE AHORRO
INDSCUHH,INDSCUHHXXX,BANCO DE VENEZUELA S.A
