bic_8,bic,bank
BAIPCVCV,BAIPCVCVXXX,"BANCO BAI CABO VERDE, S.A"
BCATCVCV,BCATCVCVXXX,BANCO COMERCIAL DO ATLANTICO
BCAVCVCV,BCAVCVCVXXX,BANCO DE CABO VERDE
BESCCVCP,BESCCVCPXXX,"INTERNATIONAL INVESTMENT BANK, SA"
BFIICVCV,BFIICVCVXXX,"BFI BANK, S.A"
BILRCVC1,BILRCVC1XXX,BANCO INSULAR (I.F.I) S.A.R.L.
CANBCVCV,CANBCVCVXXX,BCN BANCO CABOVERDIANO DE NEGOCIOS SA
CGDICVCP,CGDICVCPXXX,"BANCO INTERATLANTICO, S.A."
CXECCVCV,CXECCVCVXXX,"CAIXA ECONOMICA DE CABO VERDE, SA"
ECOCCVCV,ECOCCVCVXXX,ECOBANK CABO VERDE SA
