bic_8,bic,bank
ABKLCY2N,ABKLCY2NINS,ALPHA BANK CYPRUS LTD
ABKLCY2N,ABKLCY2NLAR,ALPHA BANK CYPRUS LTD
ABKLCY2N,ABKLCY2NLIM,ALPHA BANK CYPRUS LTD
ABKLCY2N,ABKLCY2NPAP,ALPHA BANK CYPRUS LTD
ABKLCY2N,ABKLCY2NXXX,ALPHA BANK CYPRUS LTD
ACNSCY22,ACNSCY22XXX,ATHLOS CAPITAL INVESTMENT SERVICES LTD
ADRMCY21,ADRMCY21XXX,ADIRAM LIMITED
AEPTCY22,AEPTCY22XXX,AEON PAYMENT TECHNOLOGIES LIMITED
AJIBCY2I,AJIBCY2ICCC,ARAB JORDAN INVESTMENT BANK
AJIBCY2I,AJIBCY2IXXX,ARAB JORDAN INVESTMENT BANK
ALFACY2N,ALFACY2NXXX,ALFA CAPITAL MARKETS LTD
ALTOCY21,ALTOCY21XXX,ALLIANCE FACTORS LTD
AMKACY21,AMKACY21XXX,AMG KAPITAL LIMITED
ANCOCY2N,ANCOCY2NTIP,ANCORIA BANK LTD
ANCOCY2N,ANCOCY2NXXX,ANCORIA BANK LTD
APTDCY22,APTDCY22XXX,APPLA TRADING LTD
AREICY21,AREICY21XXX,ARTCAP EASTERN INVESTMENTS LIMITED
ARSOCYN1,ARSOCYN1XXX,ARGUS STOCKBROKERS LTD
ATONCY2N,ATONCY2NXXX,OLIVE TREE CAPITAL MARKETS LIMITED
ATSICY21,ATSICY21XXX,ATLANTIC SECURITIES LIMITED
AVBKCY21,AVBKCY21XXX,INTERNATIONAL BRANCH OF OPEN JOINT- STOCK COMPANY AVTOVAZBANK IN THE REPUBLIC OF CYPRUS
AXVCCY21,AXVCCY21XXX,AXIA VENTURES (CYPRUS) LTD.
BCSUCY21,BCSUCY21XXX,BROKER CREDIT SERVICE (CYPRUS) LIMITED
BCYPCY2N,BCYPCY2N010,BANK OF CYPRUS PUBLIC COMPANY LIMITED
BCYPCY2N,BCYPCY2N030,BANK OF CYPRUS PUBLIC COMPANY LIMITED
BCYPCY2N,BCYPCY2NINS,BANK OF CYPRUS PUBLIC COMPANY LIMITED
BCYPCY2N,BCYPCY2NTSY,BANK OF CYPRUS PUBLIC COMPANY LIMITED
BCYPCY2N,BCYPCY2NXXX,BANK OF CYPRUS PUBLIC COMPANY LIMITED
BNERCY22,BNERCY22XXX,BNKPRO EUROPE LTD
BOFFCY21,BOFFCY21XXX,BOSON ALFA LTD
BRCRCY21,BRCRCY21XXX,THE ULTIMA INVESTMENTS CYPRUS LIMITED
BRCRCY22,BRCRCY22RET,THE ULTIMA INVESTMENTS CYPRUS LIMITED
BRCRCY22,BRCRCY22XXX,THE ULTIMA INVESTMENTS CYPRUS LIMITED
CACVCY21,CACVCY21XXX,S.L. CAPITAL SERVICES LIMITED
CAIYCY21,CAIYCY21XXX,CAPITAL INTELLIGENCE RATINGS LTD
CARDCY2L,CARDCY2LXXX,UNLIMIT EU LTD
CBCYCY2N,CBCYCY2NACC,CENTRAL BANK OF CYPRUS
CBCYCY2N,CBCYCY2NCAS,CENTRAL BANK OF CYPRUS
CBCYCY2N,CBCYCY2NCCB,CENTRAL BANK OF CYPRUS
