bic_8,bic,bank
AAMVCZ21,AAMVCZ21XXX,"ATLANTIK ASSET MANAGEMENT INVESTICNI SPOLECNOST, A.S"
AGBACZPP,AGBACZPPXXX,"MONETA MONEY BANK, A.S."
AIRACZPP,AIRACZPPXXX,AIR BANK A.S.
AKCNCZP2,AKCNCZP2XXX,AKCENTA CZ A.S.
AKCTCZ21,AKCTCZ21XXX,"AKCENTA, SPORITELNI A UVERNI DRUZSTVO"
AKINCZP1,AKINCZP1XXX,"AKRO INVESTICNLSPOLECNOST, A.S."
ANCSCZP1,ANCSCZP1XXX,ANDRASTE CAPITAL S.R.O.
APORCZP2,APORCZP2XXX,"ALTERNATIVE PAYMENT SOLUTIONS, S.R.O"
ARTTCZPP,ARTTCZPPXXX,"ARTESA, SPORITELNI DRUZSTVO PANORAMA BUSINESS CENTER"
ASMVCZP1,ASMVCZP1XXX,"J AND T INVESTICNI SPOLECNOST, A.S."
ATAFCZP1,ATAFCZP1XXX,"ATLANTA SAFE, A.S."
ATLKCZP1,ATLKCZP1XXX,"ATLANTIK FINANCNI TRHY, A.S."
AXILCZPP,AXILCZPPXXX,"UNIQA INVESTICNI SPOLECNOST, A. S."
BACXCZPP,BACXCZPPCBL,"UNICREDIT BANK CZECH REPUBLIC AND SLOVAKIA, A.S."
BACXCZPP,BACXCZPPFAR,"UNICREDIT BANK CZECH REPUBLIC AND SLOVAKIA, A.S."
BACXCZPP,BACXCZPPRET,"UNICREDIT BANK CZECH REPUBLIC AND SLOVAKIA, A.S."
BACXCZPP,BACXCZPPXXX,"UNICREDIT BANK CZECH REPUBLIC AND SLOVAKIA, A.S."
BCIRCZ22,BCIRCZ22XXX,"BANKING CIRCLE S.A., CZECH REPUBLIC"
BEFKCZP1,BEFKCZP1XXX,"B-EFEKT, A.S."
BEORCZP2,BEORCZP2XXX,BESTPAY S.R.O.
BKCHCZPP,BKCHCZPPXXX,BANK OF CHINA (CEE) LTD. PRAGUE BRANCH
BNIBCZP1,BNIBCZP1XXX,BANCIBO SE
BPKOCZPP,BPKOCZPPXXX,"PKO BP S.A., CZECH BRANCH"
BPORCZ22,BPORCZ22XXX,BEEKASH PAYMENT SOLUTION SRO
BPPFCZP1,BPPFCZP1XXX,"BNP PARIBAS PERSONAL FINANCE SA, ODSTEPNY ZAVOD"
BRCYCZP1,BRCYCZP1XXX,"BROKERJET CESKE SPORITELNY, A.S."
BREXCZPP,BREXCZPPXXX,"MBANK S.A., ORGANIZACNI SLOZKA"
BRIKCZPP,BRIKCZPPXXX,BREINROCK S.R.O.
BSPKCZP1,BSPKCZP1XXX,"BURZOVNI SPOLECNOST PRO KAPITALOVY TRH, A.S."
BURSCZP1,BURSCZP1XXX,BUSINESS CREDIT S.R.O.
CAIBCZP1,CAIBCZP1XXX,CREDITANSTALT SECURITIES
CEKOCZPP,CEKOCZPPXXX,CESKOSLOVENSKA OBCHODNI BANKA AS
CIIHCZP1,CIIHCZP1XXX,"CITFIN-FINANCNI TRHY, A.S."
CITFCZPP,CITFCZPPXXX,"CITFIN, SPORITELNI DRUZSTVO"
CITICZPX,CITICZPXAOC,"CITIBANK EUROPE PLC, ORGANIZACNI SLOZKA"
