bic_8,bic,bank
BCDJDJJD,BCDJDJJDXXX,BANQUE CENTRALE DE DJIBOUTI
BCIMDJJX,BCIMDJJXXXX,BANQUE POUR LE COMMERCE AND L'INDUSTRIE MER ROUGE
BKCHDJJD,BKCHDJJDXXX,BANQUE DE CHINE(DJIBOUTI) SA
BMISDJJD,BMISDJJDXXX,BANQUE MISR - DJIBOUTI
BNDJDJD1,BNDJDJD1XXX,BANQUE NATIONALE DE DJIBOUTI
CACDDJJD,CACDDJJDISB,CAC INTERNATIONAL BANK
CACDDJJD,CACDDJJDXXX,CAC INTERNATIONAL BANK
CBETDJJD,CBETDJJDXXX,COMMERCIAL BANK OF ETHIOPIA DJIBOUTI LTD
DECDDJJD,DECDDJJDXXX,BANQUE DE DEPOT ET CREDIT DJIBOUTI
EABDDJJD,EABDDJJDXXX,EAST AFRICA BANK
EXTNDJJD,EXTNDJJDXXX,EXIM BANK (DJIBOUTI) S.A.
IBBDDJJD,IBBDDJJDXXX,INTERNATIONAL BUSINESS BANK DJIBOUTI (IB BANK-DJIBOUTI)
ICDJDJJD,ICDJDJJDXXX,INTERCONTINENTAL INVESTMENT BANK SA
ISEADJJD,ISEADJJDXXX,SALAAM AFRICAN BANK
MRINDJJD,MRINDJJDXXX,BANK OF AFRICA MER ROUGE
SAFBDJJD,SAFBDJJDXXX,SABA AFRICAN BANK (S.A.B) SA
SRIBDJJD,SRIBDJJDXXX,SILK ROAD INTERNATIONAL BANK
