bic_8,bic,bank
AAKRDK22,AAKRDK22XXX,KREDITBANKEN A/S
AASMDKK1,AASMDKK1XXX,ABN AMRO ASSET MANAGEMENT LIMITED
ABAKDK21,ABAKDK21XXX,ABSALON CAPITAL FONDSMAEGLERSELSKAB A/S
ABKFDKK1,ABKFDKK1XXX,ASSET MANAGEMENT FONDSMAEGLERSELSKA B A/S
ACFDDKK1,ACFDDKK1XXX,ACCUNIA FONDSMAEGLERSELSKAB A/S
AGESDK21,AGESDK21XXX,AGRI - EGENS SPAREKASSE
ALBADKKK,ALBADKKK123,AKTIESELSKABET ARBEJDERNES LANDSBANK
ALBADKKK,ALBADKKKEU1,AKTIESELSKABET ARBEJDERNES LANDSBANK
ALBADKKK,ALBADKKKXXX,AKTIESELSKABET ARBEJDERNES LANDSBANK
ALSPDK21,ALSPDK21XXX,DEN JYSKE SPAREKASSE A/S
ANOKDK21,ANOKDK21XXX,ANDELSKASSEN OIKOS
APPNDKK1,APPNDKK1XXX,AP PENSION
ARDADK21,ARDADK21ARF,ARLA FOODS AMBA
ARDADK21,ARDADK21ARL,ARLA FOODS AMBA
ARDADK21,ARDADK21XXX,ARLA FOODS AMBA
ATPDDK22,ATPDDK22IFX,ARBEJDSMARKEDETS TILLAEGSPENSION
ATPDDK22,ATPDDK22XXX,ARBEJDSMARKEDETS TILLAEGSPENSION
BALLDK21,BALLDK21XXX,SPAREKASSEN BALLING
BBRODK21,BBRODK21XXX,SPAREKASSEN BREDEBRO
BIAMDKK2,BIAMDKK2XXX,BI ASSET MANAGEMENT FONDSMAEGLERSSKAB A/S
BIAMDKKK,BIAMDKKKXXX,BI ASSET MANAGEMENT FONDSMAEGLERSSKAB A/S
BILLDK21,BILLDK21XXX,DEXIA P-H PRIVATE BANK A/S
BLCFDK22,BLCFDK22XXX,BLS CAPITAL FONDSMAEGLERSELSKAB A/S
BNPADKKK,BNPADKKKXXX,EKSPRESS BANK A/S
BOBJDK21,BOBJDK21XXX,BORBJERG SPAREKASSE
BOLEDKK1,BOLEDKK1XXX,"BIL DANMARK, FILIAL AF BANQUE INTERNATIONALE A LUXEMBOURG S.A., LUXEMBOURG"
BOYDDK21,BOYDDK21XXX,SPAREKASSEN THY
BRFKDK21,BRFKDK21XXX,JYSKE REALKREDIT A/S
BRFKDK2L,BRFKDK2LXXX,JYSKE REALKREDIT A/S
BSNODK22,BSNODK22XXX,"SANTANDER CONSUMER BANK, FILIAL AF SANTANDER CONSUMER BANK AS, NORGE"
BSUIDKKK,BSUIDKKKXXX,"CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK DENMARK, FILIAL AF CA-CIB, FRANKRIG"
CARNDK22,CARNDK22XXX,C WORLDWIDE ASSET MANAGEMENT FONDSMAEGLERSELSKAB A/S
CARNDKKK,CARNDKKKEUR,"DNB CARNEGIE INVESTMENT BANK, FILIAL AF DNB CARNEGIE INVESTMENT BANK AB (PUBL), SVERIGE"
CARNDKKK,CARNDKKKXXX,"DNB CARNEGIE INVESTMENT BANK, FILIAL AF DNB CARNEGIE INVESTMENT BANK AB (PUBL), SVERIGE"
CARNDKKK,CARNDKKKYYY,"DNB CARNEGIE INVESTMENT BANK, FILIAL AF DNB CARNEGIE INVESTMENT BANK AB (PUBL), SVERIGE"
CFAIDKK1,CFAIDKK1XXX,CAPITAL FOUR AIFM A/S
CFMFDKK1,CFMFDKK1XXX,CAPITAL FOUR MANAGEMENT FONDSMAEGLERSELSKAB A/S
CITIDKKK,CITIDKKKXXX,CITIBANK EUROPE PLC DENMARK BRANCH
CITIDKKX,CITIDKKXCTI,CITIBANK EUROPE PLC DENMARK BRANCH
CITIDKKX,CITIDKKXTGT,CITIBANK EUROPE PLC DENMARK BRANCH
CITIDKKX,CITIDKKXXXX,CITIBANK EUROPE PLC DENMARK BRANCH
CLEHDK21,CLEHDK21XXX,CLEARHAUS A/S
CLGSDKK2,CLGSDKK2XXX,CLEARING SERVICES PS
DABADKKK,DABADKKK3PT,DANSKE BANK A/S
DABADKKK,DABADKKKAAB,DANSKE BANK A/S
DABADKKK,DABADKKKAAL,DANSKE BANK A/S
DABADKKK,DABADKKKAAR,DANSKE BANK A/S
DABADKKK,DABADKKKBAG,DANSKE BANK A/S
DABADKKK,DABADKKKBAL,DANSKE BANK A/S
DABADKKK,DABADKKKBIR,DANSKE BANK A/S
DABADKKK,DABADKKKBJE,DANSKE BANK A/S
DABADKKK,DABADKKKCAP,DANSKE BANK A/S
DABADKKK,DABADKKKCLS,DANSKE BANK A/S
DABADKKK,DABADKKKCUS,DANSKE BANK A/S
DABADKKK,DABADKKKDKK,DANSKE BANK A/S
DABADKKK,DABADKKKESB,DANSKE BANK A/S
DABADKKK,DABADKKKEUR,DANSKE BANK A/S
DABADKKK,DABADKKKEXC,DANSKE BANK A/S
DABADKKK,DABADKKKEXH,DANSKE BANK A/S
DABADKKK,DABADKKKFRC,DANSKE BANK A/S
DABADKKK,DABADKKKFRH,DANSKE BANK A/S
DABADKKK,DABADKKKFSU,DANSKE BANK A/S
DABADKKK,DABADKKKGEN,DANSKE BANK A/S
DABADKKK,DABADKKKGLO,DANSKE BANK A/S
DABADKKK,DABADKKKGRN,DANSKE BANK A/S
DABADKKK,DABADKKKHAD,DANSKE BANK A/S
DABADKKK,DABADKKKHBK,DANSKE BANK A/S
DABADKKK,DABADKKKHEL,DANSKE BANK A/S
DABADKKK,DABADKKKHER,DANSKE BANK A/S
DABADKKK,DABADKKKHIL,DANSKE BANK A/S
DABADKKK,DABADKKKHIR,DANSKE BANK A/S
DABADKKK,DABADKKKHJO,DANSKE BANK A/S
DABADKKK,DABADKKKHOL,DANSKE BANK A/S
DABADKKK,DABADKKKHOR,DANSKE BANK A/S
DABADKKK,DABADKKKHRL,DANSKE BANK A/S
DABADKKK,DABADKKKKAL,DANSKE BANK A/S
DABADKKK,DABADKKKKAS,DANSKE BANK A/S
DABADKKK,DABADKKKKGE,DANSKE BANK A/S
DABADKKK,DABADKKKKOL,DANSKE BANK A/S
DABADKKK,DABADKKKKOM,DANSKE BANK A/S
DABADKKK,DABADKKKKOR,DANSKE BANK A/S
DABADKKK,DABADKKKKOS,DANSKE BANK A/S
DABADKKK,DABADKKKKVM,DANSKE BANK A/S
DABADKKK,DABADKKKKVS,DANSKE BANK A/S
DABADKKK,DABADKKKLYN,DANSKE BANK A/S
DABADKKK,DABADKKKMID,DANSKE BANK A/S
DABADKKK,DABADKKKNAE,DANSKE BANK A/S
DABADKKK,DABADKKKNAK,DANSKE BANK A/S
DABADKKK,DABADKKKNYB,DANSKE BANK A/S
DABADKKK,DABADKKKNYF,DANSKE BANK A/S
DABADKKK,DABADKKKNYS,DANSKE BANK A/S
DABADKKK,DABADKKKODE,DANSKE BANK A/S
DABADKKK,DABADKKKRAN,DANSKE BANK A/S
DABADKKK,DABADKKKRIN,DANSKE BANK A/S
DABADKKK,DABADKKKROD,DANSKE BANK A/S
DABADKKK,DABADKKKRON,DANSKE BANK A/S
DABADKKK,DABADKKKROS,DANSKE BANK A/S
DABADKKK,DABADKKKSBY,DANSKE BANK A/S
DABADKKK,DABADKKKSIL,DANSKE BANK A/S
DABADKKK,DABADKKKSKB,DANSKE BANK A/S
DABADKKK,DABADKKKSKI,DANSKE BANK A/S
DABADKKK,DABADKKKSLA,DANSKE BANK A/S
DABADKKK,DABADKKKSLS,DANSKE BANK A/S
DABADKKK,DABADKKKSON,DANSKE BANK A/S
DABADKKK,DABADKKKSTR,DANSKE BANK A/S
DABADKKK,DABADKKKSVB,DANSKE BANK A/S
DABADKKK,DABADKKKTAA,DANSKE BANK A/S
DABADKKK,DABADKKKTHI,DANSKE BANK A/S
DABADKKK,DABADKKKTIP,DANSKE BANK A/S
DABADKKK,DABADKKKTON,DANSKE BANK A/S
DABADKKK,DABADKKKVAR,DANSKE BANK A/S
DABADKKK,DABADKKKVEJ,DANSKE BANK A/S
DABADKKK,DABADKKKVIB,DANSKE BANK A/S
DABADKKK,DABADKKKXXX,DANSKE BANK A/S
DACDDK2A,DACDDK2AXXX,DANSKE COMMODITIES A/S
DACPDKK1,DACPDKK1XXX,DANSKE BANK A/S
DAFKDK21,DAFKDK21XXX,FORSIKRINGSSELSKABET DANICA SKADEFORSIKRINGSAKTIESELSKAB AF
DAKFDK21,DAKFDK21XXX,DKF INVEST A/S
DANBDK22,DANBDK22EUR,DANSKE ANDELSKASSERS BANK A/S
DANBDK22,DANBDK22TST,DANSKE ANDELSKASSERS BANK A/S
DANBDK22,DANBDK22XXX,DANSKE ANDELSKASSERS BANK A/S
DAOFDK21,DAOFDK21XXX,DANSK O.T.C FONDSMAEGLERSELSKAB A/S
DCAKDKK1,DCAKDKK1XXX,DANSKE CIVIL- OG AKADEMIINGENIORERS PENSIONSKASSE
DEPRDKK1,DEPRDKK1AOP,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1EMA,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1GA2,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1GAM,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1GAP,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1GIM,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1GO1,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1GO2,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1KEO,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1KOF,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1MKM,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1MKP,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1MOP,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1SGA,KAPITALFORENINGEN LD
DEPRDKK1,DEPRDKK1XXX,KAPITALFORENINGEN LD
DETRDKK1,DETRDKK1XXX,THE DANISH EMISSION TRADING REGISTRY DANISH ENERGY AGENCY
DFIIDK21,DFIIDK21XXX,FORMUE- AND INVESTERINGSPLE INVESTERINGSPLEJE A/S FONDSMAEGLERSELSKAB
DJURDK22,DJURDK22DKK,DJURSLANDS BANK AS
DJURDK22,DJURDK22EUR,DJURSLANDS BANK AS
DJURDK22,DJURDK22XXX,DJURSLANDS BANK AS
DKNBDKKD,DKNBDKKDXXX,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKASA,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKBAC,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKBIL,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKCD7,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKCHA,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKDEP,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKEAC,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKECO,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKEUR,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKFEE,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKFOL,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKGOV,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKIMF,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKINP,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKINR,DANMARKS NATIONALBANK
DKNBDKKK,DKNBDKKKLAD,DANMARKS NATIONALBANK
