bic_8,bic,bank
ARTNDMD1,ARTNDMD1XXX,ARTON BANK CORPORATION
AYBADMD2,AYBADMD2XXX,AYBANK INC
BCBKDMD1,BCBKDMD1XXX,BARNETT CAPITAL BANK CORPORATION
CMBKDMDM,CMBKDMDMXXX,COMPASS BANK AND TRUST CORPORATION
CMWBDMDM,CMWBDMDMXXX,ALL CAPITAL BANK AND TRUST LIMITED
FRTTDMD1,FRTTDMD1XXX,FORT BANK INC.
GITRDMD2,GITRDMD2XXX,GUARDIAN INTERNATIONAL BANK AND TRUST CORPORATION
GVDMDMDM,GVDMDMDMXXX,GOVERNMENT OF DOMINICA
JETODMD2,JETODMD2XXX,JETON BANK LIMITED
KICPDMD2,KICPDMD2XXX,THE KINGDOM BANK CORPORATION
NCDMDMDM,NCDMDMDMXXX,NATIONAL BANK OF DOMINICA LTD
PAXUDMDM,PAXUDMDMXXX,PAXUM BANK LIMITED
RBNKDMDM,RBNKDMDMDMA,REPUBLIC BANK (EC) LIMITED
RBNKDMDM,RBNKDMDMXXX,REPUBLIC BANK (EC) LIMITED
ZUMADMDM,ZUMADMDMXXX,ZUMA BANK CORPORATION
