bic_8,bic,bank
ABHPDOS1,ABHPDOS1XXX,ASOCIACION BARAHONA DE AHORROS Y PRESTAMOS
ABHRDOSD,ABHRDOSDXXX,ASOCIACION BONAO DE AHORROS Y PRESTAMOS
ACAPDOS1,ACAPDOS1XXX,ASOCIACION COTUI DE AHORROS Y PRESTAMOS
ACAUDOS1,ACAUDOS1XXX,"BANCO DE AHORRO Y CREDITO ALTAS CUMBRES, S.A."
ACDGDOS1,ACDGDOS1XXX,"AGENTE DE CAMBIO DARIO GUZMAN,S.A."
ACEDDOS1,ACEDDOS1XXX,AGENTE DE CAMBIO EURODIVISAS DOMINI CANA S.A.
ACEODOS1,ACEODOS1XXX,"AGENTE DE CAMBIO CENTRO DOLLAR CD, S.A."
ACFEDOS1,ACFEDOS1XXX,"BANCO DE AHORRO Y CREDITO FONDESA, S.A. (BANFONDESA)"
ACFEDOSC,ACFEDOSCXXX,"BANCO DE AHORRO Y CREDITO FONDESA, S.A. (BANFONDESA)"
ACFPDOS1,ACFPDOS1XXX,AGENTE DE CAMBIO FIRST POINT
ACHADOS1,ACHADOS1XXX,AGENTE DE CAMBIO HNOS DE LOS SANTOS
ACIBDOS1,ACIBDOS1XXX,ASOCIACION CIBAO DE AHORROS Y PRESTAMOS
ACIBDOSX,ACIBDOSXXXX,ASOCIACION CIBAO DE AHORROS Y PRESTAMOS
ACNCDOS1,ACNCDOS1XXX,AGENTE DE CAMBIO LA NACIONAL C.POR.A
ACPHDOS1,ACPHDOS1XXX,AGENTE DE CAMBIO PATRICIO HIERRO S.A.
ACRDDOS1,ACRDDOS1XXX,"AGENTE DE CAMBIO REMESAS DOMINICANAS, S.A."
ACRSDOS1,ACRSDOS1XXX,"AGENTE DE CAMBIO RIJO AND ASOCIADOS ,S.A"
ACSLDOS1,ACSLDOS1XXX,"AGENTE DE CAMBIO SANTA LUCIA, S. A"
ACXADOS2,ACXADOS2XXX,"AGENTE DE CAMBIO EXTRANJERO A.C.E., S.A."
ADAPDOS1,ADAPDOS1XXX,ASOCIACION DOMINICANA DE AHORROS Y PRESTAMOS
ADUADOS1,ADUADOS1XXX,ASOCIACION DUARTE DE AHORROS Y PRESTAMOS
AFPIDOS1,AFPIDOS1XXX,"ADMINISTRADORA DE FONDOS DE PENSIONES SIEMBRA, S.A"
AFPSDOS1,AFPSDOS1XXX,"ADMINISTRADORA DE FONDOS DE PENSIONES RESERVAS, (AFP RESERVAS) S. A."
AGACDOS1,AGACDOS1XXX,"AGENTE DE CAMBIO C P Y R COMERCIAL, S.A."
AGADDOS1,AGADDOS1XXX,"AGENTE DE CAMBIO LA MOREDI, S.A"
AGATDOS1,AGATDOS1XXX,"AGENTE DE CAMBIO S.C.T.,S.A."
AGCDDOS1,AGCDDOS1XXX,"AGENTE DE CAMBIO PLACIDO IV, S.A"
AGCLDOS1,AGCLDOS1XXX,"AGENTE DE CAMBIO ALEYBRA, S.A."
AGCMDOS1,AGCMDOS1XXX,"VT AGENTE DE CAMBIO, S.A"
AGCNDOS1,AGCNDOS1XXX,"AGENTE DE CAMBIO LEONEL, S.A"
AGCRDOS1,AGCRDOS1XXX,AGENTE DE CAMBIO LOS PRIMOS
AGCTDOS1,AGCTDOS1XXX,"AGENTE DE CAMBIO TAVERAS,S.A"
AGMCDOS1,AGMCDOS1XXX,AGENTE DE CAMBIO CONCEPCION
AGMMDOS1,AGMMDOS1XXX,"AGENTE DE CAMBIO MARVE, S.A."
AHAPDOS1,AHAPDOS1XXX,ASOCIACION HIGUAMO DE AHORROS Y PRESTAMOS
AHCADOS1,AHCADOS1XXX,"BANCO DE AHORRO Y CREDITO ATLAS, S.A."
AHCDDOS1,AHCDDOS1XXX,"BANCO DE AHORRO Y CREDITO ADOPEM, S.A."
AHCDDOS2,AHCDDOS2XXX,"BANCO DE AHORRO Y CREDITO ADOPEM, S.A."
AHCEDOS1,AHCEDOS1XXX,"BANCO DE AHORRO Y CREDITO FEDERAL, S.A."
AHCGDOS1,AHCGDOS1XXX,"BANCO DE AHORRO Y CREDITO FIHOGAR, S.A."
AHCGDOS3,AHCGDOS3XXX,"BANCO DE AHORRO Y CREDITO FIHOGAR, S.A."
AHCMDOSD,AHCMDOSDXXX,BANCO MULTIPLE ADEMI. S.A
