bic_8,bic,bank
ABPCECE1,ABPCECE1XXX,ASOCIACION DE BANCOS PRIVADOS DEL E CUADOR
ALFLECE1,ALFLECE1XXX,ALTERNATIVAS FINANCIERAS S.A. ALTER FINSA
AUSTECEQ,AUSTECEQXXX,BANCO DEL AUSTRO S.A.
BAAZECE1,BAAZECE10EQ,BANCO DEL AZUAY
BAAZECE1,BAAZECE1XXX,BANCO DEL AZUAY
BACZECE1,BACZECE1XXX,BANCO AMAZONAS
BASAECEG,BASAECEGXXX,BANCO AMAZONAS S.A.
BBOLECEG,BBOLECEG100,BANCO BOLIVARIANO C.A.
BBOLECEG,BBOLECEGXXX,BANCO BOLIVARIANO C.A.
BCAPECQ1,BCAPECQ1XXX,BANCO CAPITAL S.A
BCENECEQ,BCENECEQ100,BANCO CENTRAL DEL ECUADOR
BCENECEQ,BCENECEQ120,BANCO CENTRAL DEL ECUADOR
BCENECEQ,BCENECEQXXX,BANCO CENTRAL DEL ECUADOR
BGRMECEQ,BGRMECEQ100,BANCO GENERAL RUMINAHUI S.A.
BGRMECEQ,BGRMECEQ200,BANCO GENERAL RUMINAHUI S.A.
BGRMECEQ,BGRMECEQ505,BANCO GENERAL RUMINAHUI S.A.
BGRMECEQ,BGRMECEQXXX,BANCO GENERAL RUMINAHUI S.A.
BINTECEQ,BINTECEQ100,BANCO INTERNACIONAL SA
BINTECEQ,BINTECEQXXX,BANCO INTERNACIONAL SA
BMACECEG,BMACECEG0E3,BANCO DE MACHALA S.A.
BMACECEG,BMACECEG0E4,BANCO DE MACHALA S.A.
BMACECEG,BMACECEG0E5,BANCO DE MACHALA S.A.
BMACECEG,BMACECEG0E6,BANCO DE MACHALA S.A.
BMACECEG,BMACECEG0E7,BANCO DE MACHALA S.A.
BMACECEG,BMACECEG0E8,BANCO DE MACHALA S.A.
BMACECEG,BMACECEG0EG,BANCO DE MACHALA S.A.
BMACECEG,BMACECEGXXX,BANCO DE MACHALA S.A.
BNNRECE1,BNNRECE1XXX,BANRED SA
BNSLECEQ,BNSLECEQXXX,BANCO SOLIDARIO S.A.
BUNIECE1,BUNIECE1XXX,BANCO UNIVERSAL S.A. UNIBANCO
CACJECE1,CACJECE1XXX,COOPERATIVA DE AHORRO Y CREDITO 23 DE JULIO LTDA
CACQECE1,CACQECE1XXX,COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA DE PASTAZA LTDA
CACWECE1,CACWECE1XXX,COOPERATIVA DE AHORRO Y CREDITO WUAMANLOMA LTDA
CADHECE1,CADHECE1XXX,COOPERATIVA DE AHORRO Y CREDITO CHONE LTDA
CADJECE1,CADJECE1XXX,COOPERATIVA DE AHORRO Y CREDITO SAN JUAN DE COTOGCHOA
CADWECE1,CADWECE1XXX,COOPERATIVA DE AHORRO Y CREDITO WARMIKUNAPAK RIKCHARI LTDA
CAEJECE1,CAEJECE1XXX,COOPERATIVA DE AHORRO Y CREDITO JUAN PIO DE MORA LTDA
CAEZECE1,CAEZECE1XXX,COOPERATIVA DE AHORRO Y CREDITO ALIANZA DEL VALLE LTDA
CAIQECE1,CAIQECE1XXX,COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA CACPE YANTZAZA LTDA
CAIZECE1,CAIZECE1XXX,COOPERATIVA DE AHORRO Y CREDITO ILINIZA LTDA
CAMWECE1,CAMWECE1XXX,COOPERATIVA DE AHORRO Y CREDITO MUS KAWSAY LTDA
CAOHECE1,CAOHECE1XXX,COOPERATIVA DE AHORRO Y CREDITO PILAHUIN
CAOYECE1,CAOYECE1XXX,COOPERATIVA DE AHORRO Y CREDITO 15 DE MAYO LTDA
CAOZECE1,CAOZECE1XXX,COOPERATIVA DE AHORRO Y CREDITO ESPERANZA Y PROGRESO DEL VALLE
CARQECE1,CARQECE1XXX,COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA CACPE LOJA LTDA
CATJECE1,CATJECE1XXX,COOPERATIVA DE AHORRO Y CREDITO JOYOCOTO LTDA
CATQECE1,CATQECE1XXX,COOPERATIVA DE AHORRO Y CREDITO ATUNTAQUI LTDA
CATZECE1,CATZECE1XXX,COOPERATIVA DE AHORRO Y CREDITO LUZ DEL VALLE
CAZMECE1,CAZMECE1XXX,COOPERATIVA DE AHORRO Y CREDITO ALIANZA MINAS LTDA
CBMIECE1,CBMIECE1XXX,BANCO COMERCIAL DE MANABI S.A.
CBMIECE3,CBMIECE3XXX,BANCO COMERCIAL DE MANABI S.A.
CCDRECE1,CCDRECE1XXX,COOPERATIVA DE AHORRO Y CREDITO ACCION Y DESARROLLO LTDA
CCHEECE1,CCHEECE1XXX,COOPERATIVA DE AHORRO Y CREDITO JADAN
CCJAECE1,CCJAECE1XXX,COOPERATIVA DE AHORRO Y CREDITO JARDIN AZUAYO LTDA
CCRDECE1,CCRDECE1XXX,COOPERATIVA DE AHORRO Y CREDITO CAMARA DE COMERCIO INDIGENA DE GUAMOTE LTDA
CDASECE1,CDASECE1XXX,COOPERATIVA DE AHORRO Y CREDITO ARTESANOS LTDA
CDCAECE1,CDCAECE1XXX,COOPERATIVA DE AHORRO Y CREDITO AMBATO LTDA
CDMUECE1,CDMUECE1XXX,COOPERATIVA DE AHORRO Y CREDITO MUJERES UNIDAS
CDNJECE1,CDNJECE1XXX,COOPERATIVA DE AHORRO Y CREDITO LA NUEVA JERUSALEN
CDRGECE1,CDRGECE1XXX,COOPERATIVA DE AHORRO Y CREDITO 15 DE AGOSTO DE PILACOTO
CDSAECE1,CDSAECE1XXX,COOPERATIVA DE AHORRO Y CREDITO SANTA ANITA LTDA
CEADECE1,CEADECE1XXX,COOPERATIVA DE AHORRO Y CREDITO ANDINA LTDA
CECHECE1,CECHECE1XXX,COOPERATIVA DE AHORRO Y CREDITO EDUCADORES DE CHIMBORAZO LTDA
CEOCECE1,CEOCECE1XXX,COOPERATIVA DE AHORRO Y CREDITO 4 DE OCTUBRE
CEORECE1,CEORECE1XXX,COOPERATIVA DE AHORRO Y CREDITO ERCO LTDA
CESGECE1,CESGECE1XXX,COOPERATIVA DE AHORRO Y CREDITO SEMILLA DEL PROGRESO LTDA
CETAECE1,CETAECE1XXX,COOPERATIVA DE AHORRO Y CREDITO EDUCADORES DE TUNGURAHUA LTDA
CFJLECE1,CFJLECE1XXX,COOPERATIVA DE AHORRO Y CREDITO ALFONSO JARAMILLO LEON C.C.C
CHCBECE1,CHCBECE1XXX,COOPERATIVA DE AHORRO Y CREDITO PABLO MUNOZ VEGA
CHCFECE1,CHCFECE1XXX,COOPERATIVA DE AHORRO Y CREDITO FERNANDO DAQUILEMA
CHCJECE1,CHCJECE1XXX,COOPERATIVA DE AHORRO Y CREDITO 16 DE JUNIO
CHCQECE1,CHCQECE1XXX,COOPERATIVA DE AHORRO Y CREDITO QUILANGA LTDA
CHCRECE1,CHCRECE1XXX,COOPERATIVA DE AHORRO Y CREDITO COOPROGRESO LTDA.
CHCVECE1,CHCVECE1XXX,COOPERATIVA DE AHORRO Y CREDITO PREVISION AHORRO Y DESAROLLO LTDA
CHCZECE1,CHCZECE1XXX,COOPERATIVA DE AHORRO Y CREDITO DEL AZUAY
