bic_8,bic,bank
ADMREE21,ADMREE21XXX,ADMIRAL MARKETS AS
AKELEE21,AKELEE21XXX,AS POCOPAY
AUASEE21,AUASEE21XXX,AKTSIASELTS KIT FINANCE EUROPE
BENIEE22,BENIEE22XXX,BENEDIXUS OU
BIGKEE2B,BIGKEE2BTPS,BIGBANK AS
BIGKEE2B,BIGKEE2BXXX,BIGBANK AS
CRVTEE21,CRVTEE21XXX,AKTSIASELTS CRESCO VAARTPABERID
EEUHEE2X,EEUHEE2XTPS,AS SEB PANK
EEUHEE2X,EEUHEE2XXXX,AS SEB PANK
EKRDEE22,EKRDEE22CBO,COOP PANK AKTSIASELTS
EKRDEE22,EKRDEE22TPS,COOP PANK AKTSIASELTS
EKRDEE22,EKRDEE22XXX,COOP PANK AKTSIASELTS
EPBEEE2X,EPBEEE2XCCB,EESTI PANK (BANK OF ESTONIA)
EPBEEE2X,EPBEEE2XECM,EESTI PANK (BANK OF ESTONIA)
EPBEEE2X,EPBEEE2XXXX,EESTI PANK (BANK OF ESTONIA)
EURCEE21,EURCEE21XXX,AS EUREX CAPITAL
EVSEEE21,EVSEEE21XXX,EVLI BANK LTD
FAPNEE21,FAPNEE21XXX,FALCON AND PARTNERS OU
FNRKEE22,FNRKEE22XXX,FINORA BANK UAB EESTI FILIAAL
FOEFEE21,FOEFEE21XXX,FOLKIA AS EESTI FILIAAL
GUIVEE22,GUIVEE22XXX,G.U.S. INVESTMENTS OU
HABAEE2X,HABAEE2XHAM,SWEDBANK AS
HABAEE2X,HABAEE2XTIP,SWEDBANK AS
HABAEE2X,HABAEE2XXXX,SWEDBANK AS
HOMMEE22,HOMMEE22XXX,HOLM BANK AS
IBBNEE21,IBBNEE21XXX,AS INBANK
IHPYEE22,IHPYEE22XXX,INHOUSE PAY AS
INHNEE21,INHNEE21XXX,INTUS HOIU-LAENUUHISTU
IPFDEE22,IPFDEE22XXX,IPF DIGITAL AS
LHVBEE21,LHVBEE21XXX,AS LHV PANK
LHVBEE22,LHVBEE22GBR,AS LHV PANK
LHVBEE22,LHVBEE22INS,AS LHV PANK
LHVBEE22,LHVBEE22XXX,AS LHV PANK
LIEOEE22,LIEOEE22XXX,LIGHTYEAR EUROPE AS
MAEHEE21,MAEHEE21XXX,MAAELU EDENDAMISE HOIU-LAENUUHISTU
MODTEE22,MODTEE22XXX,MODULAR TECHNOLOGIES OU
MOEXEE21,MOEXEE21XXX,MONEYEXPRESS
MOMNEE22,MOMNEE22XXX,MONEMON AS
OKOYEE2X,OKOYEE2XXXX,OP CORPORATE BANK PLC ESTONIAN BRANCH
PANXEE22,PANXEE22XXX,UNIFIEDPOST PAYMENTS EESTI FILIAAL
PARXEE22,PARXEE22XXX,AS CITADELE BANKA EESTI FILIAAL
POHOEE22,POHOEE22XXX,POHJA-EESTI HOIU-LAENUUHISTU
PUEFEE21,PUEFEE21XXX,TF BANK AB (PUBL.) EESTI FILIAAL
RADUEE22,RADUEE22XXX,RAHANDUSMINISTEERIUM
RIKOEE22,RIKOEE22CBC,LUMINOR BANK AS
RIKOEE22,RIKOEE22IPA,LUMINOR BANK AS
RIKOEE22,RIKOEE22XXX,LUMINOR BANK AS
SFEFEE21,SFEFEE21XXX,SCANIA FINANS AB EESTI FILIAL
TAHLEE21,TAHLEE21XXX,TALLINNA HOIU-LAENUUHISTU
TAHUEE21,TAHUEE21XXX,TARTU HOIU-LAENUUHISTU
TALVEE21,TALVEE21XXX,TALVEAED AS
TAVXEE21,TAVXEE21XXX,TAVEXWISE AS
TOPCEE21,TOPCEE21XXX,TOP CREDIT OU
TWEXEE21,TWEXEE21XXX,TWEX OU
UHISEE21,UHISEE21XXX,UHISARVELDUSED AS
VECYEE21,VECYEE21XXX,VELVET COMPANY OU
WALLEE22,WALLEE22XXX,WALLESTER AS
WARNEE21,WARNEE21XXX,WARNESGROUP OU
XTALEE21,XTALEE21XXX,NASDAQ TALLINN AKTSIASELTS
