bic_8,bic,bank
ABDIEGCA,ABDIEGCAXXX,ABU DHABI ISLAMIC BANK - EGYPT
ABRKEGC1,ABRKEGC10AL,ALBARAKA BANK EGYPT
ABRKEGC1,ABRKEGC1XXX,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAABS,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAAKD,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAALF,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAASH,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAAZA,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCABRG,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCACAI,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCACOR,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCADOK,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAEZZ,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAFSB,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAFSL,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAHDW,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAHRM,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCALCG,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCALSK,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAMAD,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAMAL,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAMAN,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAMDN,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAMIM,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAMNL,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAMOH,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAMRG,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCANSR,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAOCT,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAORA,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCARHB,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCARSH,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCASFM,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCASHB,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCASHM,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCASOM,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCASTN,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCATAN,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCATKY,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAXXX,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAZHR,ALBARAKA BANK EGYPT
ABRKEGCA,ABRKEGCAZYD,ALBARAKA BANK EGYPT
ADCBEGCX,ADCBEGCXXXX,ABU DHABI COMMERCIAL BANK - EGYPT ADCB EGYPT
AEDAEGCA,AEDAEGCAXXX,ARAB BANK FOR ECONOMIC DEVELOPMENT IN AFRICA
AFXMEGCA,AFXMEGCAXXX,AFRICAN EXPORT IMPORT BANK
AGRIEGCX,AGRIEGCXXXX,CREDIT AGRICOLE EGYPT
AINBEGCA,AINBEGCATFC,BANK NXT
AINBEGCA,AINBEGCAXXX,BANK NXT
ALEXEGCX,ALEXEGCX001,BANK OF ALEXANDRIA
ALEXEGCX,ALEXEGCX002,BANK OF ALEXANDRIA
ALEXEGCX,ALEXEGCX003,BANK OF ALEXANDRIA
ALEXEGCX,ALEXEGCX004,BANK OF ALEXANDRIA
ALEXEGCX,ALEXEGCX005,BANK OF ALEXANDRIA
ALEXEGCX,ALEXEGCXACC,BANK OF ALEXANDRIA
ALEXEGCX,ALEXEGCXAML,BANK OF ALEXANDRIA
ALEXEGCX,ALEXEGCXFID,BANK OF ALEXANDRIA
ALEXEGCX,ALEXEGCXLGC,BANK OF ALEXANDRIA
ALEXEGCX,ALEXEGCXLOP,BANK OF ALEXANDRIA
ALEXEGCX,ALEXEGCXRMT,BANK OF ALEXANDRIA
ALEXEGCX,ALEXEGCXTFC,BANK OF ALEXANDRIA
ALEXEGCX,ALEXEGCXXXX,BANK OF ALEXANDRIA
ARABEGCX,ARABEGCXALX,ARAB BANK PLC
ARABEGCX,ARABEGCXAMN,ARAB BANK PLC
ARABEGCX,ARABEGCXCAI,ARAB BANK PLC
ARABEGCX,ARABEGCXCOU,ARAB BANK PLC
ARABEGCX,ARABEGCXDKI,ARAB BANK PLC
ARABEGCX,ARABEGCXGMH,ARAB BANK PLC
ARABEGCX,ARABEGCXHEL,ARAB BANK PLC
ARABEGCX,ARABEGCXHGZ,ARAB BANK PLC
ARABEGCX,ARABEGCXHRM,ARAB BANK PLC
ARABEGCX,ARABEGCXMDI,ARAB BANK PLC
ARABEGCX,ARABEGCXMHD,ARAB BANK PLC
ARABEGCX,ARABEGCXMKT,ARAB BANK PLC
ARABEGCX,ARABEGCXNOZ,ARAB BANK PLC
ARABEGCX,ARABEGCXNSA,ARAB BANK PLC
ARABEGCX,ARABEGCXNSR,ARAB BANK PLC
ARABEGCX,ARABEGCXOCT,ARAB BANK PLC
ARABEGCX,ARABEGCXRMD,ARAB BANK PLC
ARABEGCX,ARABEGCXSAW,ARAB BANK PLC
ARABEGCX,ARABEGCXSHO,ARAB BANK PLC
ARABEGCX,ARABEGCXSHR,ARAB BANK PLC
ARABEGCX,ARABEGCXSPR,ARAB BANK PLC
ARABEGCX,ARABEGCXTHR,ARAB BANK PLC
ARABEGCX,ARABEGCXXXX,ARAB BANK PLC
ARABEGCX,ARABEGCXZMK,ARAB BANK PLC
ARAIEGCX,ARAIEGCXALE,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXALF,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXALX,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXASH,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXBRG,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXBUD,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXCAI,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXCOL,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXDOC,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXDOK,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXGLF,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXGRD,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXHEL,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXHLP,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXMAA,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXMOH,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXMRG,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXOCT,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXOPR,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXSEC,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXTNT,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXTRF,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXTWN,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXWUN,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARAIEGCX,ARAIEGCXXXX,ARAB AFRICAN INTERNATIONAL BANK (HEAD OFFICE)
ARIBEGCX,ARIBEGCX001,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX002,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX003,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX004,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX005,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX006,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX007,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX008,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX009,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX010,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX011,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX012,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX013,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX014,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX015,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX016,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX017,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX018,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX019,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX020,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX021,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX022,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX023,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX024,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCX025,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCXLBR,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCXMOP,ARAB INTERNATIONAL BANK
ARIBEGCX,ARIBEGCXXXX,ARAB INTERNATIONAL BANK
ARLBEGC1,ARLBEGC1MTG,EGYPTIAN ARAB LAND BANK
ARLBEGC1,ARLBEGC1SHB,EGYPTIAN ARAB LAND BANK
ARLBEGC1,ARLBEGC1TN2,EGYPTIAN ARAB LAND BANK
