bic_8,bic,bank
AAMAESMM,AAMAESMMXXX,ANDBANK WEALTH MANAGEMENT SGIIC SA
AARBESM1,AARBESM1XXX,"AAREAL BANK AG, MADRID BRANCH"
ABABESM1,ABABESM1XXX,A.B. ASESORES BURSATILES
ACAGESMM,ACAGESMMXXX,ATRADIUS CREDITO Y CAUCION S.A. DE SEGUROS Y REASEGUROS
ACDAES21,ACDAES21XXX,AXESOR CONOCER PARA DECIDIR SA
ACSVESB1,ACSVESB1XXX,"ACA, S.A. SOCIEDAD DE VALORES"
AEEVESM1,AEEVESM1XXX,OFICINA DE REPRESENTACION EN ESPANA DEL BANCO DE LAS ACTIVIDADES ECONOMICAS EXTERIORES DE LA URSS
AGRIESB1,AGRIESB1XXX,CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL SUD MEDITERRANEE ARIEGE ET PYRENEES ORIENTALES BRANCH IN SPAIN
AGRIESMM,AGRIESMMXXX,"CA INDOSUEZ WEALTH (EUROPE), SUCURSAL EN ESPANA"
AHPAES21,AHPAES21XXX,"ALHAMBRA PARTNERS, S.V, S.A"
ALACESM1,ALACESM1XXX,BANCO DE ALBACETE S.A.
ALCIESM1,ALCIESM1XXX,RENTA 4 BANCO SA
ALCLESMM,ALCLESMM015,BANCO ALCALA S.A.
ALCLESMM,ALCLESMMXXX,BANCO ALCALA S.A.
ALLFESMM,ALLFESMMXXX,ALLFUNDS BANK
AREBESMM,AREBESMMXXX,ARESBANK S.A
ARGCES21,ARGCES21XXX,DIPUTACION GENERAL DE ARAGON
ARGEESB1,ARGEESB1XXX,ARQUIGEST SA SOCIEDAD GESTORA DE INSTITUCIONES DE INVERSION COLECTIVA
ASGSESMM,ASGSESMMXXX,ABANTE ASESORES GESTION SGIIC SA
ASOCESM1,ASOCESM1XXX,"JL CONTRERAS Y ASOCIADOS, S.A."
ASSVESM1,ASSVESM1XXX,AURIGA GLOBAL INVESTORS SOCIEDAD DE VALORES S.A.
ATBEESM1,ATBEESM1XXX,"ALL TRADING EUROPE ASSETS AND MARKETS, SOCIEDAD DE VALORES SA"
ATCVESM1,ATCVESM1XXX,"ATL 12 CAPITAL INVERSIONES AV, SA"
AVSVESB2,AVSVESB2XXX,"ACTIVOTRADE VALORES SOCIEDAD DE VALORES, S.A."
AXAVES21,AXAVES21XXX,"AXA VIDA, SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS"
AXIPESBB,AXIPESBBMPS,"AXA SEGUROS GENERALES, S.A. DE SEGUROS Y REASEGUROS"
AXIPESBB,AXIPESBBXXX,"AXA SEGUROS GENERALES, S.A. DE SEGUROS Y REASEGUROS"
AXMSESB1,AXMSESB1XXX,AXA MEDITERRANEAN SERVICES
AYGBESMM,AYGBESMMXXX,"A AND G BANCO, S.A.U."
BACAESMM,BACAESMMXXX,"MYINVESTOR BANCO, S.A."
BAEMESM1,BAEMESM1XXX,CACEIS BANK SPAIN SA
BAOFESM1,BAOFESM1XXX,CBNK BANCO DE COLECTIVOS S.A.
BAPUES22,BAPUES22XXX,"BANCA PUEYO, S.A."
BAROESM1,BAROESM1XXX,BANCO BILBAO VIZCAYA ARGENTARIA SOCIEDAD ANONIMA
BASKES2B,BASKES2BXXX,"KUTXABANK, S.A."
BBFIES21,BBFIES21XXX,BBV BANCO DE FINANCIACION S.A.
BBGEESM1,BBGEESM1XXX,BBVA ASSET MANAGEMENT SA SGIIC
BBRUESMX,BBRUESMXXXX,"ING BANK NV, SPANISH BRANCH"
BBSGESM1,BBSGESM1XXX,BBVASEGUROS SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS
BBVAESM1,BBVAESM1CTM,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESM1,BBVAESM1CTX,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESM1,BBVAESM1OPV,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESM1,BBVAESM1RMS,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESM1,BBVAESM1XXX,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMA,BBVAESMAXXX,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMM062,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMM101,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMMBA2,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMMBAG,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMMBOL,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMMCBF,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMMCFI,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMMCMP,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMMFXD,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMMHYD,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMMRE1,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMMREL,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMMSPV,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BBVAESMM,BBVAESMMXXX,BANCO BILBAO VIZCAYA ARGENTARIA S.A
BCCAESMM,BCCAESMMXXX,BANCO DE CREDITO SOCIAL COOPERATIVO S.A.
BCDMESMM,BCDMESMMXXX,BANQUE CHAABI DU MAROC SUCURSAL ESPANA
