bic_8,bic,bank
ABAYETAA,ABAYETAAXXX,ABAY BANK S.C.
ABSCETAA,ABSCETAAXXX,ADDIS INTERNATIONAL BANK S.C.
ABYSETAA,ABYSETAAXXX,BANK OF ABYSSINIA
AHUUETAA,AHUUETAAXXX,AHADU BANK S.C.
AMHRETAA,AMHRETAAXXX,AMHARA BANK S.C.
AWINETAA,AWINETAAXXX,AWASH BANK S.C
BERHETAA,BERHETAAXXX,BERHAN BANK SC
BUNAETAA,BUNAETAAXXX,BUNNA INTERNATIONAL BANK S.C
CBETETAA,CBETETAAARA,COMMERCIAL BANK OF ETHIOPIA
CBETETAA,CBETETAADIR,COMMERCIAL BANK OF ETHIOPIA
CBETETAA,CBETETAADOC,COMMERCIAL BANK OF ETHIOPIA
CBETETAA,CBETETAAFIN,COMMERCIAL BANK OF ETHIOPIA
CBETETAA,CBETETAAIBD,COMMERCIAL BANK OF ETHIOPIA
CBETETAA,CBETETAAMEH,COMMERCIAL BANK OF ETHIOPIA
CBETETAA,CBETETAATEM,COMMERCIAL BANK OF ETHIOPIA
CBETETAA,CBETETAATRY,COMMERCIAL BANK OF ETHIOPIA
CBETETAA,CBETETAAXXX,COMMERCIAL BANK OF ETHIOPIA
CBORETAA,CBORETAAXXX,COOPERATIVE BANK OF OROMIA S.C.
DASHETAA,DASHETAAXXX,DASHEN BANK S.C.
DEETETAA,DEETETAAXXX,DEVELOPMENT BANK OF ETHIOPIA
DEGAETAA,DEGAETAAXXX,GLOBAL BANK ETHIOPIA S.C
ENATETAA,ENATETAAXXX,ENAT BANK S.C
GDAAETAA,GDAAETAAXXX,GADAA BANK SC
GOBTETAA,GOBTETAAXXX,GOH BETOCH BANK S.C.
HIJRETAA,HIJRETAAXXX,HIJRA BANK SHARE COMPANY
LIBSETAA,LIBSETAAXXX,LION INTERNATIONAL BANK S.C.
NBETETAA,NBETETAAXXX,NATIONAL BANK OF ETHIOPIA INFORMATION SYSTEMS DEPARTMENT
NIBIETAA,NIBIETAAXXX,NIB INTERNATIONAL BANK S.C.
ORIRETAA,ORIRETAAXXX,OROMIA BANK SC
OSCOETAA,OSCOETAAXXX,OMO BANK SHARE COMPANY
RMFIETA2,RMFIETA2XXX,RAYS MICRO FINANCE INSTITUTION S.C
RMSIETAA,RMSIETAAXXX,RAMMIS BANK SHARE COMPANY
SBEEETAA,SBEEETAAXXX,SHABELLE BANK SHARE COMPANY
SDMAETAA,SDMAETAAXXX,SIDAMA BANK SC
SHMNETA2,SHMNETA2XXX,SAHAL MICROFINANCE INSTITUTION S.C.
SINQETAA,SINQETAAXXX,"SIINQEE BANK S,C"
SSHCETAA,SSHCETAAXXX,SIKET BANK SHARE COMPANY
TSCPETAA,TSCPETAAXXX,TSEHAY BANK SHARE COMPANY
TSDYETAA,TSDYETAAXXX,TSEDEY BANK SC
UNTDETAA,UNTDETAATRF,HIBRET BANK SHARE COMPANY
UNTDETAA,UNTDETAAXXX,HIBRET BANK SHARE COMPANY
WEGAETAA,WEGAETAAXXX,WEGAGEN BANK S.C.
ZAMZETAA,ZAMZETAAXXX,ZAMZAM BANK S.C
ZEMEETAA,ZEMEETAAXXX,ZEMEN BANK S.C.
