bic_8,bic,bank
AABAFI22,AABAFI22TET,BANK OF ALAND P.L.C.
AABAFI22,AABAFI22TMS,BANK OF ALAND P.L.C.
AABAFI22,AABAFI22XXX,BANK OF ALAND P.L.C.
ABOOFIH1,ABOOFIH1XXX,EAB VARAINHOITO OY
ACETFIH1,ACETFIH1XXX,ACCOUNTOR ETELA-SUOMI OY
ACUUFIH1,ACUUFIH1XXX,ACCUNIA OY
AFFNFI21,AFFNFI21XXX,"AVIDA FINANS AB, FILIAL I FINLAND"
ALPYFIH1,ALPYFIH1XXX,ALEXANDRIA PANKKIIRILIIKE OYJ
APKEFIHH,APKEFIHHATP,EUROCLEAR FINLAND LTD
APKEFIHH,APKEFIHHCLP,EUROCLEAR FINLAND LTD
APKEFIHH,APKEFIHHMIG,EUROCLEAR FINLAND LTD
APKEFIHH,APKEFIHHXXX,EUROCLEAR FINLAND LTD
ASNGFIH1,ASNGFIH1XXX,EQ VARAINHOITO OY
ATGOFIH1,ATGOFIH1XXX,ATINE GROUP OY
AVAAFI21,AVAAFI21XXX,AURATOR VARAINHOITO OY
BAWCFI21,BAWCFI21XXX,BASWARE CORPORATION
BEIDFIH1,BEIDFIH1XXX,BELGRANO INVERSIONES OY
BIGKFIH1,BIGKFIH1XXX,BIGBANK AS FINLAND BRANCH
BISKFIH1,BISKFIH1XXX,BIGBANK AS SUOMEN SIVULIIKE
BOTDFIH1,BOTDFIH1XXX,BOSTADSOBLIGATIONSFONDEN
BPFNFI22,BPFNFI22XXX,"BLUESTEP BANK AB (PUBL), FILIAL I FINLAND"
BSUIFIHH,BSUIFIHHXXX,CREDIT AGRICOLE CIB HELSINKI BRANCH
CASFFIH1,CASFFIH1XXX,"DNB CARNEGIE INVESTMENT BANK AB, FINLAND FILIAL"
CCFFFIH1,CCFFFIH1XXX,"COLLECTOR BANK AB, SUOMEN SIVULIIKE"
CITIFIHX,CITIFIHXXXX,CITIBANK EUROPE PLC FINLAND BRANCH
DABAFIHH,DABAFIHHCAP,"DANSKE BANK A/S, FINLAND BRANCH"
DABAFIHH,DABAFIHHCLS,"DANSKE BANK A/S, FINLAND BRANCH"
DABAFIHH,DABAFIHHDCA,"DANSKE BANK A/S, FINLAND BRANCH"
DABAFIHH,DABAFIHHHAM,"DANSKE BANK A/S, FINLAND BRANCH"
DABAFIHH,DABAFIHHSD2,"DANSKE BANK A/S, FINLAND BRANCH"
DABAFIHH,DABAFIHHST2,"DANSKE BANK A/S, FINLAND BRANCH"
DABAFIHH,DABAFIHHXXX,"DANSKE BANK A/S, FINLAND BRANCH"
DAKOFIH1,DAKOFIH1XXX,DANSKE KIINNITYSLUOTTOPANKKI OYJ
DAKOFIHH,DAKOFIHHXXX,DANSKE KIINNITYSLUOTTOPANKKI OYJ
DLFNFIH1,DLFNFIH1XXX,"DE LAGE LANDEN FINANS AB, SOUMEN SIVULIIKE"
DNBAFIHX,DNBAFIHXXXX,"DNB BANK ASA, FILIAL FINLAND"
ELCOFI21,ELCOFI21XXX,ELCOTEQ SE
ELPAFIH1,ELPAFIH1XXX,AALTO PANKKIIRILIIKE OY
ELPRFIH1,ELPRFIH1XXX,EAB VARAINHOITO OY
EMPIFI21,EMPIFI21XXX,KESKINAINEN ELAKEVAKUUTUSYHTIO ILMARINEN
EMPNFI21,EMPNFI21XXX,ELO MUTUAL PENSION INSURANCE COMPANY
EMPNFI2E,EMPNFI2EXXX,ELO MUTUAL PENSION INSURANCE COMPANY
ENBAFI22,ENBAFI22XXX,ENABLE BANKING OY
ENSSFIH1,ENSSFIH1XXX,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) HELSINKI BRANCH
ERNNFIH1,ERNNFIH1XXX,ERIKOISSIJOITUSRAHASTO NORDEA NAVIGO
ESPRFIH1,ESPRFIH1XXX,ESTLANDER AND PARTNERS LTD
ESSEFIHX,ESSEFIHXAPX,SKANDINAVISKA ENSKILDA BANKEN
ESSEFIHX,ESSEFIHXHAM,SKANDINAVISKA ENSKILDA BANKEN
ESSEFIHX,ESSEFIHXTIP,SKANDINAVISKA ENSKILDA BANKEN
ESSEFIHX,ESSEFIHXXXX,SKANDINAVISKA ENSKILDA BANKEN
ETRFFIH1,ETRFFIH1XXX,EMISSIONS TRADING REGISTRY OF FINLAND
EUFPFIH1,EUFPFIH1XXX,EAB GROUP OYJ
EVIIFIHH,EVIIFIHHXXX,EVLI PLC
EVSEFIH2,EVSEFIH2XXX,ALISA BANK PLC
EVSEFIHH,EVSEFIHHFND,ALISA BANK PLC
EVSEFIHH,EVSEFIHHTIP,ALISA BANK PLC
EVSEFIHH,EVSEFIHHXXX,ALISA BANK PLC
FEANFIH1,FEANFIH1XXX,FENNIA ASSET MANAGEMENT LTD
FIFDFIH1,FIFDFIH1XXX,"TF BANK AB, FILIAL FINLAND"
FIGYFIH1,FIGYFIH1XXX,FINLANDIA GROUP OYJ
FIPAFIH1,FIPAFIH1XXX,FIM PAAOMARAHASTOT OY
FISEFIHH,FISEFIHHXXX,S-BANK PLC
FMAMFIH1,FMAMFIH1XXX,S-BANK PLC
FNARFI21,FNARFI21XXX,FINNAIR PLC
FOCTFIH1,FOCTFIH1XXX,FOREA CAPITAL OY
FORXFIH1,FORXFIH1XXX,"FOREX BANK AB, FILIAL I FINLAND"
FOSIFIH1,FOSIFIH1XXX,"FOLKEFINANS AS, SUOMEN SIVULIIKE"
FOURFI21,FOURFI21XXX,FOURTON OY
FRCPFIH1,FRCPFIH1XXX,FRONT CAPITAL OY
GCFFFIH1,GCFFFIH1XXX,"GCC CAPITAL AB, FILIAL I FINLAND"
GYAMFIH1,GYAMFIH1XXX,SEB WEALTH MANAGEMENT FINLAND LTD (FORMER SEB GYLLENBERG ASS MGT LTD)
HANDFIHH,HANDFIHHCUS,SVENSKA HANDELSBANKEN AB (PUBL) FILIALVERKSAMHETEN I FINLAND
HANDFIHH,HANDFIHHTIP,SVENSKA HANDELSBANKEN AB (PUBL) FILIALVERKSAMHETEN I FINLAND
HANDFIHH,HANDFIHHXXX,SVENSKA HANDELSBANKEN AB (PUBL) FILIALVERKSAMHETEN I FINLAND
HCPRFIH1,HCPRFIH1XXX,HELSINKI CAPITAL PARTNERS OY HELSINKI CAPITAL PARTNERS OY
HELSFIHH,HELSFIHHTIP,AKTIA BANK P.L.C.
HELSFIHH,HELSFIHHXXX,AKTIA BANK P.L.C.
HOLVFIHH,HOLVFIHHXXX,HOLVI PAYMENT SERVICES LTD
ICSNFIH1,ICSNFIH1XXX,EQ VARAINHOITO OY
INHAFIH1,INHAFIH1XXX,INDEX HELSINKI OSAKEYHTIO
ITELFIHH,ITELFIHHTIP,CENTRAL BANK OF SAVINGS BANKS FINLAND PLC
ITELFIHH,ITELFIHHXXX,CENTRAL BANK OF SAVINGS BANKS FINLAND PLC
IVPYFIH2,IVPYFIH2XXX,IVY PAY OY
JAADFIH1,JAADFIH1XXX,JAM ADVISORS LTD
JLHBFIH1,JLHBFIH1XXX,J.P.MORGAN BANK LUXEMBOURG S.A. HELSINKI BRANCH
JPMLFIH2,JPMLFIH2XXX,J.P. MORGAN AG HELSINGIN SIVULIIKE
KAPLFIH1,KAPLFIH1XXX,UB OMAISUUDENHOITO OY
KJKCFIH1,KJKCFIH1XXX,KJK CAPITAL OY
KPFFFI21,KPFFFI21XXX,"IKANO BANK AB (PUBL), FINLAND FILIAL"
KUELFIH1,KUELFIH1XXX,KEVA INVESTMENTS KY
LAGOFIH1,LAGOFIH1XXX,LAGO KAPITAL LTD
LAMYFIH1,LAMYFIH1XXX,LAMY OY
LTAPFI22,LTAPFI22XXX,LOCALTAPIOLA ASSET MANAGEMENT LTD
MDDEFIH1,MDDEFIH1XXX,MODEL IT OY
MLIRFIH1,MLIRFIH1XXX,MANDATUM LIFE INVESTMENT SERVICES LTD
MNAGFIH2,MNAGFIH2KUL,MANDATUM ASSET MANAGEMENT LTD
MNAGFIH2,MNAGFIH2KVA,MANDATUM ASSET MANAGEMENT LTD
MNAGFIH2,MNAGFIH2MAM,MANDATUM ASSET MANAGEMENT LTD
