bic_8,bic,bank
ANZBFJFX,ANZBFJFXXXX,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
BARBFJFJ,BARBFJFJXXX,BANK OF BARODA
BATSFJA1,BATSFJA1XXX,CENTRAL MANUFACTURING COMPANY LIMITED
BOSPFJFJ,BOSPFJFJXXX,BSP FINANCIAL GROUP LIMITED
BREDFJFJ,BREDFJFJXXX,BRED BANK (FIJI) PTE LTD
FDEVFJF1,FDEVFJF1XXX,FIJI DEVELOPMENT BANK
HABBFJF1,HABBFJF1XXX,BANK OF SOUTH PACIFIC LTD (FORMERLEY HABIB BANK FIJI)
HFCLFJFJ,HFCLFJFJXXX,HOME FINANCE COMPANY PTE LIMITED
RBFJFJFJ,RBFJFJFJXXX,RESERVE BANK OF FIJI
WPACFJFX,WPACFJFXXXX,WESTPAC BANKING CORPORATION
