bic_8,bic,bank
AFGGGALX,AFGGGALXXXX,AFG BANK GABON
BCGBGALI,BCGBGALIXXX,BANQUE POUR LE COMMERCE ET L'ENTREPRENEURIAT DU GABON
BEACGALI,BEACGALI510,BANQUE DES ETATS DE L'AFRIQUE CENTRALE (BEAC)
BEACGALI,BEACGALI520,BANQUE DES ETATS DE L'AFRIQUE CENTRALE (BEAC)
BEACGALI,BEACGALI530,BANQUE DES ETATS DE L'AFRIQUE CENTRALE (BEAC)
BEACGALI,BEACGALIXXX,BANQUE DES ETATS DE L'AFRIQUE CENTRALE (BEAC)
BGFIGALI,BGFIGALIBKZ,BGFIBANK
BGFIGALI,BGFIGALIMAL,BGFIBANK
BGFIGALI,BGFIGALIOWD,BGFIBANK
BGFIGALI,BGFIGALIPOG,BGFIBANK
BGFIGALI,BGFIGALIPTN,BGFIBANK
BGFIGALI,BGFIGALIXXX,BGFIBANK
CCPGGALI,CCPGGALIXXX,GABON-POSTE
CITIGALX,CITIGALXTRD,CITIBANK N.A.
CITIGALX,CITIGALXXXX,CITIBANK N.A.
ECOCGALI,ECOCGALIXXX,ECOBANK GABON
ORBKGALI,ORBKGALIXXX,ORABANK GABON
UGABGALI,UGABGALIXXX,UNION GABONAISE DE BANQUE
UNAFGALI,UNAFGALIXXX,UBA GABON
