bic_8,bic,bank
AAFMGB21,AAFMGB21XXX,ARTEMIS FUND MANAGERS LIMITED
AAOGGB21,AAOGGB21XXX,RBS HG (UK) LIMITED
AARUGB21,AARUGB21XXX,1ST ALLIANCE (AYRSHIRE) CREDIT UNION LIMITED
AAVEGB22,AAVEGB22XXX,PUSH LABS LIMITED
AAYPGB22,AAYPGB22XXX,PAY365 LIMITED
ABAVGB21,ABAVGB21XXX,ABERDEEN ASSET INVESTMENTS LIMITED
ABBEGB21,ABBEGB21XXX,ABBEY LIFE
ABBYGB2L,ABBYGB2LANB,SANTANDER UK PLC
ABBYGB2L,ABBYGB2LDOC,SANTANDER UK PLC
ABBYGB2L,ABBYGB2LGTB,SANTANDER UK PLC
ABBYGB2L,ABBYGB2LMBP,SANTANDER UK PLC
ABBYGB2L,ABBYGB2LTSY,SANTANDER UK PLC
ABBYGB2L,ABBYGB2LXXX,SANTANDER UK PLC
ABBYGB3E,ABBYGB3ERTN,SANTANDER UK PLC
ABBYGB3E,ABBYGB3EXXX,SANTANDER UK PLC
ABCCGB22,ABCCGB22XXX,SOVA CAPITAL LIMITED
ABCEGB2L,ABCEGB2LXXX,ABC INTERNATIONAL BANK PLC
ABCMGB21,ABCMGB21XXX,ALLIED BANK PHILIPPINES (U.K.) PLC
ABECGB21,ABECGB21XXX,ABG SUNDAL COLLIER LIMITED
ABFIGB21,ABFIGB21XXX,ABBEY NATIONAL FINANCIAL AND INVESTMENT SERVICES PLC. 287 ST. VINCENT STREET
ABGLGB22,ABGLGB22XXX,A AND B GENERAL (UK) LIMITED
ABMNGB21,ABMNGB21XXX,ABINGWORTH MANAGEMENT LTD
ABNGGB2L,ABNGGB2LXXX,THE ACCESS BANK UK LIMITED
ABOCGB3L,ABOCGB3LXXX,AGRICULTURAL BANK OF CHINA LIMITED LONDON BRANCH
ABPIGB21,ABPIGB21XXX,ABERDEEN ASSET MANAGERS LIMITED
ABRXGB22,ABRXGB22XXX,ABRAXAS CAPITAL MANAGEMENT LIMITED
ABSNGB21,ABSNGB21XXX,ABERDEEN ASSET MANAGERS LIMITED
ABUSGB21,ABUSGB21XXX,ABACUS
ABUTGB21,ABUTGB21XXX,ABERFORTH UTM
ACCPGB21,ACCPGB21XXX,ACTINVEST CORPORATION LTD.
ACEGGB22,ACEGGB22XXX,CHUBB UNDERWRITING AGENCIES LIMITED
ACEIGB22,ACEIGB22XXX,XACE LIMITED
ACELGB21,ACELGB21XXX,SP ANGEL CORPORATE FINANCE LLP
ACERGB21,ACERGB21XXX,ALCENTRA LTD
ACGMGB21,ACGMGB21XXX,IBP MARKETS LTD
ACGPGB21,ACGPGB21XXX,AVENTICUM CAPITAL MANAGEMENT (UK) LLP
ACGRGB21,ACGRGB21XXX,ACTINVEST GROUP LTD
ACGUGB21,ACGUGB21XXX,ACM GROUP LIMITED
ACIEGB21,ACIEGB21XXX,ACT INVESTOR SERVICES LIMITED
ACIMGB21,ACIMGB21XXX,ADAM AND COMPANY INVESTMENT MANAGEMENT LTD
ACMIGB21,ACMIGB21XXX,AVIOR CAPITAL MARKETS INT LTD
ACMRGB21,ACMRGB21XXX,ATLANTIC CAPITAL MANAGEMENT PARTNERS
ACNNGB21,ACNNGB21XXX,ACPI INVESTMENTS LIMITED
ACNPGB21,ACNPGB21XXX,ADG CAPITAL MANAGEMENT LLP
ACPLGB21,ACPLGB21XXX,ARROWGRASS CAPITAL PARTNERS LLP
ACPPGB21,ACPPGB21XXX,ASTELLON CAPITAL PARTNERS LLP
ACRLGB21,ACRLGB21XXX,ARGONAUT CAPITAL PARTNERS LLP
ACTDGB2L,ACTDGB2LXXX,ACTIVTRADES PLC
ACUIGB22,ACUIGB22XXX,ACE UNION LIMITED
ACWEGB21,ACWEGB21XXX,ACTIVUS WEALTH LIMITED
ADCGGB21,ADCGGB21XXX,ADVENT CAPITAL MANAGEMENT
ADCPGB21,ADCPGB21XXX,ADELPHI CAPITAL MANAGEMENT LIMITED
ADEPGB21,ADEPGB21XXX,ADG SECURITIES LLP
ADFAGB22,ADFAGB22XXX,ARDENT FINANCIAL LIMITED
ADFCGB21,ADFCGB21XXX,ADVISING FINANCIAL COMPANY LTD
ADGSGB22,ADGSGB22XXX,ALTER DOMUS AGENCY SERVICES (UK) LIMITED
ADMAGB21,ADMAGB21XXX,ADMIRAL MARKETS UK LIMITED
ADMNGB21,ADMNGB21XXX,ADVANCED MEDIA INVESTMENTS LTD
ADPLGB21,ADPLGB21XXX,ADELPHI CAPITAL LLP
ADSMGB21,ADSMGB21XXX,ADAM SMITH LTD
ADSNGB21,ADSNGB21XXX,ADS SECURITIES LONDON LIMITED
ADTLGB21,ADTLGB21XXX,ADG TRADING LLP
ADVCGB21,ADVCGB21XXX,ADVICORP PUBLIC LIMITED COMPANY
ADVIGB21,ADVIGB21XXX,ADVENT INTERNATIONAL LTD
ADWOGB22,ADWOGB22XXX,MONEVIUM LTD
ADWSGB22,ADWSGB22XXX,MONEVIUM LTD
ADYBGB22,ADYBGB22XXX,ADYEN N.V. (LONDON BRANCH)
AEAGGB21,AEAGGB21XXX,KAMES CAPITAL PLC
AECSGB21,AECSGB21XXX,AEGIS CORPORATE STRATEGY LTD
AECVGB21,AECVGB21XXX,AEGON UK CORPORATE SERVICES LIMITED
AEIEGB21,AEIEGB21XXX,AEA INVESTORS MANAGEMENT (UK) LTD
AEIOGB21,AEIOGB21XXX,AEGON INVESTMENT SOLUTIONS LIMITED
AELOGB22,AELOGB22XXX,AELORIA LIMITED
AEMLGB21,AEMLGB21XXX,AVENUE EUROPE MANAGEMENT LLP
AESIGB21,AESIGB21XXX,ASSETZ SME CAPITAL LIMITED
AESUGB21,AESUGB21XXX,AMERICAN EXPRESS SERVICES EUROPE LIMITED
AFCSGB22,AFCSGB22XXX,AFFINITURE CARDS LIMITED
AFIMGB21,AFIMGB21XXX,AFIM LIMITED
AFNNGB2L,AFNNGB2LXXX,AFIN BANK LIMITED
AFRDGB22,AFRDGB22XXX,AFROTRADE LIMITED
AFROGB2L,AFROGB2LXXX,AFRO INTERNATIONAL (UK) LIMITED
AFTBGB22,AFTBGB22XXX,AFTAB CURRENCY EXCHANGE LIMITED
