bic_8,bic,bank
BAGAGE22,BAGAGE22CUS,JSC BANK OF GEORGIA
BAGAGE22,BAGAGE22GTS,JSC BANK OF GEORGIA
BAGAGE22,BAGAGE22XXX,JSC BANK OF GEORGIA
BATSGE21,BATSGE21XXX,BRITISH AMERICAN TOBACCO GEORGIA LIMITED
BCRYGE22,BCRYGE22XXX,JSC MICROBANK CRYSTAL
BNLNGE22,BNLNGE22XXX,NATIONAL BANK OF GEORGIA
CBASGE22,CBASGE22XXX,JSC BASISBANK
CPYLGE22,CPYLGE22XXX,CPAY LLC
CRTUGE22,CRTUGE22086,JSC 'CARTU BANK'
CRTUGE22,CRTUGE22087,JSC 'CARTU BANK'
CRTUGE22,CRTUGE22092,JSC 'CARTU BANK'
CRTUGE22,CRTUGE22XXX,JSC 'CARTU BANK'
DISNGE22,DISNGE22XXX,SILK BANK JSC
ELPLGE22,ELPLGE22XXX,ELECTRA PAY LLC
EMGJGE22,EMGJGE22XXX,EMONEY GEORGIA JSC
GEIGGE21,GEIGGE21XXX,GEORGIAN INVESTMENT GROUP
GTJSGE21,GTJSGE21XXX,JSC GALT AND TAGGART
HABGGE22,HABGGE22XXX,JSC HALYK BANK GEORGIA
HAJSGE22,HAJSGE22XXX,HASH BANK JSC
ISBKGE22,ISBKGE22XXX,JSC ISBANK GEORGIA
JMOCGE22,JMOCGE22XXX,JSC MICROBANK CRYSTAL
JSCRGE22,JSCRGE22XXX,JSC CREDO BANK
LBRTGE22,LBRTGE22XXX,JSC LIBERTY BANK
MIBGGE22,MIBGGE22XXX,JSC PROCREDIT BANK
MMLCGE22,MMLCGE22XXX,MONEY MOVERS LLC
MOMBGE22,MOMBGE22XXX,JSC MICRO BANK MBC
PAHAGE22,PAHAGE22XXX,JSC PASHA BANK GEORGIA
PAVEGE22,PAVEGE22GCB,JSC PAVE BANK GEORGIA
PAVEGE22,PAVEGE22GEA,JSC PAVE BANK GEORGIA
PAVEGE22,PAVEGE22GEB,JSC PAVE BANK GEORGIA
PAVEGE22,PAVEGE22GEC,JSC PAVE BANK GEORGIA
PAVEGE22,PAVEGE22GED,JSC PAVE BANK GEORGIA
PAVEGE22,PAVEGE22XXX,JSC PAVE BANK GEORGIA
PSRAGE22,PSRAGE22XXX,PAYSERA BANK GEORGIA JSC
RGBRGE21,RGBRGE21XXX,RUSSIAN-GEORGIAN BANK OF RECONSTRUCTION AND DEVELOPMENT
TBCBGE22,TBCBGE22CUS,JSC - TBC BANK
TBCBGE22,TBCBGE22XXX,JSC - TBC BANK
TCZBGE22,TCZBGE22XXX,JSC ZIRAAT BANK GEORGIA
TEBAGE22,TEBAGE22XXX,JSC TERABANK
TSMFGE22,TSMFGE22XXX,TREASURY SERVICE MINISTRY OF FINANCE OF GEORGIA
UGEBGE22,UGEBGE22602,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22603,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22604,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22605,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22606,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22607,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22615,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22617,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22622,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22624,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22629,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22639,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22643,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22655,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22665,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22666,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22668,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22670,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22687,JSC 'VTB BANK GEORGIA'
UGEBGE22,UGEBGE22XXX,JSC 'VTB BANK GEORGIA'
