bic_8,bic,bank
ABNGGHAC,ABNGGHACXXX,ACCESS BANK (GHANA) PLC
ACCCGHAC,ACCCGHACCBS,CALBANK PLC
ACCCGHAC,ACCCGHACXXX,CALBANK PLC
ADNTGHA1,ADNTGHA10A2,AGRICULTURAL DEVELOPMENT BANK PUBLIC LIMITED COMPANY
ADNTGHA1,ADNTGHA10A3,AGRICULTURAL DEVELOPMENT BANK PUBLIC LIMITED COMPANY
ADNTGHA1,ADNTGHA10A4,AGRICULTURAL DEVELOPMENT BANK PUBLIC LIMITED COMPANY
ADNTGHA1,ADNTGHA10A5,AGRICULTURAL DEVELOPMENT BANK PUBLIC LIMITED COMPANY
ADNTGHA1,ADNTGHA10A6,AGRICULTURAL DEVELOPMENT BANK PUBLIC LIMITED COMPANY
ADNTGHA1,ADNTGHA10A7,AGRICULTURAL DEVELOPMENT BANK PUBLIC LIMITED COMPANY
ADNTGHA1,ADNTGHA10A8,AGRICULTURAL DEVELOPMENT BANK PUBLIC LIMITED COMPANY
ADNTGHA1,ADNTGHA10AT,AGRICULTURAL DEVELOPMENT BANK PUBLIC LIMITED COMPANY
ADNTGHAC,ADNTGHACXXX,AGRICULTURAL DEVELOPMENT BANK PUBLIC LIMITED COMPANY
AFASGHA1,AFASGHA1XXX,AFRICAN ALLIANCE SECURITIES LTD
AMMAGHAC,AMMAGHACXXX,BANK OF AFRICA GHANA LTD
AREXGHAC,AREXGHACXXX,ARB APEX BANK LIMITED
BAGHGHA2,BAGHGHA2XXX,BANK OF GHANA
BAGHGHA3,BAGHGHA3XXX,BANK OF GHANA
BAGHGHA4,BAGHGHA4XXX,BANK OF GHANA
BAGHGHA5,BAGHGHA5XXX,BANK OF GHANA
BAGHGHAC,BAGHGHACXXX,BANK OF GHANA
BARCGHAC,BARCGHACCSS,ABSA BANK OF GHANA LIMITED
BARCGHAC,BARCGHACOBU,ABSA BANK OF GHANA LIMITED
BARCGHAC,BARCGHACXXX,ABSA BANK OF GHANA LIMITED
BATSGHA1,BATSGHA1XXX,BRITISH AMERICAN TOBACCO GHANA LTD
CABRGHA1,CABRGHA1XXX,CAL BROKERS LIMITED
CBGHGHAC,CBGHGHACXXX,CONSOLIDATED BANK GHANA LIMITED
CDHSGHA1,CDHSGHA1XXX,CDH SECURITIES LTD
CHNCGHA1,CHNCGHA1XXX,CHAPEL HILL DENHAM SECURITIES (GH) LIMITED
CIINGHA1,CIINGHA1XXX,CITIZENS INVESTMENT BANK
CSDRGHAC,CSDRGHACXXX,CENTRAL SECURITIES DEPOSITORY (GH) LTD
DABRGHA1,DABRGHA1XXX,DATABANK BROKERAGE LIMITED SSNIT PENSION HOUSE
ECOCGHAC,ECOCGHACCUS,ECOBANK GHANA PLC
ECOCGHAC,ECOCGHACEBI,ECOBANK GHANA PLC
ECOCGHAC,ECOCGHACECF,ECOBANK GHANA PLC
ECOCGHAC,ECOCGHACECV,ECOBANK GHANA PLC
ECOCGHAC,ECOCGHACEGM,ECOBANK GHANA PLC
ECOCGHAC,ECOCGHACEGQ,ECOBANK GHANA PLC
ECOCGHAC,ECOCGHACEGW,ECOBANK GHANA PLC
ECOCGHAC,ECOCGHACENE,ECOBANK GHANA PLC
ECOCGHAC,ECOCGHACEPI,ECOBANK GHANA PLC
ECOCGHAC,ECOCGHACKSI,ECOBANK GHANA PLC
ECOCGHAC,ECOCGHACTDI,ECOBANK GHANA PLC
ECOCGHAC,ECOCGHACTMA,ECOBANK GHANA PLC
ECOCGHAC,ECOCGHACXXX,ECOBANK GHANA PLC
FABRGHA1,FABRGHA1XXX,FIRST ATLANTIC BROKERS LIMITED
FAMCGHAC,FAMCGHACXXX,FIRST ATLANTIC BANK LIMITED
FBLIGHAC,FBLIGHACXXX,FIDELITY BANK GHANA LIMITED
FIRNGHAC,FIRNGHACCUS,FIRST NATIONAL BANK GHANA LIMITED
FIRNGHAC,FIRNGHACXXX,FIRST NATIONAL BANK GHANA LIMITED
GHCBGHAC,GHCBGHACKSI,GCB BANK PLC
GHCBGHAC,GHCBGHACTDI,GCB BANK PLC
GHCBGHAC,GHCBGHACTMA,GCB BANK PLC
GHCBGHAC,GHCBGHACXXX,GCB BANK PLC
GHEIGHAC,GHEIGHACXXX,GHANA EXPORT-IMPORT BANK
GTBIGHAC,GTBIGHACXXX,GUARANTY TRUST BANK (GHANA) LTD
HFCAGHAC,HFCAGHACCSD,REPUBLIC BANK (GHANA) PLC
HFCAGHAC,HFCAGHACXXX,REPUBLIC BANK (GHANA) PLC
ICGHGHA1,ICGHGHA1XXX,IC SECURITIES (GH) LIMITED
INCEGHAC,INCEGHACXXX,FIRST BANK GHANA LTD
MBGHGHAC,MBGHGHACKSI,UNIVERSAL MERCHANT BANK LTD
MBGHGHAC,MBGHGHACTDI,UNIVERSAL MERCHANT BANK LTD
MBGHGHAC,MBGHGHACTMA,UNIVERSAL MERCHANT BANK LTD
MBGHGHAC,MBGHGHACXXX,UNIVERSAL MERCHANT BANK LTD
NIBGGHAC,NIBGGHACXXX,NATIONAL INVESTMENT BANK AIRPORT CITY
NTHCGHA1,NTHCGHA1XXX,NATIONAL TRUST HOLDING COMPANY LIMITED
OMBLGHAC,OMBLGHACXXX,OMNIBSIC BANK GHANA LIMITED
PUBKGHAC,PUBKGHACXXX,PRUDENTIAL BANK LTD
SARSGHA1,SARSGHA1XXX,STRATEGIC AFRICAN SECURITIES LTD (SAS)
SBICGHAC,SBICGHACXXX,STANBIC BANK GHANA LTD
