bic_8,bic,bank
ACGAGMGF,ACGAGMGFXXX,ACCESS BANK (GAMBIA) LTD
AGIXGMGM,AGIXGMGMXXX,AGIB BANK LTD
BSAHGMGM,BSAHGMGMXXX,BSIC GAMBIA LIMITED
CBGAGMGM,CBGAGMGMXXX,CENTRAL BANK OF THE GAMBIA
ECOCGMGM,ECOCGMGMXXX,ECOBANK GAMBIA LIMITED
FIBLGMGM,FIBLGMGMXXX,VISTA BANK (GAMBIA) LIMITED
GTBGGMGM,GTBGGMGMXXX,GUARANTY TRUST BANK (GAMBIA) LTD
ICBGGMGS,ICBGGMGSXXX,FIRST BANK GAMBIA LIMITED
ITBCGMGM,ITBCGMGMXXX,MEGABANK (GAMBIA) LIMITED
SKYEGMGM,SKYEGMGMXXX,"BLOOM BANK AFRICA LIMITED, GAMBIA"
TBLTGMGM,TBLTGMGMXXX,TRUST BANK LTD
ZEIBGMGM,ZEIBGMGMXXX,ZENITH BANK GAMBIA
