bic_8,bic,bank
ABNGGNGN,ABNGGNGNXXX,ACCESS BANK GUINEE SA.
ADBGGNG1,ADBGGNG1XXX,AFRICAN DEVELOPMENT BANK (GUINEA)
AFGNGNGN,AFGNGNGNXXX,AFG BANK GUINEE
ALGCGNGN,ALGCGNGNXXX,AFRICAN LEASE GUINEE
BDGEGNGN,BDGEGNGNXXX,BANQUE DE DEVELOPPEMENT DE GUINEE
BIAOGNGN,BIAOGNGNXXX,NSIA BANQUE GUINEE
BICIGNCX,BICIGNCXXXX,VISTA GUI S.A
BNIGGNGN,BNIGGNGNXXX,BANQUE NATIONALE D'INVESTISSEMENT DE GUINEE-SA
BQNGGNGN,BQNGGNGNXXX,BANQUE NATIONALE DE GUINEE
BSGNGNGN,BSGNGNGNXXX,BANQUE SAHELO-SAHARIENNE POUR L'INVESTISSEMENT ET LE COMMERCE
CCEIGNGN,CCEIGNGNXXX,AFRILAND FIRST BANK GUINEE S A
COLIGNGN,COLIGNGNXXX,BANQUE POUR LE COMMERCE ET L'INDUSTRIE DE GUINEE
CORIGNGN,CORIGNGNXXX,CORIS BANK INTERNATIONAL GUINEE S.A.
DIMMGNGN,DIMMGNGNXXX,DIAMA BANK-SA
ECOCGNCN,ECOCGNCNXXX,ECOBANK GUINEE
FIBLGNGN,FIBLGNGNXXX,VISTA BANK GUINEE SA
ICMOGNCN,ICMOGNCNXXX,FIRST BANK OF NIGERIA DE GUINEE
ISGUGNGN,ISGUGNGNXXX,BANQUE ISLAMIQUE DE GUINEE
ORBKGNGN,ORBKGNGNXXX,ORABANK GUINEE
POMBGNGN,POMBGNGNXXX,BANQUE POPULAIRE MAROCO-GUINEENNE
REPCGNGA,REPCGNGAXXX,BANQUE CENTRALE DE LA REPUBLIQUE DE GUINEE
REPCGNGN,REPCGNGNXXX,BANQUE CENTRALE DE LA REPUBLIQUE DE GUINEE
SFCOGNGN,SFCOGNGNXXX,SOCIETE DE FINANCEMENT DU COMMERCE ET DE L'INDUSTRIE S.A.
SKYEGNGN,SKYEGNGNXXX,SKYE BANK GUINEA S.A.
UBAGGNCN,UBAGGNCNXXX,UNITED BANK FOR AFRICA GUINEA
