bic_8,bic,bank
BEACGQGQ,BEACGQGQ610,BANQUE DES ETATS DE L'AFRIQUE CENTRALE
BEACGQGQ,BEACGQGQXXX,BANQUE DES ETATS DE L'AFRIQUE CENTRALE
BGFIGQGQ,BGFIGQGQXXX,BGFIBANK GUINEE EQUATORIALE
BGGEGQGQ,BGGEGQGQXXX,SOCIETE GENERALE DE BANQUES EN GUINEE EQUATORIALE
CBGMGQG1,CBGMGQG1XXX,COMMERCIAL BANK GUINEA ECUATORIAL
CCEIGQGQ,CCEIGQGQBAT,CCEI BANK GE
CCEIGQGQ,CCEIGQGQEBI,CCEI BANK GE
CCEIGQGQ,CCEIGQGQMON,CCEI BANK GE
CCEIGQGQ,CCEIGQGQXXX,CCEI BANK GE
ECOCGQGQ,ECOCGQGQXXX,ECOBANK GUINEE EQUATORIALE
NAGCGQGQ,NAGCGQGQXXX,BANCO NACIONAL DE GUINEA ECUATORIAL (BANGE)
SGGEGQGQ,SGGEGQGQXXX,SOCIETE GENERALE DE BANQUES EN GUINEE EQUATORIALE
