bic_8,bic,bank
ACHNGR22,ACHNGR22XXX,AMBROSIA CAPITAL HELLAS SINGLE MEMBER INVESTMENT SERVICES S.A.
ACLVGRA2,ACLVGRA2XXX,ALPHATERRA CAPITAL ALTERNATIVE INVESTMENT FUND MANAGEMENT SINGLE MEMBER S.A.
ACPEGRA1,ACPEGRA1XXX,ACCESS PAYMENT SERVICES S.A.
AEBAGRAA,AEBAGRAATPS,AEGEAN BALTIC BANK S.A.
AEBAGRAA,AEBAGRAAXXX,AEGEAN BALTIC BANK S.A.
ALEEGRA1,ALEEGRA1XXX,ALICO EUROBANK
ALPRGRA1,ALPRGRA1XXX,ALPHA FINANCE SA
APISGRA1,APISGRA1XXX,ALPHA ASSET MANAGEMENT SOCIETE ANONYME COMPANY
APSYGRA2,APSYGRA2XXX,DIRECT PAY S.A PAYMENT INSTITUTION
ATHCGRA1,ATHCGRA1XXX,ATHENS EXCHANGE CLEARING HOUSE S.A.
ATHCGRAB,ATHCGRABGFA,ATHENS EXCHANGE CLEARING HOUSE S.A.
ATHCGRAB,ATHCGRABXXX,ATHENS EXCHANGE CLEARING HOUSE S.A.
ATIEGR21,ATIEGR21XXX,ALPHA TRUST MUTUAL FUND AND ALTERNATIVE INVESTMENT FUND MANAGEMENT S.A.
ATSRGRA1,ATSRGRA1XXX,ATLAS SECURITIES FIS
ATTIGRAA,ATTIGRAA068,CREDIABANK S.A.
ATTIGRAA,ATTIGRAAXXX,CREDIABANK S.A.
AXSEGRA1,AXSEGRA1XXX,AXON SECURITIES S.A.
BETEGRA1,BETEGRA1XXX,BETA SECURITIES SA
BFGRGRA2,BFGRGRA2XXX,BFF BANK S.P.A. GREEK BRANCH
BKCHGRAA,BKCHGRAAXXX,BANK OF CHINA (EUROPE) S.A. ATHENS BRANCH
BMASGRA1,BMASGRA1XXX,BMW AUSTRIA BANK GMBH
BNGRGRA1,BNGRGRA1APR,BANK OF GREECE
BNGRGRA1,BNGRGRA1BDF,BANK OF GREECE
BNGRGRA1,BNGRGRA1CBF,BANK OF GREECE
BNGRGRA1,BNGRGRA1CUS,BANK OF GREECE
BNGRGRA1,BNGRGRA1EFS,BANK OF GREECE
BNGRGRA1,BNGRGRA1ISS,BANK OF GREECE
BNGRGRA1,BNGRGRA1MTI,BANK OF GREECE
BNGRGRA1,BNGRGRA1OAS,BANK OF GREECE
BNGRGRA1,BNGRGRA1PII,BANK OF GREECE
BNGRGRA1,BNGRGRA1STA,BANK OF GREECE
BNGRGRA1,BNGRGRA1STB,BANK OF GREECE
BNGRGRA1,BNGRGRA1STC,BANK OF GREECE
BNGRGRA1,BNGRGRA1SYS,BANK OF GREECE
BNGRGRAA,BNGRGRAA012,BANK OF GREECE
BNGRGRAA,BNGRGRAA013,BANK OF GREECE
BNGRGRAA,BNGRGRAA017,BANK OF GREECE
BNGRGRAA,BNGRGRAA027,BANK OF GREECE
BNGRGRAA,BNGRGRAA030,BANK OF GREECE
BNGRGRAA,BNGRGRAA042,BANK OF GREECE
BNGRGRAA,BNGRGRAA053,BANK OF GREECE
BNGRGRAA,BNGRGRAA059,BANK OF GREECE
BNGRGRAA,BNGRGRAA072,BANK OF GREECE
BNGRGRAA,BNGRGRAA094,BANK OF GREECE
BNGRGRAA,BNGRGRAA121,BANK OF GREECE
BNGRGRAA,BNGRGRAAACO,BANK OF GREECE
BNGRGRAA,BNGRGRAABR4,BANK OF GREECE
BNGRGRAA,BNGRGRAABR8,BANK OF GREECE
BNGRGRAA,BNGRGRAACCB,BANK OF GREECE
BNGRGRAA,BNGRGRAACON,BANK OF GREECE
BNGRGRAA,BNGRGRAADIA,BANK OF GREECE
BNGRGRAA,BNGRGRAAECA,BANK OF GREECE
BNGRGRAA,BNGRGRAAECM,BANK OF GREECE
BNGRGRAA,BNGRGRAAEUX,BANK OF GREECE
BNGRGRAA,BNGRGRAAFXD,BANK OF GREECE
BNGRGRAA,BNGRGRAAHRM,BANK OF GREECE
BNGRGRAA,BNGRGRAAINS,BANK OF GREECE
BNGRGRAA,BNGRGRAAIOP,BANK OF GREECE
