bic_8,bic,bank
AGROGTGC,AGROGTGCXXX,"BANCO AGROMERCANTIL DE GUATEMALA, S.A."
AMCNGTG1,AMCNGTG1XXX,BANCO DE AMERICA CENTRAL SOCIEDAD ANOMINA
AMCNGTGT,AMCNGTGTXXX,BANCO DE AMERICA CENTRAL SOCIEDAD ANOMINA
ANTGGTG1,ANTGGTG1XXX,BANCO DE ANTIGUA S.A.
AZTKGTGC,AZTKGTGCXXX,BANCO AZTECA DE GUATEMALA S.A.
BAGUGTGB,BAGUGTGBXXX,BANCO DE GUATEMALA
BAGUGTGC,BAGUGTGCXXX,BANCO DE GUATEMALA
BATSGTG1,BATSGTG1XXX,"BRITISH AMERICAN TOBACCO CENTRAL AMERICA S.A., SUCURSAL GUATEMALA"
BDCTGTGT,BDCTGTGTXXX,"BANCO DE CREDITO, S.A."
BINMGTGC,BINMGTGCXXX,"BANCO CUSCATLAN GUATEMALA, S.A."
BPRCGTGC,BPRCGTGCGUA,"BANCO PROMERICA, S.A."
BPRCGTGC,BPRCGTGCXXX,"BANCO PROMERICA, S.A."
BPRKGTG1,BPRKGTG1XXX,"BANCO PROMERICA, S.A."
BRRLGTGC,BRRLGTGCXXX,BANCO DE DESARROLLO RURAL S.A.
CDSOGTG2,CDSOGTG2XXX,BANCO CREDICORP SOCIEDAD ANONIMA
CEVIGTG1,CEVIGTG1XXX,"CENTRAL DE VALORES NACIONAL, S.A."
CHNAGTGC,CHNAGTGCXXX,EL CREDITO HIPOTECARIO NACIONAL DE GUATEMALA
CITIGTGC,CITIGTGCXXX,CITIBANK N.A. SUCURSAL GUATEMALA
CORRGTG1,CORRGTG1XXX,CORPORACION BURSATIL SA
DIBIGTGC,DIBIGTGCXXX,"BANCO INTERNACIONAL, S.A."
FAGOGTG1,FAGOGTG1XXX,FINANCIERA AGROMERCANTIL S.A.
FCOHGTGC,FCOHGTGCXXX,"BANCO FICOHSA GUATEMALA,S.A."
FCORGTG1,FCORGTG1XXX,FINANCIERA CORPORATIVA S.A.
FIGAGTG1,FIGAGTG1XXX,FINANCIERA GUATEMALTECA S.A.
FILMGTG1,FILMGTG1XXX,FINANCIERA LATINOAMERICANA S.A.
FIOCGTG1,FIOCGTG1XXX,FINANCIERA DE OCCIDENTE S.A.
FIRCGTG1,FIRCGTG1XXX,FINANCIERA DE CAPITALES S.A.
FIRFGTG1,FIRFGTG1XXX,FINANCIERA REFORMA S.A.
FIUDGTG1,FIUDGTG1XXX,FINANCIERA INDUSTRIAL S.A.
FIVNGTG1,FIVNGTG1XXX,"BANCO INV, SOCIEDAD ANONIMA"
FIVNGTGT,FIVNGTGTXXX,"BANCO INV, SOCIEDAD ANONIMA"
FNMVGTG2,FNMVGTG2XXX,"BANCO MULTIMONEY, S.A."
FRIPGTG1,FRIPGTG1XXX,"FITCH CENTROAMERICA (GUATEMALA) EDIFICIO INTERCONTINENTAL PLAZA TORRE CITIGROUP,PENTHOUSE NORTE,"
FSCGGTG1,FSCGGTG1XXX,FINANCIERA SUMMA SA
FSMCGTG1,FSMCGTG1XXX,"FINANCIERA SAN MIGUEL S.A. CENTRO GERENCIAL LAS MARGARITAS,"
GTCOGTGC,GTCOGTGCXXX,BANCO G AND T CONTINENTAL. S.A.
ICGSGTGC,ICGSGTGCXXX,"IMAGENES COMPUTARIZADAS DE GUATEMALA, S. A."
INDLGTGC,INDLGTGCXXX,BANCO INDUSTRIAL S.A.
NSOAGTGT,NSOAGTGTXXX,"BANCO NEXA, SOCIEDAD ANONIMA"
TRAJGTGC,TRAJGTGCXXX,BANCO DE LOS TRABAJADORES
VIVBGTG2,VIVBGTG2XXX,"VIVIBANCO, SOCIEDAD ANONIMA"
VIVBGTGT,VIVBGTGTXXX,"VIVIBANCO, SOCIEDAD ANONIMA"
XGTGGTG1,XGTGGTG1XXX,BOLSA DE VALORES NACIONAL SA
