bic_8,bic,bank
ARCDHNT1,ARCDHNT1XXX,"ARRENDAMIENTOS Y CREDITOS ATLANTIDA, S.A."
ATTDHNTE,ATTDHNTEXXX,BANCO ATLANTIDA S.A.
AZTKHNTE,AZTKHNTEXXX,"BANCO AZTECA DE HONDURAS, SA"
BACUHNT1,BACUHNT1XXX,"BANCO CITIBANK DE HONDURAS, S.A"
BATSHN41,BATSHN41XXX,TABACALERA ISTMENA S.A
BATSHNT1,BATSHNT1XXX,TABACALERA HONDURENA S.A.
BCCEHNTE,BCCEHNTEXXX,"BANCO LAFISE (HONDURAS), S.A."
BCEHHNTE,BCEHHNTEXXX,BANCO CENTRAL DE HONDURAS
BCEHHNTT,BCEHHNTTXXX,BANCO CENTRAL DE HONDURAS
BCHOHNT1,BCHOHNT1XXX,BANCO GRUPO EL AHORRO HONDURENO SA
BCIEHNTE,BCIEHNTEXXX,BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA
BCVOHNT2,BCVOHNT2XXX,"BOLSA CENTROAMERICANA DE VALORES, S.A."
BGAHHNTE,BGAHHNTEXXX,BANCO DAVIVIENDA HONDURAS S.A.
BHCAHNT1,BHCAHNT1XXX,"BANCO HONDURENO DEL CAFE, S.A."
BHCAHNTH,BHCAHNTHXXX,"BANCO HONDURENO DEL CAFE, S.A."
BMILHNTE,BMILHNTEXXX,"BANCO DE AMERICA CENTRAL HONDURAS, S.A"
BOCCHNTE,BOCCHNTESPS,BANCO DE OCCIDENTE SA
BOCCHNTE,BOCCHNTESRC,BANCO DE OCCIDENTE SA
BOCCHNTE,BOCCHNTETGU,BANCO DE OCCIDENTE SA
BOCCHNTE,BOCCHNTEXXX,BANCO DE OCCIDENTE SA
BPRHHNTE,BPRHHNTEXXX,"BANCO PROMERICA, S.A."
CABFHNTE,CABFHNTEXXX,BANCO FINANCIERA CENTROAMERICANA S. A. FICENSA
CBVAHNT2,CBVAHNT2XXX,CASA DE BOLSA DE VALORES S.A. (CABVAL)
CCRVHNT1,CCRVHNT1XXX,CASA DE CAMBIO ROBLE VIEJO S.A.
CFNCHNT1,CFNCHNT1XXX,"COMPANIA FINANCIERA, S.A. COFISA"
CFNIHNT1,CFNIHNT1XXX,CORPORACION FINANCIERA INTERNACIONAL (COFINTER)
CNCSHNT1,CNCSHNT1XXX,"CONTINENTAL CASA DE BOLSA, S.A"
DEAGHNT1,DEAGHNT1022,BANCO NACIONAL DE DESARROLLO AGRICOLA
DEAGHNT1,DEAGHNT1XXX,BANCO NACIONAL DE DESARROLLO AGRICOLA
FCEOHNT1,FCEOHNT1XXX,FINANCIERA CODIMERSA S.A.
FCOHHNTE,FCOHHNTEXXX,BANCO FINANCIERA COMERCIAL HONDURENA S.A. (BANCO FICOHSA)
FFCBHNT1,FFCBHNT1XXX,"FOMENTO FINANCIERO, S.A."
FIFHHNT1,FIFHHNT1XXX,FINANCIERA FINCA HONDURAS
FIHOHNT1,FIHOHNT1XXX,BANCO FINANCIERA COMERCIAL HONDURENA S.A
FIODHNT1,FIODHNT1XXX,"FINANCIERA SOLIDARIA, S.A."
FIRQHNT1,FIRQHNT1XXX,FINANCIERA CREDIQ SA
HONAHNT2,HONAHNT2XXX,"BANCO DE HONDURAS, S.A."
HOPVHNT1,HOPVHNT1XXX,BANCO HONDURENO PARA LA PRODUCCION Y LA VIVIENDA
LVCBHNT1,LVCBHNT1XXX,LAFISE VALORES CASA DE BOLSA
ODFIHNT1,ODFIHNT1XXX,ODEF FINANCIERA S.A.
PBPRHNT2,PBPRHNT2XXX,"PUESTO DE BOLSA PROMOTORA BURSATIL, S.A."
PISAHNTE,PISAHNTEXXX,"BANCO DEL PAIS,S.A."
POUUHNT1,POUUHNT1XXX,BANCO POPULAR S.A.
PRCBHNTE,PRCBHNTEXXX,"BANCO DE DESARROLLO RURAL HONDURAS, S.A."
SOABHNT1,SOABHNT1XXX,"SONIVAL, CASA DE BOLSA, S. A"
TSBOHNTA,TSBOHNTAXXX,BANCO CUSCATLAN HONDURAS SA
