bic_8,bic,bank
AGBOHR21,AGBOHR21BRO,AGRAM BROKERI D.D.
AGBOHR21,AGBOHR21CUS,AGRAM BROKERI D.D.
AGBOHR21,AGBOHR21XXX,AGRAM BROKERI D.D.
AIDOHR22,AIDOHR22XXX,AIRCASH D.O.O.
ANBOHR21,ANBOHR21XXX,FALCON BROKERI D.O.O. ZA INVESTICIJSKE USLUGE
AUDOHR21,AUDOHR21XXX,AUCTOR INVEST D.O.O. ZA UPRAVLJANJE INVESTICIJSKIM FONDOVIMA
BFKKHR22,BFKKHR22XXX,"BKS BANK AG, GLAVNA PODRUZNICA HRVATSKA"
CCPHHR22,CCPHHR22001,SKDD-CCP SMART CLEAR D.D.
CCPHHR22,CCPHHR22002,SKDD-CCP SMART CLEAR D.D.
CCPHHR22,CCPHHR22XXX,SKDD-CCP SMART CLEAR D.D.
CDDOHR21,CDDOHR21XXX,CREDOS D.O.O. INVESTICIJSKO DRUSTVO
COYDHR22,COYDHR22XXX,CORVUS PAY D.O.O.
CROAHR2X,CROAHR2XCUS,CROATIA BANKA D.D
CROAHR2X,CROAHR2XTRE,CROATIA BANKA D.D
CROAHR2X,CROAHR2XXXX,CROATIA BANKA D.D
ESBCHR22,ESBCHR22BRO,ERSTE STEIERMAERKISCHE BANK D.D.
ESBCHR22,ESBCHR22CUS,ERSTE STEIERMAERKISCHE BANK D.D.
ESBCHR22,ESBCHR22TRE,ERSTE STEIERMAERKISCHE BANK D.D.
ESBCHR22,ESBCHR22XXX,ERSTE STEIERMAERKISCHE BANK D.D.
FMVZHR21,FMVZHR21XXX,FIMA-VRIJEDNOSNICE D.O.O.
FNAGHR22,FNAGHR22FN1,FINANCIJSKA AGENCIJA
FNAGHR22,FNAGHR22XXX,FINANCIJSKA AGENCIJA
GGNRHR21,GGNRHR21XXX,GREENHOUSE GAS EMISSIONS REGISTRY
HAABHR22,HAABHR22CUS,ADDIKO BANK D.D.
HAABHR22,HAABHR22XXX,ADDIKO BANK D.D.
HIVRHR21,HIVRHR21CUS,HITA VRIJEDNOSNICE D.D.
HIVRHR21,HIVRHR21XXX,HITA VRIJEDNOSNICE D.D.
HKBOHR2X,HKBOHR2XXXX,CROATIAN BANK FOR RECONSTRUCTION AND DEVELOPMENT /HBOR/
HPBZHR2X,HPBZHR2XXXX,HRVATSKA POSTANSKA BANKA D.D
IMXXHR22,IMXXHR22XXX,IMEX-BANKA LTD
INUIHR21,INUIHR21XXX,INTERCAPITAL SECURITIES LTD.
INUIHR22,INUIHR22BRO,INTERCAPITAL SECURITIES LTD.
INUIHR22,INUIHR22CUS,INTERCAPITAL SECURITIES LTD.
INUIHR22,INUIHR22XXX,INTERCAPITAL SECURITIES LTD.
ISKBHR2X,ISKBHR2XXXX,ISTARSKA KREDITNA BANKA UMAG - D.D.
JUMDHR21,JUMDHR21XXX,JUR-PROM MOTO D.O.O.
KALCHR2X,KALCHR2XXXX,KARLOVACKA BANKA D.D
KENBHR22,KENBHR22XXX,KENTBANK D.D.
KREZHR2X,KREZHR2XCUS,AGRAM BANKA D.D.
KREZHR2X,KREZHR2XTRE,AGRAM BANKA D.D.
KREZHR2X,KREZHR2XXXX,AGRAM BANKA D.D.
NBHRHR2D,NBHRHR2DXXX,HRVATSKA NARODNA BANKA (CROATIAN NATIONAL BANK)
NBHRHR2X,NBHRHR2XBAC,HRVATSKA NARODNA BANKA (CROATIAN NATIONAL BANK)
NBHRHR2X,NBHRHR2XCCB,HRVATSKA NARODNA BANKA (CROATIAN NATIONAL BANK)
NBHRHR2X,NBHRHR2XECM,HRVATSKA NARODNA BANKA (CROATIAN NATIONAL BANK)
NBHRHR2X,NBHRHR2XEUX,HRVATSKA NARODNA BANKA (CROATIAN NATIONAL BANK)
NBHRHR2X,NBHRHR2XINS,HRVATSKA NARODNA BANKA (CROATIAN NATIONAL BANK)
NBHRHR2X,NBHRHR2XRMS,HRVATSKA NARODNA BANKA (CROATIAN NATIONAL BANK)
NBHRHR2X,NBHRHR2XXXX,HRVATSKA NARODNA BANKA (CROATIAN NATIONAL BANK)
OTPVHR2X,OTPVHR2XBRO,OTP BANKA D.D.
OTPVHR2X,OTPVHR2XCUS,OTP BANKA D.D.
OTPVHR2X,OTPVHR2XDUB,OTP BANKA D.D.
OTPVHR2X,OTPVHR2XPUL,OTP BANKA D.D.
OTPVHR2X,OTPVHR2XRJK,OTP BANKA D.D.
OTPVHR2X,OTPVHR2XSIB,OTP BANKA D.D.
OTPVHR2X,OTPVHR2XSIS,OTP BANKA D.D.
OTPVHR2X,OTPVHR2XSPL,OTP BANKA D.D.
OTPVHR2X,OTPVHR2XTRE,OTP BANKA D.D.
OTPVHR2X,OTPVHR2XXXX,OTP BANKA D.D.
OTPVHR2X,OTPVHR2XZAD,OTP BANKA D.D.
OTPVHR2X,OTPVHR2XZAG,OTP BANKA D.D.
PAZGHR2X,PAZGHR2XXXX,PARTNER BANKA D.D. ZAGREB
PBZGHR2X,PBZGHR2XBTR,PRIVREDNA BANKA ZAGREB D.D
PBZGHR2X,PBZGHR2XCUS,PRIVREDNA BANKA ZAGREB D.D
PBZGHR2X,PBZGHR2XMPT,PRIVREDNA BANKA ZAGREB D.D
PBZGHR2X,PBZGHR2XXXX,PRIVREDNA BANKA ZAGREB D.D
PDKCHR2X,PDKCHR2XBRO,PODRAVSKA BANKA D.D
PDKCHR2X,PDKCHR2XCUS,PODRAVSKA BANKA D.D
PDKCHR2X,PDKCHR2XTRE,PODRAVSKA BANKA D.D
PDKCHR2X,PDKCHR2XXXX,PODRAVSKA BANKA D.D
RZBHHR2X,RZBHHR2XBRO,RAIFFEISENBANK AUSTRIA D.D.
RZBHHR2X,RZBHHR2XCUS,RAIFFEISENBANK AUSTRIA D.D.
RZBHHR2X,RZBHHR2XXXX,RAIFFEISENBANK AUSTRIA D.D.
SBSLHR2X,SBSLHR2XXXX,"SLATINSKA BANKA D.D, SLATINA"
SDAHHR22,SDAHHR22002,SREDISNJE KLIRINSKO DEPOZITARNO DRUSTVO D.D.
SDAHHR22,SDAHHR22XXX,SREDISNJE KLIRINSKO DEPOZITARNO DRUSTVO D.D.
SKOVHR22,SKOVHR22XXX,BANKA KOVANICA D.D.
SMBRHR22,SMBRHR22XXX,SAMOBORSKA BANKA DD
VBVZHR22,VBVZHR22XXX,J AND T BANKA D.D.
VPAYHR22,VPAYHR22XXX,VIVA PAYMENT SERVICES S.A. PODRUZNICA ZAGREB
XZAGHR21,XZAGHR21XXX,"ZAGREB STOCK EXCHANGE, THE"
ZABAHR2X,ZABAHR2XBRO,ZAGREBACKA BANKA D.D.
ZABAHR2X,ZABAHR2XCUS,ZAGREBACKA BANKA D.D.
ZABAHR2X,ZABAHR2XRIZ,ZAGREBACKA BANKA D.D.
ZABAHR2X,ZABAHR2XXXX,ZAGREBACKA BANKA D.D.
