bic_8,bic,bank
BDPCHTP1,BDPCHTP1XXX,BANQUE DE PROMOTION COMMERCIALE ET INDUSTRIELLE S.A.
BNCHHTPP,BNCHHTPPXXX,BANQUE NATIONALE DE CREDIT (BNC)
BNPAHTP1,BNPAHTP1XXX,BANQUE NATIONALE DE PARIS
BRHAHTPP,BRHAHTPPXXX,BANQUE DE LA REPUBLIQUE D'HAITI
BUHEHTPP,BUHEHTPPXXX,BANQUE DE L'UNION HAITIENNE
CITIHTP1,CITIHTP1XXX,CITIBANK N.A.
CPPLHTPP,CPPLHTPPXXX,CAPITAL BANK S.A.
SOGHHTP1,SOGHHTP1022,SOCIETE GENERALE HAITIENNE DE BANQUE S.A.
SOGHHTP1,SOGHHTP1023,SOCIETE GENERALE HAITIENNE DE BANQUE S.A.
SOGHHTPP,SOGHHTPPXXX,SOCIETE GENERALE HAITIENNE DE BANQUE S.A.
UBNKHTPP,UBNKHTPPXXX,UNIBANK S.A.
