bic_8,bic,bank
AAHTHUH1,AAHTHUH1XXX,ABN AMRO HOARE GOVETT HUNGARY/RT
AGKFHUH1,AGKFHUH1XXX,AGRIMPEX KFT.
AGRFHUH1,AGRFHUH1AAA,AGRIBROKER KFT.
AGRFHUH1,AGRFHUH1XXX,AGRIBROKER KFT.
AGZRHUH1,AGZRHUH1MMD,AGROKONT ZARTKORU RESZVENYTZRSASAG
AGZRHUH1,AGZRHUH1XXX,AGROKONT ZARTKORU RESZVENYTZRSASAG
AHIFHUH1,AHIFHUH1XXX,AEGON HUNGARY INVESTMENT FUND MANAGEMENT COMPANY LTD.
AIFMHUH1,AIFMHUH1XXX,ACCESS INVESTMENT FUND MANAGEMENT COMPANY LTD.
ALZRHUH1,ALZRHUH1XXX,HOLD ALAPFORGALMAZO ZARTKORUEN MUKODO RESZVENYTARSASAG
AMBJHUH1,AMBJHUH1XXX,AEGON MAGYARORSZAG BEFEKTETESI ALAPKEZELO ZARTKORUEN MUKODO RESZVENYTARSASAG
AMBLHUH1,AMBLHUH1XXX,AXA MAGYARORORSZAG BEFEKTETESI ALAPKEZELO ZRT
BACXHUHB,BACXHUHBCUS,UNICREDIT BANK HUNGARY ZRT.
BACXHUHB,BACXHUHBINM,UNICREDIT BANK HUNGARY ZRT.
BACXHUHB,BACXHUHBXXX,UNICREDIT BANK HUNGARY ZRT.
BBIXHUHH,BBIXHUHHXXX,BINX LTD
BBZMHUH1,BBZMHUH1XXX,BUDA-CASH BROKERHAZ ZARTKORUEN MUKODO RESZVENYTARSASAG
BDEKHUH1,BDEKHUH1XXX,BNP DRESDNER ERTEKPAPIR RT
BIMCHUH1,BIMCHUH1XXX,BUDAPEST ALAPKEZELO ZARTKORUEN MUKODO RESZVENYTARSASAG
BKCHHUHB,BKCHHUHBXXX,BANK OF CHINA (CENTRAL AND EASTERN EUROPE) LIMITED
BKCHHUHH,BKCHHUHHXXX,BANK OF CHINA LIMITED HUNGARIAN BRANCH
BNPAHUHX,BNPAHUHXXXX,"BNP PARIBAS, HUNGARY BRANCH"
BUAZHUH1,BUAZHUH1XXX,BUDAPEST ALAPKEZELO ZRT.
BUDAHUHB,BUDAHUHBXXX,MBH BANK NYRT.
CCSNHUH1,CCSNHUH1XXX,CEE ACTIVE ASSET MANAGEMENT ZRT
CIBHHUHB,CIBHHUHBXXX,CIB BANK LTD. (FORMERLY CENTRAL- EUROPEAN INT.BANK LTD.)
CINNHUH1,CINNHUH1XXX,CIB INVESTMENT FUND MANAGEMENT PLC
CITIHUHX,CITIHUHXCTI,CITIBANK EUROPE PLC HUNGARIAN BRANCH
CITIHUHX,CITIHUHXCUS,CITIBANK EUROPE PLC HUNGARIAN BRANCH
CITIHUHX,CITIHUHXTRD,CITIBANK EUROPE PLC HUNGARIAN BRANCH
CITIHUHX,CITIHUHXXXX,CITIBANK EUROPE PLC HUNGARIAN BRANCH
CIUAHUH1,CIUAHUH1XXX,CONCORDE INVESTMENT FUND MANAGEMENT COMPANY LTD.
COEGHUH1,COEGHUH1XXX,CONCORDE ERTEKPAPIR ZARTKORUEN MUKODO RESZVENYTARSASAG
DEUTHU2B,DEUTHU2BXXX,DEUTSCHE BANK AG HUNGARY BRANCH
DIATHUH1,DIATHUH1BKO,DIOFA ALAPKEZELO ZRT.
DIATHUH1,DIATHUH1XXX,DIOFA ALAPKEZELO ZRT.
DTBAHUHB,DTBAHUHBXXX,MBH DUNA BANK ZRT.
DUNAHUH1,DUNAHUH1XXX,DUNAKANYAR TAKAREKSZOVETKEZET
EASBHUH1,EASBHUH1XXX,ACCESS BEFEKTETESI ALAPKEZELO ZARTKORUEN MUKODO RESZVENYTARSASAG
EIFAHUH1,EIFAHUH1XXX,EUROPA INVESTMENT FUND MANAGEMENT COMPANY LTD.
EIFMHUH1,EIFMHUH1XXX,ERSTE ALAPKEZELO ZARTKORUEN MUKODO RT.
ELFZHUHH,ELFZHUHHXXX,ELSO FEDEZETKEZELO ZRT.
EQIEHUH1,EQIEHUH1XXX,EQUILOR INVESTMENT LTD.
EQITHUH2,EQITHUH2XXX,EQUILOR INVESTMENT LTD.
ERSKHUH1,ERSKHUH1XXX,ERSTE BEFEKTETESI ZRT
FHJBHUHB,FHJBHUHBXXX,TAKAREK JELZALOGBANK NYRT (TAKAREK MORTGAGE BANK CO. PLC)
FLTPHUHB,FLTPHUHBXXX,FUNDAMENTA-LAKASKASSZA LAKASTAKAREKPENZTAR ZRT
FUVTHUH1,FUVTHUH1XXX,FUZES TAKAREK SZOVETKEZETI HITELINTEZET
GEAZHUH1,GEAZHUH1XXX,GENERALI ALAPKEZELO ZRT
GGHKHUH1,GGHKHUH1XXX,GLENCORE AGRICULTURE HUNGARY KORLATOLT FELELOSSEGU TARSASAG
GHUNHUHB,GHUNHUHBAFR,GIRO ZRT.
GHUNHUHB,GHUNHUHBGIR,GIRO ZRT.
GHUNHUHB,GHUNHUHBXXX,GIRO ZRT.
GIBAHUH1,GIBAHUH1CUS,ERSTE BANK HUNGARY ZRT
GIBAHUH1,GIBAHUH1XXX,ERSTE BANK HUNGARY ZRT
GIBAHUHB,GIBAHUHBXXX,ERSTE BANK HUNGARY ZRT
GNBAHUHB,GNBAHUHBXXX,GRANIT BANK NYRT.
HAMZHUH1,HAMZHUH1XXX,EBROKERHAZ BEFEKTETESI SZOLGALTATO ZARTKORUEN MUKODO RESZVENYTAR
HAVTHUH1,HAVTHUH1XXX,HAJDUDOROG ES VIDEKE TAKAREKSZOVETKEZET
HBIDHUHB,HBIDHUHBXXX,MFB HUNGARIAN DEVELOPMENT BANK PRIVATE LIMITED COMPANY
HBWEHUHB,HBWEHUHBXXX,MAGNET BANK ZRT.
HEXIHUHB,HEXIHUHBXXX,MAGYAR EXPORT-IMPORT BANK ZRT.
HUPOHUHB,HUPOHUHBXXX,MAGYAR POSTA ZRT.
HUSTHUHB,HUSTHUHBXXX,HUNGARIAN STATE TREASURY
HUZRHUH1,HUZRHUH1XXX,HUNGAROGRAIN SZOLGALTATO ZARTKORUEN MUKODO RESZVENYTARSASAG VEGELSZAMOLAS ALATT
IBARHUH1,IBARHUH1XXX,ING BARING ERTEKPAPIR RT
IIFMHUH1,IIFMHUH1XXX,HUNGARIAN BRANCH OF ING BANK NV
IKTKHUH1,IKTKHUH1BKO,IKR-BROKER TOZSDEUGYNOKI ZARTKORUEN MUKODO RESZVENYTARSASAG
IKTKHUH1,IKTKHUH1XXX,IKR-BROKER TOZSDEUGYNOKI ZARTKORUEN MUKODO RESZVENYTARSASAG
INGBHUHB,INGBHUHBXXX,ING BANK N.V. HUNGARY BRANCH
KBSEHUH1,KBSEHUH1XXX,KBC SECURITIES N.V. HUNGARIAN BRANCH OFFICE
KELEHUH1,KELEHUH1XXX,KELER LTD.
KELRHUHA,KELRHUHAXXX,KELER KOZPONTI ERTEKTAR ZARTKORUEN MUKODO RESZVENYTARSASAG
KELRHUHB,KELRHUHBABC,KELER KOZPONTI ERTEKTAR ZARTKORUEN MUKODO RESZVENYTARSASAG
KELRHUHB,KELRHUHBCOM,KELER KOZPONTI ERTEKTAR ZARTKORUEN MUKODO RESZVENYTARSASAG
KELRHUHB,KELRHUHBXXX,KELER KOZPONTI ERTEKTAR ZARTKORUEN MUKODO RESZVENYTARSASAG
KODBHUHB,KODBHUHBXXX,KDB BANK EUROPE LTD.
KOVTHUH1,KOVTHUH1XXX,KORMEND ES VIDEKE TAKAREKSZOVETKEZET
KSZFHUHB,KSZFHUHBXXX,KELER CCP LTD
MANEHUHB,MANEHUHBXXX,MAGYAR NEMZETI BANK
MANEHUHH,MANEHUHHAFR,MAGYAR NEMZETI BANK
MANEHUHH,MANEHUHHFWD,MAGYAR NEMZETI BANK
MANEHUHH,MANEHUHHTE1,MAGYAR NEMZETI BANK
MANEHUHH,MANEHUHHTE2,MAGYAR NEMZETI BANK
MANEHUHH,MANEHUHHXXX,MAGYAR NEMZETI BANK
MCBHHUHB,MCBHHUHBXXX,MAGYAR COFIDIS BANK ZRT.
MEHIHUH1,MEHIHUH1XXX,MECSEKKORNYEK HITELSZOVETKEZET
MEVIHUH1,MEVIHUH1XXX,MECSEKVIDEKE TAKAREKSZOVETKEZET
MIFNHUH1,MIFNHUH1XXX,MAG ALAPKEZELO ZARTKORUEN MUKODO RESZVENYTARSASAG
MKKBHUHB,MKKBHUHBXXX,MBH BANK NYRT.
MRKBHUHB,MRKBHUHBXXX,MERKANTIL VALTO ES VAGYONBEFEKTETO BANK ZRT.
MRZRHUH1,MRZRHUH1XXX,MERLITO ZRT.
NOMSHUH1,NOMSHUH1XXX,NOMURA FINANCE LTD.
OBKLHUHB,OBKLHUHBXXX,OBERBANK AG
OFSZHUHB,OFSZHUHBXXX,O.F.SZ. ORSZAGOS FIZETESI SZOLGALTATO ZRT
OIFMHUH1,OIFMHUH1XXX,OTP ALAPKEZELO ZARTKORUEN MUKODO RESZVENYTARSASAG
OKHBHUHB,OKHBHUHBCUS,K AND H BANK ZRT.(FORMERLY KERESKEDELMI ES HITELBANK RT)
OKHBHUHB,OKHBHUHBXXX,K AND H BANK ZRT.(FORMERLY KERESKEDELMI ES HITELBANK RT)
OREIHUH1,OREIHUH1XXX,OTP REAL ESTATE INVESTMENT FUND MANAGEMENT COMPANY LTD.
ORTAHUH1,ORTAHUH1XXX,ORKENYI TAKAREKSZOVETKEZET
OTPEHUH1,OTPEHUH1XXX,OTP ERTEKPAPIR RT
OTPJHUHB,OTPJHUHBXXX,OTP MORTGAGEBANK LTD
OTPPHUH2,OTPPHUH2XXX,OTP PENZTARSZOLGALTATO ZRT
OTPVHUHB,OTPVHUHBXXX,OTP BANK PLC.
PANXHUH2,PANXHUH2XXX,UNIFIEDPOST PAYMENTS HUNGARIAN BRANCH
PCBCHUHB,PCBCHUHBXXX,CHINA CONSTRUCTION BANK (EUROPE) S.A. HUNGARY BRANCH
PFHBHUH2,PFHBHUH2XXX,PATRIA FINANCE HUNGARIAN BRANCH OFFICE
POLBHU22,POLBHU22XXX,POLGARI BANK ZRT
PVVTHUH1,PVVTHUH1XXX,PILISVOROSVAR ES VIDEKE TAKAREKSZOVETKEZET
QIFMHUH1,QIFMHUH1XXX,QUAESTOR INVESTMENT FUND MANAGEMENT COMPANY LTD.
QUENHUH1,QUENHUH1STY,QUAESTOR EREKPAPIRKERESKEDELMI ES BEFEKTETESI ZARTKORUEN MUKODO RESZVENYTARSASAG
QUENHUH1,QUENHUH1XXX,QUAESTOR EREKPAPIRKERESKEDELMI ES BEFEKTETESI ZARTKORUEN MUKODO RESZVENYTARSASAG
RACZHUH1,RACZHUH1XXX,RANDOM CAPITAL BROKER ZARTKORUEN MUKODO RESZVENYTARSASAG
REVOHUHB,REVOHUHBXXX,REVOLUT BANK UAB MAGYARORSZAGI FIOKTELEPE
RIFMHUH1,RIFMHUH1XXX,RAIFFEISEN INVESTMENT FUND MANAGEMENT COMPANY LTD.
SCAZHUH1,SCAZHUH1XXX,SOLAR CAPITA MARKETS ZRT.
SIFNHUH1,SIFNHUH1XXX,K AND H PANNONLIZING PENZUGYI SZOLGALTATO HOLDING ZRT
SPBZHUH1,SPBZHUH1XXX,SPB BEFEKTETESI ZRT.
SZGTHUH1,SZGTHUH1XXX,SZEGVAR ES VIDEKE TAKAREKSZOVETKEZET
SZIHHUH1,SZIHHUH1XXX,SZECHENYI ISTVAN HITELSZOVETKEZET
SZTAHUH1,SZTAHUH1XXX,SZARVAS ES VIDEKE KORZETI TAKAREKSZOVETKEZET
TAFMHUH1,TAFMHUH1XXX,TAKAREK ALAPKEZELO ZARTKORUEN MUKODO RESZVENYTARSAS
TAKBHUHB,TAKBHUHBXXX,MBH BEFEKTETESI BANK ZRT.
TAKRHUH1,TAKRHUH1XXX,TAKAREK-BROKER BIZTOSITASKOZVETITO KFT
TEHDHUH1,TEHDHUH1XXX,TISZANTULI ELSOE HITELSZOEVETKEZET
THZTHUHH,THZTHUHHXXX,TRIVE BANK EUROPE ZARTKORUEN MUKODO RESZVENYTARSASAG
TISZHUH1,TISZHUH1XXX,TISZA TAKAREKSZOVETKEZET
UAMCHUH1,UAMCHUH1XXX,AEGON MAGYARORSZAG BEFEKTETESI ALAPKEZEL ZARTKORUEN MUKODO RESZVENYTARSASAG
UBRTHUHB,UBRTHUHBXXX,RAIFFEISEN BANK LTD
VPAYHUH2,VPAYHUH2XXX,VIVA PAYMENT SERVICES S.A. HUNGARIAN BRANCH
WEIVHUH1,WEIVHUH1XXX,WEST LB INVESTMENT RT
XBUDHUH1,XBUDHUH1XXX,BUDAPESTI ERTEKTOZSDE ZARTKOERUEN MUKODO RESZVENYTARSASAG
