bic_8,bic,bank
ABALIDBS,ABALIDBSXXX,PT. BANK PEMBANGUNAN DAERAH BALI
ABPEIDJ1,ABPEIDJ1XXX,"ABADI PRISMA EKAMANDIRI, PT"
ABSDIDJ1,ABSDIDJ1XXX,PT NISP SEKURITAS
ACEHIDSS,ACEHIDSSXXX,PT BANK ACEH SYARIAH
ADARIDS2,ADARIDS2XXX,PT ANUGRAH DANAMAS REMIT
ADSIIDJ1,ADSIIDJ1XXX,"ANTABOGA DELTA SEKURITAS IND., PT"
AEHLIDJ1,AEHLIDJ1XXX,PT BANK BNP PARIBAS INDONESIA
AGTBIDJA,AGTBIDJAXXX,PT. BANK RAYA INDONESIA TBK.
AGVAIDJ2,AGVAIDJ2XXX,ALLIANZ GLOBAL INVESTORS ASSET MANAGEMENT INDONESIA PT
AIACIDJ1,AIACIDJ1GIO,PT AIA FINANCIAL
AIACIDJA,AIACIDJAXXX,PT AIA FINANCIAL
ALDCIDJ1,ALDCIDJ1XXX,PT ALDIRACITA CORPOTAMA
ALOBIDJA,ALOBIDJAXXX,PT ALLO BANK INDONESIA TBK
AMCEIDJ1,AMCEIDJ1XXX,PT KOREA INVESTMENT AND SEKURITAS INDONESIA
AMIDIDJ1,AMIDIDJ1XXX,"YUANTA SECURITIES INDONESIA, PT"
AMTAIDJ2,AMTAIDJ2XXX,PT. AMANAH ANTAR ARTA
ANSIIDJ1,ANSIIDJ1XXX,"ANUGERAH SECURINDO INDAH, PT"
ANZBIDJX,ANZBIDJXXXX,"BANK ANZ INDONESIA, P.T."
APERIDJ1,APERIDJ1XXX,"APERDI, PT"
APLSID35,APLSID35XXX,PT ESPAY DEBIT INDONESIA KOE
ARNKIDJ1,ARNKIDJ1XXX,PT BANK COMMONWEALTH
ARTGIDJA,ARTGIDJAXXX,PT.BANK ARTHA GRAHA INTERNASIONAL TBK.
AWANIDJA,AWANIDJAXXX,PT BANK QNB INDONESIA TBK
BAEUIDJ1,BAEUIDJ1XXX,PT BAHANA SECURITIES
BATSID21,BATSID21XXX,PT BENTOEL PRIMA
BATSIDA1,BATSIDA1XXX,PT BENTOEL INTERNASIONAL INVESTAMA
BATSIDB1,BATSIDB1XXX,PT. PERUSAHAAN DAGANG SUBURAMAN
BBAIIDJA,BBAIIDJAXXX,PT. BANK BUMI ARTA TBK
BBASIDJA,BBASIDJAXXX,PT BANK ALADIN SYARIAH TBK
BBBAIDJ1,BBBAIDJ10J6,"PT BANK PERMATA, TBK"
BBBAIDJ1,BBBAIDJ10J8,"PT BANK PERMATA, TBK"
